"","Mo_2019_320","Mo_2019_321","Mo_2019_322","Mo_2019_323","Mo_2019_324_B","Mo_2019_325","Mo_2019_326","Mo_2019_327","Mo_2019_328","Mo_2019_329","Mo_2019_330","Mo_2019_331","Mo_2019_332","Mo_2019_333","Mo_2019_334","Mo_2019_335","Mo_2019_336","Mo_2019_337","Mo_2019_338","Mo_2019_339","Mo_2019_340","Mo_2019_341","Mo_2019_342","Mo_2019_343","Mo_2019_344","Mo_2019_345","Mo_2019_346","Mo_2019_347","Mo_2019_348","Mo_2019_349","Mo_2019_350","Mo_2019_351","Mo_2019_352","Mo_2019_353","Mo_2019_543"
"234_160.0969_2.736_15262_N/A_NA_no matches_no matches_no matches_no matches","2.275571e+03","2.566843e+03","2.247756e+03","5.746322e+03","2.600602e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.479794e+03","2.788886e+03","0.000000e+00","4.895167e+03","2.370111e+03","2.149346e+03","0.000000e+00","4.663120e+03","0.000000e+00","0.000000e+00","2.539968e+03","4.797862e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.198832e+03","2.020303e+03","0.000000e+00","2.232515e+03","0.000000e+00","0.000000e+00","0.000000e+00","5.098035e+03","0.000000e+00"
"235_160.0969_2.6101_15262_N/A_NA_no matches_no matches_no matches_no matches","2.275571e+03","2.566843e+03","2.247756e+03","2.247786e+03","1.202956e+04","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.479794e+03","2.531916e+03","2.623666e+03","4.895167e+03","2.370111e+03","2.149346e+03","0.000000e+00","4.663120e+03","0.000000e+00","0.000000e+00","2.666109e+03","5.858483e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.198832e+03","0.000000e+00","2.360961e+03","0.000000e+00","2.134716e+03","0.000000e+00","0.000000e+00","5.098035e+03","0.000000e+00"
"238_160.0969_1.599_5693_N/A_NA_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Amino acids, peptides, and analogues","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.053031e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.184476e+03"
"245_160.1333_1.1942_15830_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"246_160.1333_1.0895_15830_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"247_160.1333_7.3375_-1_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.537248e+03","0.000000e+00","0.000000e+00","0.000000e+00","2.174413e+03","0.000000e+00","2.409497e+03","2.292089e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","7.861788e+03","0.000000e+00","0.000000e+00","0.000000e+00","2.300738e+03","0.000000e+00"
"266_161.0961_4.4858_3290_Spectral Match to 5.alpha.-Androsterone from NIST14_Spectral Match to 5.alpha.-Androsterone from NIST14_Organic compounds_Organoheterocyclic compounds_Oxanes_NA","2.532386e+04","6.842599e+04","2.384351e+04","4.352471e+04","2.771996e+04","4.173898e+04","1.657291e+04","2.194092e+04","1.632350e+04","5.983823e+04","3.707441e+04","3.026516e+04","1.783018e+04","4.901874e+04","4.574466e+04","4.855525e+04","2.607409e+04","4.265948e+04","1.814027e+04","1.507899e+04","2.448735e+04","3.079004e+04","2.284893e+04","4.393006e+04","2.519187e+04","2.605293e+04","1.615609e+04","2.570948e+04","1.105108e+04","3.954046e+04","1.622919e+04","3.008380e+04","2.345017e+04","1.774391e+04","2.938822e+04"
"272_161.0993_5.6074_11521_4-Benzofuranethanamine, 2,3-dihydro-.alpha.-methyl-_4-Benzofuranethanamine, 2,3-dihydro-.alpha.-methyl-_Organic compounds_Organoheterocyclic compounds_Coumarans_NA","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.679032e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.390567e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.136296e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.503461e+03","0.000000e+00","0.000000e+00","2.071825e+03"
"283_162.0761_1.5289_4791_N/A_NA_Organic compounds_Organic nitrogen compounds_Organonitrogen compounds_Quaternary ammonium salts","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"286_162.1045_2.0141_4791_N/A_NA_Organic compounds_Organic nitrogen compounds_Organonitrogen compounds_Quaternary ammonium salts","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
