CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
38639	38862	9	0.9292	70.990
38031	71707	9	0.9774	0.047
39444	71935	9	0.9091	128.047
101295	279986	9	0.9572	-0.014
38817	102218	9	0.9998	0.072
35923	150850	9	0.8592	-72.058
103397	105010	9	0.9358	16.979
40045	96881	9	0.8628	-105.991
38185	38295	9	0.9507	0.047
75062	207384	9	0.921	-28.031
37423	127548	9	0.9102	-17.026
81392	101845	9	0.8633	0.073
41517	101295	9	0.9077	-17.012
35923	122341	9	0.9369	17.026
53756	90842	9	0.8647	14.015
38640	39679	9	0.9046	72.000
38450	101657	9	0.9151	-17.027
69218	105010	9	0.9193	-18.022
39211	101591	9	0.8966	106.001
35566	102632	9	0.8868	84.021
47258	76825	9	0.857	-112.052
39324	43999	9	0.8538	106.064
91842	220556	9	0.8607	35.073
38450	39211	9	0.9865	-0.047
38295	60227	9	0.9394	-0.084
84912	104088	9	0.8689	235.142
103193	263630	9	0.963	0.000
89074	127411	9	0.9539	-200.106
34899	35444	9	0.9488	0.000
47997	69218	9	0.904	35.074
43999	151676	9	0.9361	128.047
39444	39533	9	0.9433	-44.026
69218	71935	9	0.9175	0.000
49604	151835	9	0.8651	172.147
35923	49604	9	0.9012	-172.147
38817	250160	9	0.8604	88.016
74888	127411	9	0.8971	-200.070
40974	53756	9	0.8679	-56.099
41517	193789	9	0.9109	-16.990
35923	52674	9	0.9014	-200.142
50939	130869	9	0.8818	17.974
47997	49702	9	0.9933	0.000
102218	204364	9	0.9998	-0.036
91821	102516	9	0.8772	-72.021
72647	150850	9	0.8662	28.031
37423	197370	9	0.9221	30.011
91842	201228	9	0.8932	-72.057
47997	103397	9	0.9874	0.073
53001	104088	9	0.886	-54.000
53001	127411	9	0.8647	-54.037
50377	51663	9	0.9252	-14.016
71935	127411	9	0.8745	-156.080
38185	71707	9	0.9583	0.047
74888	220556	9	0.8873	-200.032
40045	42181	9	0.9558	0.036
73413	220556	9	0.9647	0.037
38667	101591	9	0.874	251.100
102634	151835	9	0.8581	37.021
39324	40045	9	0.8733	106.028
38295	71707	9	0.9649	0.000
39444	102634	9	0.8839	-72.022
35939	91821	9	0.978	0.000
204364	250160	9	0.8604	87.981
38035	38640	9	0.9442	0.000
42565	207384	9	0.8987	-14.016
41133	49702	9	0.9056	54.969
102634	150850	9	0.8662	-35.036
101845	151676	9	0.919	128.047
54224	99357	9	0.8595	-16.031
76825	220556	9	0.9429	-0.000
35444	101657	9	0.8852	-16.990
35444	38185	9	0.9275	-0.011
39679	89240	9	0.8545	61.985
35566	50939	9	0.8797	-172.147
35923	50939	9	0.8844	-172.147
38862	105010	9	0.9369	16.979
44019	93672	9	0.9938	0.036
38862	101657	9	0.9252	-88.016
36506	44019	9	0.9035	34.964
38639	103397	9	0.9358	70.990
35566	74987	9	0.9046	-172.111
39444	44019	9	0.9447	128.047
53756	220556	9	0.8996	163.157
89074	89240	9	0.9541	-0.036
35923	200841	9	0.94	-0.037
72647	102516	9	0.858	58.042
38185	38450	9	0.9608	0.047
96881	102218	9	0.9564	0.036
38031	38639	9	0.9627	0.047
40974	91842	9	0.896	71.984
38667	96881	9	0.8989	-87.981
35444	122341	9	0.8823	-39.995
37396	38450	9	0.9597	0.047
36506	105010	9	0.9309	16.943
93672	220556	9	0.9107	-156.079
38667	39324	9	0.9045	-88.017
71935	105010	9	0.8853	-18.022
34899	60227	9	0.9291	-0.047
50939	150850	9	0.8751	100.089
44846	52674	9	0.9251	-218.116
38639	60227	9	0.9246	-0.083
47258	93672	9	0.9145	44.026
102065	151142	9	0.9011	172.074
76825	93672	9	0.9409	156.079
74888	89240	9	0.9966	0.000
35566	39444	9	0.8949	35.000
75062	127548	9	0.9719	-0.000
193789	279986	9	0.9721	-0.037
69218	103397	9	0.9193	-35.001
39059	279986	9	0.867	-72.057
38817	204364	9	1.0	0.036
91821	279986	9	0.8836	-72.057
39679	103397	9	0.9307	-17.006
35923	102065	9	0.9226	-172.074
74888	89074	9	0.9437	0.036
37396	38031	9	0.9779	0.000
51663	75062	9	0.892	42.047
71935	86850	9	0.8693	0.000
38450	38639	9	0.9603	-0.000
44019	73413	9	0.9081	-156.079
75062	87764	9	0.9341	44.026
38031	38450	9	0.9947	0.047
102632	151142	9	0.8565	-84.021
35923	102632	9	0.8492	84.021
73413	76825	9	0.9147	0.037
38450	60227	9	0.8957	-0.084
102316	105285	9	0.8659	0.073
101845	254105	9	0.8582	-106.064
38640	41133	9	0.9789	-0.047
39059	41517	9	0.8445	-55.031
102316	212678	9	0.9954	0.036
37423	71485	9	0.9234	30.011
89240	104088	9	0.9284	-200.032
39324	96881	9	0.9986	0.036
39059	91821	9	0.9843	0.000
37423	52422	9	0.8622	-207.111
47258	104088	9	0.8529	-112.053
150850	151835	9	0.896	72.058
43999	81392	9	0.8908	-0.073
36506	38862	9	0.9829	-0.036
35444	38031	9	0.9044	-0.011
104088	127411	9	0.9593	-0.037
127548	162388	9	0.8531	-128.048
34899	38295	9	0.9494	0.036
44019	69218	9	0.9657	0.000
36051	89240	9	0.8568	146.022
36506	37396	9	0.8913	-71.073
35923	151142	9	0.945	0.000
38639	47997	9	0.9278	70.917
35566	122341	9	0.9323	17.026
44019	105010	9	0.9317	-18.022
39324	72886	9	0.8679	233.163
102065	102632	9	0.874	256.095
38862	39679	9	0.9274	17.006
93672	104088	9	0.926	-156.079
41133	103397	9	0.9178	55.042
37396	38295	9	0.9465	0.047
93672	105010	9	0.9266	-18.058
42565	105569	9	0.9626	0.000
39533	40895	9	0.8536	0.036
36506	103397	9	0.9757	-0.036
35444	72886	9	0.9682	0.036
102516	193789	9	0.9634	0.000
39324	101591	9	0.8555	339.117
162388	200634	9	0.9694	-0.036
47997	101657	9	0.9182	-87.943
35939	102516	9	0.8663	-72.021
127411	220556	9	0.9939	0.037
44846	127548	9	0.8627	-44.026
37396	72886	9	0.8862	0.047
53756	70532	9	0.9151	145.110
40045	50377	9	0.8576	15.995
39533	47258	9	0.8542	128.084
43787	74888	9	0.9077	200.032
35444	151835	9	0.8673	-57.021
44019	101657	9	0.9072	-123.017
122341	150850	9	0.8943	-89.084
50377	105569	9	0.8882	14.016
49604	90842	9	0.8725	30.010
122341	200841	9	0.8764	-17.063
39324	102218	9	0.9666	0.073
42181	81392	9	0.9254	-0.073
38450	250160	9	0.8897	-145.146
50939	90842	9	0.8874	30.010
36051	72112	9	0.8938	146.022
34899	39211	9	0.9871	-0.011
38640	49702	9	0.9019	54.922
35444	38295	9	0.9123	0.036
38031	38185	9	0.9783	0.000
37423	40895	9	0.9124	0.037
102516	279986	9	0.9878	-0.037
53756	127411	9	0.8859	163.120
35923	75236	9	0.8662	34.964
84912	91842	9	0.9161	200.069
