Tube Name:,Plate,Well,Sample ID:,All Events ,include Events,Sym-FSC Events,Sym-SSC Events,All Events  Events/μL(V),include Events/μL(V),Sym-FSC Events/μL(V),Sym-SSC Events/μL(V),Notes,Run Volume,Run Speed (uL/min),Run Time (seconds),starting time gate (seconds),run time for data collection (seconds),volume for data collection (uL),events/event*ul-1,include events/events*uL-1,symFSC events/symFSC events*uL-1,Sym-FSC Events/μL(V)_corrected,Sym-FSC Events/μL(V),symFSC_diff_percentage,Sym-SSC Events/μL(V)_corrected,Sym-SSC Events/μL(V),symSSC_diff_percentage
03-Well-C2,3,C2,,3239,1785,26,9,26.98,23.63,0.22,0.07,,120,60,120,10,110,110,120.0518903,75.53956835,118.1818182,0.236363636,0.22,1.074380165,0.081818182,0.07,0.855555556
03-Well-C3,3,C3,,1302,1069,11,2,10.83,11.34,0.09,0.02,,120,60,120,10,110,110,120.2216066,94.2680776,122.2222222,0.1,0.09,1.111111111,0.018181818,0.02,1.1
03-Well-C4,3,C4,,1776,1396,29,8,14.79,15.17,0.24,0.07,,120,60,120,10,110,110,120.0811359,92.02373105,120.8333333,0.263636364,0.24,1.098484848,0.072727273,0.07,0.9625
03-Well-C5,3,C5,,13166,9222,285,107,109.58,100.14,2.37,0.89,,120,60,120,10,110,110,120.1496623,92.0910725,120.2531646,2.590909091,2.37,1.093210587,0.972727273,0.89,0.914953271
03-Well-C6,3,C6,,90774,62649,1452,1169,756.04,680.98,12.09,9.74,,120,60,120,10,110,110,120.0650759,91.99829657,120.0992556,13.2,12.09,1.091811414,10.62727273,9.74,0.916509837
03-Well-C7,3,C7,,183004,137591,27770,17456,1524.95,1496.53,231.4,145.46,,120,60,120,10,110,110,120.0065576,91.94002125,120.008643,252.4545455,231.4,1.090987664,158.6909091,145.46,0.916624656
03-Well-C8,3,C8,,192895,142147,35260,34082,1607,1545.62,293.75,283.94,,120,60,120,10,110,110,120.0342253,91.96762464,120.0340426,320.5454545,293.75,1.091218569,309.8363636,283.94,0.916419224
03-Well-C9,3,C9,,437592,332458,57333,59586,3646.29,3615.89,477.73,496.51,Use Sym-SSC Sym-SSC Events/μL(V),120,60,120,10,110,110,120.0102022,91.94361554,120.0113035,521.2090909,477.73,1.09101185,541.6909091,496.51,0.916592824
03-Well-C10,3,C10,,274759,202626,53799,49163,2288.68,2202.82,448.13,409.52,,120,60,120,10,110,110,120.0512959,91.98481946,120.052217,489.0818182,448.13,1.091383791,446.9363636,409.52,0.91628257
03-Well-C11,3,C11,,284958,144016,4709,4152,2374.43,2038.32,39.24,34.6,,120,60,120,10,110,110,120.0111185,70.6542643,120.0050968,42.80909091,39.24,1.090955426,37.74545455,34.6,0.916666667
03-Well-C12,3,C12,,252438,126245,4298,3887,2103.32,1865.85,35.81,32.39,,120,60,120,10,110,110,120.0188274,67.66085162,120.0223401,39.07272727,35.81,1.091112183,35.33636364,32.39,0.916619501
03-Well-D1,3,D1,,6686,1724,140,78,55.65,18.35,1.17,0.65,,120,60,120,10,110,110,120.1437556,93.95095368,119.6581197,1.272727273,1.17,1.087801088,0.709090909,0.65,0.916666667
03-Well-D2,3,D2,,3707,770,164,135,30.89,29.66,1.37,1.12,,120,60,120,10,110,110,120.0064746,25.96089009,119.7080292,1.490909091,1.37,1.088254811,1.227272727,1.12,0.912592593
03-Well-D3,3,D3,,13122,9100,850,559,109.27,108.55,7.08,4.66,,120,60,120,10,110,110,120.0878558,83.83233533,120.0564972,7.727272727,7.08,1.091422702,5.081818182,4.66,0.916994633
03-Well-D4,3,D4,,4524,3383,335,228,37.69,36.62,2.79,1.9,,120,60,120,10,110,110,120.0318387,92.38121245,120.0716846,3.045454545,2.79,1.091560769,2.072727273,1.9,0.916666667
03-Well-D5,3,D5,,4537,3044,64,44,37.79,33.09,0.53,0.37,,120,60,120,10,110,110,120.0582165,91.99153823,120.754717,0.581818182,0.53,1.097770154,0.4,0.37,0.925
03-Well-D6,3,D6,,28148,6398,521,411,234.52,220.18,4.34,3.42,,120,60,120,10,110,110,120.0238786,29.05804342,120.0460829,4.736363636,4.34,1.091328027,3.736363636,3.42,0.915328467
03-Well-D7,3,D7,,151344,118547,32886,32003,1260.3,1253.04,273.85,266.5,,120,60,120,10,110,110,120.0856939,94.60751452,120.0876392,298.9636364,273.85,1.091705811,290.9363636,266.5,0.916007874
03-Well-D8,3,D8,,328964,248037,88034,62809,2740.63,2697.06,733.42,523.27,,120,60,120,10,110,110,120.0322554,91.96569598,120.032178,800.3090909,733.42,1.091201618,570.9909091,523.27,0.916424398
03-Well-D9,3,D9,,629869,116958,17061,15452,5248.32,4446.98,142.16,128.75,,120,60,120,10,110,110,120.0134519,26.30054554,120.0126618,155.1,142.16,1.091024198,140.4727273,128.75,0.91654802
03-Well-D10,3,D10,,560090,316479,48000,41727,4666.3,4427.05,399.9,347.64,,120,60,120,10,110,110,120.0287165,71.48755944,120.0300075,436.3636364,399.9,1.091181886,379.3363636,347.64,0.916442591
03-Well-D11,3,D11,,97201,68648,1571,1182,809.94,737.2,13.09,9.85,,120,60,120,10,110,110,120.0101242,93.11991319,120.0152788,14.28181818,13.09,1.091047989,10.74545455,9.85,0.916666667
03-Well-D12,3,D12,,86055,55146,3804,3281,716.84,599.53,31.69,27.33,,120,60,120,10,110,110,120.0477094,91.98205261,120.0378668,34.58181818,31.69,1.091253335,29.82727273,27.33,0.916275526
03-Well-E1,3,E1,,6773,4750,253,151,56.4,51.62,2.11,1.26,,120,60,120,10,110,110,120.0886525,92.01859744,119.9052133,2.3,2.11,1.090047393,1.372727273,1.26,0.917880795
03-Well-E2,3,E2,,1143,758,16,10,9.49,8.21,0.13,0.08,,120,60,120,10,110,110,120.4425711,92.32643118,123.0769231,0.145454545,0.13,1.118881119,0.090909091,0.08,0.88
03-Well-E3,3,E3,,9057,6444,374,236,75.44,70.05,3.12,1.97,,120,60,120,10,110,110,120.0556734,91.99143469,119.8717949,3.4,3.12,1.08974359,2.145454545,1.97,0.918220339
03-Well-E4,3,E4,,3926,2787,549,425,32.69,30.28,4.57,3.54,,120,60,120,10,110,110,120.0978893,92.04095112,120.131291,4.990909091,4.57,1.092102646,3.863636364,3.54,0.916235294
03-Well-E5,3,E5,,1638,1029,37,30,13.65,11.19,0.31,0.25,,120,60,120,10,110,110,120,91.95710456,119.3548387,0.336363636,0.31,1.085043988,0.272727273,0.25,0.916666667
03-Well-E6,3,E6,,4272,1976,82,57,35.59,38.8,0.68,0.47,,120,60,120,10,110,110,120.0337173,50.92783505,120.5882353,0.745454545,0.68,1.096256684,0.518181818,0.47,0.907017544
03-Well-E7,3,E7,,682963,387672,97313,73236,5690.62,5330.87,810.84,610.22,,120,60,120,10,110,110,120.0155695,72.72208851,120.0150461,884.6636364,810.84,1.091045874,665.7818182,610.22,0.916546507
03-Well-E8,3,E8,,252500,69231,8646,7705,2104.12,2361.23,72.05,64.21,,120,60,120,10,110,110,120.0026614,29.31988836,120,78.6,72.05,1.090909091,70.04545455,64.21,0.916690461
03-Well-E9,3,E9,,332693,248156,34814,29826,2771.8,2698.49,290.05,248.49,,120,60,120,10,110,110,120.0277798,91.9610597,120.0275815,316.4909091,290.05,1.091159831,271.1454545,248.49,0.916445383
03-Well-E10,3,E10,,505940,280678,48035,43778,4214.92,3748.27,400.17,364.71,,120,60,120,10,110,110,120.035493,74.88201223,120.0364845,436.6818182,400.17,1.091240768,397.9818182,364.71,0.916398648
03-Well-E11,3,E11,,233178,169313,5230,4319,1942.5,1812.5,43.57,35.98,,120,60,120,10,110,110,120.0401544,93.41406897,120.0367225,47.54545455,43.57,1.091242932,39.26363636,35.98,0.91636953
03-Well-E12,3,E12,,87921,65220,203,144,732.48,709.17,1.69,1.2,,120,60,120,10,110,110,120.0319463,91.96666526,120.1183432,1.845454545,1.69,1.091984938,1.309090909,1.2,0.916666667
03-Well-F1,3,F1,,56795,40516,12335,11879,473.15,440.54,102.76,98.96,,120,60,120,10,110,110,120.0359294,91.9689472,120.0369794,112.1363636,102.76,1.091245267,107.9909091,98.96,0.916373432
03-Well-F2,3,F2,,868289,495844,110262,107475,7234.27,6988.02,918.66,895.44,,120,60,120,10,110,110,120.0244116,70.95629377,120.0248188,1002.381818,918.66,1.091134716,977.0454545,895.44,0.91647732
03-Well-F3,3,F3,,420907,313805,39804,37061,3506.28,3411.78,331.58,308.73,Use Sym-SSC Sym-SSC Events/μL(V),120,60,120,10,110,110,120.0437501,91.97691528,120.0434284,361.8545455,331.58,1.091303895,336.9181818,308.73,0.916335231
03-Well-F4,3,F4,,1371065,291176,14428,13600,11425.47,11588.05,120.23,113.33,,120,60,120,10,110,110,120.0007527,25.12726473,120.003327,131.1636364,120.23,1.090939336,123.6363636,113.33,0.916639706
03-Well-F5,3,F5,,13729,9632,108,98,114.32,104.66,0.9,0.82,,120,60,120,10,110,110,120.0927222,92.03133958,120,0.981818182,0.9,1.090909091,0.890909091,0.82,0.920408163
03-Well-F6,3,F6,,7156,3791,49,34,59.63,41.23,0.41,0.28,,120,60,120,10,110,110,120.006708,91.94761096,119.5121951,0.445454545,0.41,1.086474501,0.309090909,0.28,0.905882353
03-Well-F7,3,F7,,69979,48623,1856,1681,582.7,528.35,15.45,14,,120,60,120,10,110,110,120.0943882,92.02801173,120.1294498,16.87272727,15.45,1.092085908,15.28181818,14,0.916121356
03-Well-F8,3,F8,,100,37,2,2,0.83,0.4,0.02,0.02,,120,60,120,10,110,110,120.4819277,92.5,100,0.018181818,0.02,0.909090909,0.018181818,0.02,1.1
03-Well-F9,3,F9,,60,40,0,0,0.5,0.43,0,0,,120,60,120,10,110,110,120,93.02325581,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!
03-Well-F10,3,F10,,49,30,1,1,0.41,0.33,0.01,0.01,,120,60,120,10,110,110,119.5121951,90.90909091,100,0.009090909,0.01,0.909090909,0.009090909,0.01,1.1
