CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
4827	10629	17	0.8976	0.036
3029	10629	17	0.904	0.036
2980	10629	17	0.9237	0.036
3029	4827	17	0.9155	0.000
2980	9115	17	0.8824	0.000
4662	5105	17	0.9485	0.000
2980	4662	17	0.9169	0.000
3164	10629	17	0.8908	0.036
3029	5105	17	0.9567	0.000
3094	3164	17	0.9383	0.000
2980	5105	17	0.9516	0.000
3094	5105	17	0.8881	0.000
4662	4827	17	0.886	0.000
4662	10629	17	0.899	0.036
2980	4827	17	0.9238	0.000
2980	3094	17	0.9217	0.000
5105	10629	17	0.9404	0.036
2980	3029	17	0.9325	0.000
3164	5105	17	0.8975	0.000
3029	4662	17	0.9527	0.000
11606	11895	18	0.9919	0.000
6659	10607	19	0.934	-0.000
6646	7518	19	0.9277	-0.000
7518	10607	19	0.9517	0.000
6659	7518	19	0.9385	-0.000
6646	10607	19	0.9337	-0.000
4667	6148	20	1.0	0.048
6148	6951	20	0.8776	0.000
4667	6951	20	0.8767	0.048
4313	8322	21	0.8061	13.980
5490	5684	21	0.8822	-14.016
5490	7212	21	0.8696	-14.016
4317	5631	21	0.9637	-0.036
6220	6303	21	0.7816	132.040
5684	8322	21	0.8154	28.032
4314	5707	21	0.8106	0.037
1835	4347	21	0.8145	6.067
3377	5684	21	0.782	6.067
4313	4314	21	0.8987	14.016
4313	4347	21	0.8924	-14.016
4347	4353	21	0.9062	28.031
4313	5684	21	0.8555	-14.052
4317	7212	21	0.8479	-0.036
4433	8322	21	0.8289	-0.036
4317	4362	21	0.8262	0.000
4433	5490	21	0.8816	-14.052
4322	5684	21	0.8355	-14.052
4317	5684	21	0.8763	-0.036
4433	5684	21	0.8483	-28.068
4314	4347	21	0.9215	-28.031
4313	5781	21	0.7989	0.037
4322	5490	21	0.8654	-0.036
4314	7212	21	0.8154	-28.068
5631	5684	21	0.9081	-0.000
4313	5707	21	0.8067	14.052
4353	5631	21	0.8837	-28.067
4353	5707	21	0.8342	0.037
5490	8322	21	0.8472	14.016
4314	4353	21	0.922	0.000
5781	7212	21	0.7764	-14.089
4347	5490	21	0.8797	13.979
3377	4314	21	0.803	34.135
4322	5707	21	0.8331	14.052
4317	4322	21	0.8532	14.016
5707	7212	21	0.8244	-28.104
3377	5631	21	0.8068	6.068
4353	7212	21	0.8388	-28.068
6303	7671	21	0.7327	-132.057
4317	4433	21	0.895	28.032
4313	5631	21	0.8726	-14.052
4353	8322	21	0.8315	-0.036
8407	11440	21	0.9585	162.053
7453	11442	21	0.9606	162.053
3377	4317	21	0.7986	6.103
1835	4353	21	0.7789	34.098
4322	8322	21	0.8191	13.979
4313	7212	21	0.8195	-14.052
5490	5707	21	0.8034	14.089
2063	7671	21	0.7592	0.056
1835	4317	21	0.797	6.067
2063	5684	21	0.8297	6.031
6220	7671	21	0.9023	-0.017
4362	7212	21	0.8089	-0.036
5707	8322	21	1.0	-0.073
3377	11440	21	0.8129	-479.988
2063	4322	21	0.7735	20.083
2063	4353	21	0.8076	34.099
2063	4317	21	0.8218	6.067
4353	5490	21	0.8747	-14.052
4314	5631	21	0.8895	-28.067
3377	4433	21	0.7861	34.135
1835	4433	21	0.7856	34.098
1835	4314	21	0.8038	34.098
2063	3377	21	0.9203	-0.037
4317	5707	21	0.7923	28.068
2063	8199	21	0.7801	-355.187
4313	4317	21	0.9003	-14.016
4314	4317	21	0.92	-28.032
11442	12018	21	0.9349	341.130
4313	4322	21	0.8859	0.000
4322	5631	21	0.8375	-14.052
2063	5631	21	0.8295	6.031
5684	7212	21	0.8872	0.000
1835	11440	21	0.8129	-480.025
6303	7082	21	0.7379	-132.057
4314	4322	21	0.8541	-14.016
1835	2063	21	0.9204	-0.000
1835	5490	21	0.7918	20.046
4353	4433	21	0.9248	0.000
4362	5684	21	0.8031	-0.036
2063	7212	21	0.7873	6.031
2063	5490	21	0.82	20.047
4313	4433	21	0.8799	14.016
8407	12018	21	0.957	-162.054
4322	4347	21	0.8522	-14.016
5631	7212	21	0.8767	-0.000
4347	5631	21	0.9327	-0.036
5631	8322	21	0.7986	28.031
4322	4353	21	0.8664	14.016
1835	3377	21	1.0	-0.037
4347	7212	21	0.8479	-0.036
5684	5707	21	0.7926	28.104
4347	4362	21	0.7868	-0.000
4317	4353	21	0.8985	28.032
4322	4362	21	0.7651	-14.016
4433	7212	21	0.8169	-28.068
2063	4313	21	0.7973	20.083
4353	5684	21	0.8648	-28.068
4314	8322	21	0.8078	-0.036
4322	5781	21	0.7716	0.037
11440	12018	21	0.9655	-324.107
4433	5631	21	0.8755	-28.067
2063	4433	21	0.8035	34.099
1835	5631	21	0.8049	6.031
4322	4433	21	0.8524	14.016
7212	8322	21	0.8549	28.031
4347	5707	21	0.7995	28.068
3377	5490	21	0.7995	20.083
6220	7082	21	0.9638	-0.017
4313	5490	21	0.8838	-0.036
4317	4347	21	0.9302	0.000
4313	4362	21	0.7938	-14.016
4347	4433	21	0.8854	28.031
3377	8199	21	0.7507	-355.151
4313	4353	21	0.8772	14.016
7082	7671	21	0.9026	-0.000
3377	4347	21	0.8164	6.104
4314	4433	21	0.9242	0.000
4362	5631	21	0.8175	-0.036
5490	5631	21	0.8979	-14.015
1835	8199	21	0.7507	-355.188
4433	5707	21	0.8339	0.036
4347	5684	21	0.8975	-0.036
4314	5490	21	0.874	-14.052
4314	5684	21	0.8613	-28.068
3377	4353	21	0.78	34.135
2063	4314	21	0.8109	34.099
4317	5490	21	0.8703	13.980
4362	5781	21	0.8655	14.052
2063	4347	21	0.8395	6.067
4322	7212	21	0.8379	-14.052
5638	7437	22	0.8831	0.016
11566	12125	22	0.8699	14.016
7437	12125	22	0.8051	-14.016
12125	12242	22	0.8492	0.006
12101	12242	22	0.8997	-0.022
8180	12101	22	0.9007	-14.016
11562	12125	22	0.8484	14.016
11562	12242	22	0.8042	14.022
5638	8180	22	0.9995	0.044
7437	9135	22	0.8777	-0.037
7437	11562	22	0.8469	-28.031
7437	8180	22	0.8797	0.028
11561	11566	22	0.8698	-14.016
12101	12125	22	0.8873	-0.028
7437	11566	22	0.8159	-28.031
5638	9135	22	1.0	-0.021
7437	11561	22	0.9186	-14.016
11562	11566	22	0.9013	-0.000
11561	11562	22	0.8853	-14.016
8180	9135	22	1.0	-0.065
11561	12125	22	0.8188	0.000
11561	12101	22	0.8536	0.028
8706	11137	23	0.8746	-14.015
5730	8706	23	0.8312	-14.016
10041	11137	23	0.842	-14.015
10510	11137	23	0.8456	-35.036
5430	5730	23	0.872	0.000
4889	5730	23	0.9992	0.036
5730	10041	23	0.8318	-14.016
5430	10041	23	0.8382	-14.016
8706	10041	23	0.8538	0.000
5420	10041	23	0.7817	-35.037
4028	5420	23	0.8766	35.073
5272	10041	23	0.8764	-35.037
5430	6083	23	0.8467	35.037
5272	8706	23	0.8004	-35.037
6172	10522	23	0.7946	-14.016
5272	10510	23	0.8525	-14.016
5272	6083	23	0.8139	14.016
