cluster index	CF_componentindex	CF_NrNodes	CF_kingdom	CF_kingdom_score	CF_superclass	CF_superclass_score	CF_class	CF_class_score	CF_subclass	CF_subclass_score	CF_Dparent	CF_Dparent_score	CF_MFramework	CF_MFramework_score
5940	991	6	Organic compounds	1.0	Organoheterocyclic compounds	0.3828703703703704	Tetrahydroisoquinolines	0.15416666666666667		0.2791666666666666	Tetrahydroisoquinolines	0.15416666666666667	Aromatic heteropolycyclic compounds	0.4576058201058201
7059	991	6	Organic compounds	1.0	Organoheterocyclic compounds	0.3828703703703704	Tetrahydroisoquinolines	0.15416666666666667		0.2791666666666666	Tetrahydroisoquinolines	0.15416666666666667	Aromatic heteropolycyclic compounds	0.4576058201058201
8803	991	6	Organic compounds	1.0	Organoheterocyclic compounds	0.3828703703703704	Tetrahydroisoquinolines	0.15416666666666667		0.2791666666666666	Tetrahydroisoquinolines	0.15416666666666667	Aromatic heteropolycyclic compounds	0.4576058201058201
2911	S780	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2913	1547	2	Organic compounds	1.0	Organoheterocyclic compounds	0.5	Piperidines	0.3333333333333333	Piperidinones	0.3333333333333333	Piperidinones	0.3333333333333333	Aromatic heteropolycyclic compounds	0.5
2970	1547	2	Organic compounds	1.0	Organoheterocyclic compounds	0.5	Piperidines	0.3333333333333333	Piperidinones	0.3333333333333333	Piperidinones	0.3333333333333333	Aromatic heteropolycyclic compounds	0.5
2917	1698	2	Organic compounds	1.0	Lipids and lipid-like molecules	0.6571428571428571	Prenol lipids	0.4857142857142857	Sesquiterpenoids	0.41428571428571426	Eremophilane, 8,9-secoeremophilane and furoeremophilane sesquiterpenoids	0.14285714285714285	Aliphatic homopolycyclic compounds	0.41428571428571426
12050	1698	2	Organic compounds	1.0	Lipids and lipid-like molecules	0.6571428571428571	Prenol lipids	0.4857142857142857	Sesquiterpenoids	0.41428571428571426	Eremophilane, 8,9-secoeremophilane and furoeremophilane sesquiterpenoids	0.14285714285714285	Aliphatic homopolycyclic compounds	0.41428571428571426
2921	1536	2	Organic compounds	1.0	Benzenoids	0.2857142857142857	Prenol lipids	0.25	Amino acids, peptides, and analogues	0.19642857142857142	Phenylmethylamines	0.14285714285714285	Aromatic heteropolycyclic compounds	0.6607142857142857
9819	1536	2	Organic compounds	1.0	Benzenoids	0.2857142857142857	Prenol lipids	0.25	Amino acids, peptides, and analogues	0.19642857142857142	Phenylmethylamines	0.14285714285714285	Aromatic heteropolycyclic compounds	0.6607142857142857
2922	555	6	Organic compounds	1.0	Lipids and lipid-like molecules	0.6686507936507936	Fatty Acyls	0.33465608465608465	Sesquiterpenoids	0.2552910052910053	Sesquiterpenoids	0.2552910052910053	Aliphatic homomonocyclic compounds	0.2552910052910053
3463	555	6	Organic compounds	1.0	Lipids and lipid-like molecules	0.6686507936507936	Fatty Acyls	0.33465608465608465	Sesquiterpenoids	0.2552910052910053	Sesquiterpenoids	0.2552910052910053	Aliphatic homomonocyclic compounds	0.2552910052910053
3741	555	6	Organic compounds	1.0	Lipids and lipid-like molecules	0.6686507936507936	Fatty Acyls	0.33465608465608465	Sesquiterpenoids	0.2552910052910053	Sesquiterpenoids	0.2552910052910053	Aliphatic homomonocyclic compounds	0.2552910052910053
3828	555	6	Organic compounds	1.0	Lipids and lipid-like molecules	0.6686507936507936	Fatty Acyls	0.33465608465608465	Sesquiterpenoids	0.2552910052910053	Sesquiterpenoids	0.2552910052910053	Aliphatic homomonocyclic compounds	0.2552910052910053
7192	555	6	Organic compounds	1.0	Lipids and lipid-like molecules	0.6686507936507936	Fatty Acyls	0.33465608465608465	Sesquiterpenoids	0.2552910052910053	Sesquiterpenoids	0.2552910052910053	Aliphatic homomonocyclic compounds	0.2552910052910053
