,SMILES
75,C[N@@H+]1[C@@H]2CC[C@H]1C[C@@H](C2)OC(=O)C1(CCCC1)c1ccccc1
76,Cn1c(cc(n1)c1ccccc1)[C@H]1C[N@@H+]2CC[C@H]1C[C@@H]2CNC(=O)c1ccc(cc1)N(C)C
77,C1(C=CC(=CC=C1)C(=O)O)(C)C
78,COc1ccccc1N1CCC(=O)N1
79,Cc1cc(c2c(c1)c(cc(=O)o2)C[N@H+]1CC[C@@H](CC1)C(=O)N)C
80,CCN=C(NN=C(c1cc(CC(C)C)nc2ccccc12)O)S
81,C[C@H](C[C@H]([C@@H]1[C@@](O1)(C)[C@@H]1CCC[C@H]1c1cccc(c1)N)O)C1=C2CC[C@@H]3[C@@]4(C[C@@H](C(=O)C([C@@H]4CC[C@@]43[C@]2([C@@H](C1=O)CCC4)C)(C)C)c1cc(cc(c1)O)C[NH2+]C)C
82,[C@]1(O[C@@H]1C)(c1nc(cs1)C/C(=C/[C@]([C@H]1OC(=O)[C@](OC(=O)[C@@H](CC)C)([C@H](C[C@@H](C[C@@H]([C@H](C(=O)[C@@H](/C=C\C[C@@H]([C@H]([C@@H]([C@@H](/C(=C/C=C/C1)/C)OC)O)O)C)C)C)O)C)C)C)(O)C)/C)C
83,Cn1cc(c(c1c1nc2cc(ccc2n1C)NC(=O)C1CCCC1)OC)C(=O)N(C)C
84,C/C=C/c1ccc2c(c1)[C@@H](CO)[C@@H](c1ccc(cc1)O)O2
85,C[C@]12CC([NH+]=C(N1CCc1c2cc(c(c1)OC)OC)SC)(C)C
86,Cc1ccc(cc1OC)Cn1c2ccccc2nc1c1c(N)non1
87,c12cc(co1)CC/C=C(/CC[C@H](C/C=C(/C2)\C)C(=C)CO)\COC(=O)CCC
88,c1cc(c(cc1c1c(cc2c(cc(cc2[o+]1)O)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)O)O
89,CCCCNc1c2ccccc2[nH+]c2c1C(=O)CC(C2)(C)C
90,c12c(C(=O)C(C2)(C)C)c(c(cc1C(C)C)OC)C
91,C1C[C@H]([C@@H]([NH2+][C@@H]1CCCCCCCCC[C@H](CC(=O)[O-])O[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)CO)O
92,Cc1cc(=O)oc2c1c(cc1c2CCC(O1)(C)C)OCC(=O)Nc1ccccc1F
93,c12/C(=C/C=C/c3ccc(cc3)O)/C(=O)CCc1cc(c(c2)O)O
94,c1c(=O)c(c(oc1OC)C/C=C(/C/C=C/C(=C/[C@@H]([C@H](/C(=C/C)/C)O)C)/C)\C)C
95,[C@@]1(/C=C/[C@H](C(C)C)CC/C=C/CC1)(O)C
96,[C@@H]12[C@@H]3[C@H](C(=C)C(=O)O3)CCC(=C)[C@@H]1C[C@@H](C2=C)C=O
97,Cn1c(=O)c2ccccc2[n+]2c1c1ccccc1C2
98,[C@@]12([C@H]([C@](COC(=O)C)(CC[C@@H]2O)C)CCc2c1ccc(c2)C(C)C)C
99,Cc1cc(=O)oc2c1ccc(c2C(=O)C)OC(=O)c1cccc(c1)Cl
100,[C@@]1(CC[C@@H](C=C1)C(=C)C)(OO)C
101,CC[C@H]1CN(CC[C@H]1CC(=O)NCCOC)C(=O)c1ccnc(c1)Cl
102,C12([C@@]([C@@H]3[C@](C=C1C)(CC(C3=O)(C)C)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)OC(=O)/C=C/c1ccc(cc1)O)O)OC(=O)C)(O)C)CC2
103,CCCCCCOc1ccc(cc1)N1C(=O)[C@@H]2[C@H]3c4ccccc4[C@@H]([C@@H]2C1=O)c1c3ccc(c1)[C@@H](C)CC
104,CC(C)N=c1[nH]c(=NCCCOC)nc([nH]1)SC
105,C[C@H]1CC[N@@H+](CC1)[C@H]1[C@H](O[C@H]([C@H]1O)CO)CNC(=O)C1CCCC1
106,c1ccc(cc1)c1cc(nc2n1nc(c2/N=N/c1ccc(cc1)O)N)[O-]
107,CCCCCc1cc(ccc1O)C[C@H](CCCCCC[C@H]1CCC(=C1)CC[NH3+])C/C=C/CCC(=O)[O-]
108,CN(c1ccccc1)c1c(C#N)c(CC#N)c(C#N)c(=N)[nH]1
109,Cc1c(c(C)on1)NC(=N[C@H]1CC[C@H](CC(=O)N2CCN(C)CC2)O[C@H]1CO)O
110,Cc1cc(c(c2c1CC[C@H](C2)[C@H](C)C(=O)N1CC[C@H](CC1)O)C)OCCOC
111,CC1(C)[C@H](Cc2cc3ccc(=O)oc3cc2O1)O
112,c1cc2c(cc1/C=C/C(=O)N1CCOCC1)C(=O)N1C[C@H](C[C@H]1C(=O)N2)NC(=O)c1ccncc1
113,CC(C)C(=O)Nc1ccc2c(c1)nc(n2C)c1c(c(cn1C)C(=O)N1CCCC1)O
114,CCCCCCC/C=C\CC#CC#CC(=O)C=C
115,CC1=C[C@H]2[C@@H](C(=C1)O)C(=O)c1c(cccc1O[C@H]1[C@@H]([C@@]3([C@@H](CC[C@@]([C@H]3O)(O1)CO)Cc1cc[nH+]c(c1)N)O)O)C2=O
116,CCCCCC[NH2+]CCOc1cc(c2c3c1CCc1c3c(cc3c1[C@H]([C@@H](CO3)c1cc(c(c(c1)OC)O)OC)O)N[C@@H]2O)OC[NH2+]CC
117,C[C@@]12C[N@H+]3C[C@@]([C@@H]1O)(CN(C2)[C@@]3(C)c1ccc(cc1)OC)C
118,Cc1c2cc3c(coc3c(c2oc(=O)c1CCC(=O)NC[C@@H]1CCC[N@@H+]2[C@@H]1CCCC2)C)C(C)(C)C
119,CC(C)C[C@@H](C(=O)O)N=C([C@H](C(C)C)N)O
120,CC(=O)O[C@@H]1C[C@@H]2[C@](C=CC(=O)C2(C)C)([C@@H]2[C@@]1(C1=CC[C@H]([C@@]1(CC2)C)[C@@H]1C[C@@H](O[C@@H]1OC(=O)C)[C@H]1C(O1)(C)C)C)C
121,C(=C\CC/C(=C/COC(=O)C)/C)(/C(=O)O)\CC/C=C(/CCC=C(C)C)\CO
122,[C@@H]1(N(CCC1)C)CCCCCCCCCc1ccccc1
123,[C@]1([C@H]([C@H]2[C@@H](CC[C@@H]1C)[C@H](C(=O)O2)C)OC(=O)/C(=C\C)/C)(C(=O)C[C@H](O)C)O
124,[C@@]123[C@]4(C2)[C@H](C([C@H](CC4)O[C@H]2[C@@H]([C@H]([C@@H](CO2)O)O)O)(C)C)CC[C@H]1[C@]1([C@]([C@@H](C3)OC(=O)C)([C@@H]2[C@H](C1)OC(=O)C[C@H]2C)C)C
125,C[C@@H](N[C@@H](CC1=CNC=N1)C(O)=O)C(NC(=O)[C@@H](N)CC(N)=O)C(O)=O
126,CC[C@@H]1[C@](C)(/C=C/C(=O)[C@H](C)C[C@H](C)[C@@H]([C@@H](C)C(=O)O1)O[C@H]1[C@@H]([C@H](C[C@@H](C)O1)N(C)C)O)O
127,CC(=Cc1ccccc1)C=C1C(=O)N(c2ccc(cc2)C(=O)O)C(=S)S1
128,CC(=C1CC[C@@H](C)[C@@](C)(Cc2c[nH]c3ccccc23)[C@@H]1CCC(=O)O)C
129,CC[C@H](C)[C@@H]1NC(=O)C(C)(C)C(CCCC#C)OC(=O)CCNC(=O)[C@@H](CC2=CC=CC=C2)N(C)C(=O)[C@@H](OC1=O)C(C)C
130,[C@H]12[C@@H]([C@@H]([C@H](N1C)C[C@H](C2)OC(=O)/C(=C/C)/C)O)OC(=O)/C(=C/C)/C
131,CC(C)[C@H]1COCn2c(CCCC(=N1)O)cnn2
132,CCCCCCC[C@@H](CCCCCC[C@@H]([C@@H](C[C@@H](C[NH2+]C)CO)O)C(=O)[O-])O
133,CC[C@@H](C)[C@@H](C(=O)[O-])NC(=O)CO/N=C/1\CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3CCC2=C1)CC[C@@H]4C(=O)C)C)C
134,c12[C@@](C(=O)C(=Cc2oc2c(c1=O)c(cc(c2CC=C(C)C)OC)O)O)(C/C=C(/CCC=C(C)C)\C)CC=C(C)C
135,CC1(CC2=C([C@H](C=C3N2CCc2c3cc3c(c2)OCO3)c2cccc(c2)OC)C(=O)C1)C
136,CCOC(=O)c1cc2c(nc3ccc(cn3c2=O)C)[n+](c1N)Cc1ccccc1
137,c1(c(c(c(cc1C)O)C/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)O)C(=O)OC
138,CC(C)NC(=O)N1CC[C@H]([C@H](C1)CC[NH+]1CCCCC1)CC(=O)[O-]
139,CC[C@H](C)[C@@H](OC(C)=O)[C@@H](C)C1=CC(=O)C2=C(O[C@@]3(C)CC[C@H]4O[C@H](CC[C@]4(C)[C@H]3[C@@H]2OC)C(C)(C)O)C1=O
140,[C@@]12([C@@H]([C@](CCC2)(C(=O)O)C)CC(=O)c2c1ccc(c2CC)C)C
141,OC(=O)CC(=O)C1=C/CCC[C@@H]2CC[C@H]\1N2
142,CC(C)[C@H]1CCC2=C([C@@H]1\C=C(/CO)C(O)=O)C(=O)OC2
143,Cc1ccc(cc1)C(=O)C[n+]1ccccc1
144,C[N@@H+]1CCc2cc(c(cc2[C@H]1CCc1ccc(c(c1)OC)O)O)OC
145,[C@@]1(N(C(=O)CN(C1=O)C)C)(Cc1ccc(cc1)OC)O
146,CCCCCCCCCCC/C=C\CCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C
147,Cc1nnc(o1)C[C@@H]1C[C@H]([C@@H](C=C1C)C[NH+]1CCN(CC1)c1ncccn1)C(C)C
148,[C@@]12([C@@H](C(c3c1cccc3)(C)C)Cc1c(C2=O)cc(cc1O)OC)O
149,[C@@]12([C@H]([C@H]3[C@H](CC2)[C@@]2(C(=CC3)C[C@H](CC2)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)C)C[C@@H]([C@@H]1[C@@H]([C@@H]1N(C[C@H](CC1)C)C)C)O)C
150,[H][C@]12CCC[C@H](C)[C@@]1([H])[C@@](C)([C@@H](C)C=C2)C1=CC(=O)\C(=C/N)C(=O)O1
151,Cc1cc(c(C)n1c1ccccc1F)C(=O)COC(=O)c1ccc(cc1)O
152,c12c3c(ccc(c3)C[C@H]3[C@H](CCCCc(c2)cc(c1O)OC)OC(O3)(C)C)O
153,CC[NH2+]C[C@H]1C[C@@H](N2[C@H]1C2)[C@@H](c1ccc(cc1)C=O)C1CCCC1
154,CC1=CC(=CC(=CNn2c(C)nc3ccccc3c2=O)C1=O)N(=O)=O
155,CCCCC[C@H](/C=C/C=C\C=C\C=C\[C@H]([C@H](CCCC(=O)O)O)O)O
156,CC(=O)N1CCC2(CC1)CC(=O)c1ccc(cc1O2)OCC(=O)NCc1ccc(c(c1)OC)OC
157,Cc1c(oc2c1cc1c(c(c(=O)oc1c2C)CCC(=O)NCCC[NH+](C)C)C)C
158,CC(C)NC(=O)NC[C@H]1C[C@@H]2CCN1C[C@@H]2C[NH+]1CCCCC1
159,[C@@H]1([C@@H]([C@@H]([C@H](O[C@H]1CO)O[C@H]([C@@H]([C@@H](CO)O)N)[C@@H](CN)O)O)O)NC(=O)CC
160,[C@@]1([C@@H]2O[C@H]3[C@](CC2)(O[C@H](CC3)C(=C)[C@@H](C[C@@H]([C@@]2(O[C@H](CC2)C(O)(C)C)C)O)O)C)(OC([C@@H](CC1)Br)(C)C)C
161,CC1(CC2=C(/C(=N/NC(=S)N)/C[C@H]3N2CCc2c3cccc2)C(=O)C1)C
162,[C@@H](C(=O)O)(CCCCC(C)C)N
163,Cc1cc[n+](cc1)CC(=O)c1ccccc1
164,COc1ccc(cc1)CNC(=O)C[C@H]1[C@@H]([C@@H]([C@H](O1)C[NH3+])O)O
165,CC(CCC1(C)C(C)CCC2(C)C1CC(=O)C=C2C(O)=O)CC(O)=O
166,C1CC(=C[C@H]1CCCCCCCC/C=C/C[C@@H](CCCO)C(=O)[O-])CO
167,c1cnccc1c1nc(on1)[C@@H]1C[C@H](C[N@H+]1C1CCCCC1)O
168,c1cc(cc(c1)N1[C@@H]2[C@@H](C[C@H]([C@@H]([C@@H]2NC1=S)O)O)C(=O)NCc1cccnc1)C(F)(F)F
169,Cc1ccccc1c1cc2c(nc1)O[C@H](CN(C)CC1CCCCC1)[C@@H](C)CN([C@@H](C)CO)C2=O
170,[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)[C@]([C@H](CC4)O[C@H]3[C@@H]([C@H]([C@H](CO3)O)O)O)(CO)C)C)CC=C1[C@H]1[C@@](CC2)(CC[C@@H]([C@]1(O)C)C)C(=O)O)C)C
171,C[C@H](C(=O)[O-])NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1C(S[C@@H]2N1C(=O)c1c2cccc1)(C)C
172,C[N@H+]1[C@@H]2CCN([C@@H]2C(=O)NC[C@@H]1CCC(=O)N1CC[C@H](CC1)O)Cc1ccc(cc1)OC
173,c1cc(oc1C[NH2+][C@@H]1[C@H]2CO[C@H](O2)[C@@H]([C@H]1O)N1CCOCC1)CO
174,CC(C)C1C(=O)NC(CCc2ccc(cc2)O)C(=O)N(C)C(C)C(=O)NC(Cc2ccccc2)C(=O)NCCCCC(C(=O)N1)NC(=O)NC(CCCCN)C(=O)O
175,CCO[C@@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O
176,C1C[C@@H]2C[C@](C1)(OC1=C2C(=O)CCC1)N
177,C1C[C@H]2C(=O)C(=CCN1)COC(=O)[C@]([C@@H]([C@@H]([C@H](C(=O)O2)CC)O)C)(O)C
178,[C@H]([N+](C)(C)C)([C@H](CC)C)C(=O)[O-]
179,[H][C@@]12CC[C@@H](C)[C@]3(CC4=C(O3)C3=C(C=C4O)C(=O)N(CCCCC(=O)OC)C3)[C@@]1(C)CC[C@@H](O)C2(C)C
180,CCCC1(/C(=N/CCc2ccc(c(c2)OC)OC)/NC(=NC1=O)[O-])CCC
181,CC(C)CCNc1c(C#N)c2CCN(C)Cc2c(n1)N1CCCC1
182,C[C@@H](CCC[C@H](C1(CCCC1)[C@H](C1(CC[NH2+]CC1)Cc1ccc(c(c1)OC)O)OC(=O)C[NH2+]C)OC(=O)C)O
183,C=CCO[C@@]1(C[C@H]([C@H]([C@@H]([C@@H](CO)OC)O1)O)O)C(=O)[O-]
184,[C@@H]1([C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O[C@H]([C@H](CC=O)O)[C@H](O)C
185,CC([C@H](O)C\C=C(/C)C(O)=O)[C@H]1C[C@H](OC(C)=O)[C@@]2(C)C3=CCC4C(C)(C)[C@@H](CC[C@]4(C)C3=CC[C@]12C)OC(C)=O
186,CN[C@H]1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1O)O[C@@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)N)N)O)O
187,CCCCC/C=C\C/C=C\C=C\C(CCCCCCC(=O)O)O
188,[C@@]12([C@H]([C@H]3[C@@H](c4c(CC3)cc(cc4)O)CC2)CC[C@@H]1OC(=O)C(C)(C)C)C
189,COCCOCCOCCOCCOCCOCCO
190,CC=Cc1ccc(cc1)[C@H]1[C@@H](CO)N(CC2CCOCC2)C21CN(C2)C(=O)COC
191,[C@@H]1([C@]2([C@@H](C[C@H]1O)c1c([C@@H](CC2)C)cc(c(c1)C)C(=O)O)C)C(O)(C)C
192,CN(C)C(=O)[C@H]1[C@H](CO)[C@H]2Cn3c(ccc(c4ccccc4)c3=O)[C@H]2N1CCC(F)(F)F
193,CC(=CCc1c(ccc2[C@@H]3COc4cc(ccc4[C@@H]3Oc12)O)O)C
194,c1cc(ccc1C[N@@H+]1C[C@@H](C[C@H]1c1nc(no1)C1CC1)O)F
195,CC1(Cc2c(c(c3ccccc3[nH+]2)N)C(=O)C1)C
196,c1cc(ccc1N1CCN(CC1)C(=O)C[C@H]1[C@@H]([C@@H]([C@H](O1)CNC(=O)c1ccc2c(c1)OCO2)O)O)F
197,Cc1cc(ccc1OC)CN1CCC(=O)NC1=O
198,C[N@H+](Cc1ccccc1)Cc1cn(nn1)[C@H]1CO[C@H]2[C@@H]1OC[C@@H]2[NH2+]Cc1ccco1
199,CCCCC[C@@H](/C=C/[C@@H]1[C@@H](C/C=C\CC(=O)O)C(=O)C[C@H]1O)O
200,[C@@H]1(C[C@](/C=C/C[C@@H](/C=C/[C@@]2([C@@H]1[C@@H](CC2)C(C)(C)O)C)C)(C)OC(=O)C)O
201,CC(C)(C)c1ccc(cc1)c1cn(nn1)C[C@H]1C[C@H]2CC[N@@H+]1C[C@@H]2C(=O)NCCOC
