OTU,ESV
Otu00212,esv_214
Otu00213,esv_215
Otu00215,esv_217
Otu00216,esv_218
Otu00217,esv_219
Otu00218,esv_220
Otu00219,esv_221
Otu00220,esv_223
Otu00221,esv_224
Otu00222,esv_225
Otu00223,esv_226
Otu00224,esv_227
Otu00225,esv_228
Otu00226,esv_229
Otu00227,esv_230
Otu00228,esv_231
Otu00229,esv_232
Otu00230,esv_233
Otu00231,esv_234
Otu00232,esv_235
Otu00233,esv_236
Otu00234,esv_237
Otu00235,esv_238
Otu00236,esv_239
Otu00237,esv_240
Otu00238,esv_241
Otu00239,esv_242
Otu00240,esv_243
Otu00241,esv_244
Otu00242,esv_245
Otu00243,esv_246
Otu00244,esv_247
Otu00245,esv_248
Otu00246,esv_249
Otu00247,esv_250
Otu00248,esv_251
Otu00249,esv_252
Otu00250,esv_253
Otu00251,esv_254
Otu00252,esv_255
Otu00254,esv_257
Otu00255,esv_258
Otu00256,esv_259
Otu00257,esv_260
Otu00258,esv_261
Otu00259,esv_262
Otu00260,esv_264
Otu00261,esv_265
Otu00262,esv_266
Otu00263,esv_267
Otu00264,esv_268
Otu00265,esv_269
Otu00266,esv_270
Otu00267,esv_271
Otu00268,esv_272
Otu00269,esv_273
Otu00270,esv_274
Otu00271,esv_275
Otu00272,esv_276
Otu00273,esv_277
Otu00274,esv_278
Otu00275,esv_279
Otu00276,esv_280
Otu00277,esv_281
Otu00279,esv_283
Otu00280,esv_284
Otu00281,esv_285
Otu00282,esv_286
Otu00283,esv_287
Otu00284,esv_288
Otu00285,esv_290
Otu00286,esv_291
Otu00287,esv_292
Otu00288,esv_293
Otu00289,esv_294
Otu00290,esv_295
Otu00291,esv_296
Otu00292,esv_297
Otu00293,esv_298
Otu00294,esv_299
Otu00295,esv_300
Otu00296,esv_301
Otu00297,esv_302
Otu00298,esv_303
Otu00299,esv_304
Otu00300,esv_305
Otu00301,esv_306
Otu00302,esv_307
Otu00303,esv_309
Otu00304,esv_310
Otu00305,esv_312
Otu00306,esv_313
Otu00307,esv_314
Otu00308,esv_315
Otu00309,esv_316
Otu00310,esv_317
Otu00311,esv_318
Otu00312,esv_319
Otu00313,esv_320
Otu00314,esv_321
Otu00315,esv_322
Otu00316,esv_323
Otu00318,esv_325
Otu00319,esv_326
Otu00322,esv_329
Otu00323,esv_332
Otu00324,esv_333
Otu00325,esv_334
Otu00326,esv_335
Otu00327,esv_336
Otu00328,esv_337
Otu00329,esv_338
Otu00330,esv_339
Otu00331,esv_340
Otu00332,esv_341
Otu00333,esv_342
Otu00334,esv_343
Otu00335,esv_344
Otu00336,esv_345
Otu00337,esv_346
Otu00338,esv_347
Otu00339,esv_348
Otu00340,esv_349
Otu00341,esv_350
Otu00343,esv_352
Otu00344,esv_353
Otu00345,esv_355
Otu00346,esv_356
Otu00347,esv_357
Otu00348,esv_358
Otu00349,esv_360
Otu00350,esv_361
Otu00351,esv_364
Otu00352,esv_365
Otu00353,esv_366
Otu00354,esv_367
Otu00355,esv_368
