ESV,Doman,Phylum,Class,Order,Family,Genus,,,,,
esv_16109,Archaea(96),Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,,,,,
esv_11659,Bacteria(100),Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Peredibacter,,,,,
esv_13074,Bacteria(90),Chlamydiae,Chlamydiae,Chlamydiales,Chlamydiales_unclassified,Chlamydiales_unclassified,,,,,
esv_528,Bacteria(100),Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae_unclassified,,,,,
esv_3751,Bacteria(100),Proteobacteria,Gammaproteobacteria,Piscirickettsiales,Piscirickettsiaceae,Candidatus_Endoecteinascidia,,,,,
esv_15789,Bacteria(100),Margulisbacteria,Margulisbacteria_cl,Margulisbacteria_or,Margulisbacteria_fa,Margulisbacteria_ge,,,,,
esv_11467,Bacteria(100),Chloroflexi,Anaerolineae,Ardenticatenales,uncultured,uncultured_ge,,,,,
esv_5759,Bacteria(100),Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,,,,
esv_14781,Bacteria(99),Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,OM27_clade,,,,,
esv_15791,Bacteria(100),Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillales_unclassified,Oceanospirillales_unclassified,,,,,
esv_15541,Bacteria(99),Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,,,,,
esv_12869,Bacteria(100),Lentisphaerae,Lentisphaeria,Lentisphaerales,Lentisphaeraceae,Lentisphaera,,,,,
esv_3137,Bacteria(100),Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacteriaceae_unclassified,,,,,
esv_839,Bacteria(100),Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Aestuariibacter,,,,,
esv_7404,Bacteria(100),Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonadaceae_unclassified,,,,,
esv_7326,Bacteria(100),Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oleiphilaceae,Oleiphilus,,,,,
esv_6255,Bacteria(97),Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,,,,,
esv_15271,Bacteria(99),Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriales_unclassified,Flavobacteriales_unclassified,,,,,
esv_6387,Bacteria(100),Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116_clade,SAR116_clade_ge,,,,,
esv_13581,Bacteria(99),Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,,,,,
esv_10756,Bacteria(100),Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Candidatus_Endobugula,,,,,
esv_13529,Bacteria(100),Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116_clade,SAR116_clade_ge,,,,,
esv_296,Bacteria(100),Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacteriaceae_unclassified,,,,,
esv_11029,Bacteria(100),Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Erythrobacter,,,,,
esv_10115,Bacteria(100),Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae_unclassified,,,,,
esv_6301,Bacteria(100),Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,,,,,
esv_18643,Bacteria(94),Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,,,,,
esv_4939,Bacteria(100),Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae_unclassified,,,,,
esv_11083,Bacteria(100),Planctomycetes,BD7-11,BD7-11_or,BD7-11_fa,BD7-11_ge,,,,,
esv_15369,Bacteria(100),Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_III,Clade_III_ge,,,,,
esv_8067,Bacteria(100),Bacteroidetes,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group_ge,,,,,
esv_10649,Bacteria(100),Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,,,,,
esv_3475,Bacteria(100),Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group,,,,,
esv_5991,Archaea(85),Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,,,,,
esv_6640,Bacteria(100),Planctomycetes,OM190,OM190_or,OM190_fa,OM190_ge,,,,,
esv_12002,Bacteria(100),Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae_unclassified,,,,,
esv_4648,Bacteria(96),Chlamydiae,Chlamydiae,Chlamydiales,Chlamydiales_unclassified,Chlamydiales_unclassified,,,,,
esv_377,Bacteria(100),Verrucomicrobia,Verrucomicrobiae,Arctic97B-4_marine_group,Arctic97B-4_marine_group_fa,Arctic97B-4_marine_group_ge,,,,,
esv_9205,Bacteria(100),Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae_unclassified,,,,,
esv_3727,Archaea(99),Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,,,,,
esv_15952,Bacteria(100),Proteobacteria,Deltaproteobacteria,Oligoflexales,Oligoflexaceae,uncultured,,,,,
esv_13432,Bacteria(100),Bacteroidetes,Bacteroidia,Cytophagales,Flammeovirgaceae,Flammeovirga,,,,,
esv_12697,Bacteria(100),Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Rubripirellula,,,,,
esv_17337,Bacteria(100),Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,Thioglobaceae_unclassified,,,,,
esv_19708,Bacteria(100),Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Saprospiraceae_unclassified,,,,,
esv_12537,Bacteria(97),Cyanobacteria,Oxyphotobacteria,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,,,,,
esv_1114,Bacteria(100),Bacteroidetes,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group_ge,,,,,
esv_9906,Bacteria(100),Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,,,,,
esv_5120,Bacteria(100),Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Aestuariibacter,,,,,
esv_7604,Bacteria(100),Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonadaceae_unclassified,,,,,
esv_20276,Bacteria(99),Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,,,,,
esv_9428,Bacteria(100),Bacteroidetes,Ignavibacteria,OPB56,OPB56_fa,OPB56_ge,,,,,
esv_14369,Bacteria(100),Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Thalassobius,,,,,
esv_10806,Bacteria(100),Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,Candidatus_Berkiella,,,,,
esv_9644,Bacteria(100),Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,,,,,
esv_14501,Bacteria(99),Proteobacteria,Deltaproteobacteria,NB1-j,NB1-j_fa,NB1-j_ge,,,,,
esv_3798,Bacteria(100),Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,uncultured,,,,,
esv_8710,Bacteria(100),Verrucomicrobia,Verrucomicrobiae,Arctic97B-4_marine_group,Arctic97B-4_marine_group_fa,Arctic97B-4_marine_group_ge,,,,,
esv_13267,Bacteria(100),Proteobacteria,Deltaproteobacteria,PB19,PB19_fa,PB19_ge,,,,,
esv_4695,Bacteria(100),Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Candidatus_Endobugula,,,,,
esv_5742,Bacteria(100),Planctomycetes,OM190,OM190_or,OM190_fa,OM190_ge,,,,,
esv_14443,Bacteria(100),Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,Gemmataceae_unclassified,,,,,
esv_4969,Bacteria(100),Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,Clade_II_ge,,,,,
esv_18872,Bacteria(100),Gemmatimonadetes,BD2-11_terrestrial_group,BD2-11_terrestrial_group_or,BD2-11_terrestrial_group_fa,BD2-11_terrestrial_group_ge,,,,,
esv_19867,Bacteria(100),Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,uncultured,,,,,
esv_7969,Archaea(89),Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,,,,,
esv_5537,Bacteria(100),Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS2b_marine_group,,,,,
esv_1074,Bacteria(100),Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,OM60,,,,,99)
esv_1580,Bacteria(100),Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,Spongiibacter,,,,,
esv_472,Bacteria(100),Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Aestuariibacter,,,,,
esv_13355,Bacteria(100),Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,Labilibacter,,,,,
esv_16261,Archaea(100),Nanoarchaeaeota,Nanohaloarchaeia,Nanohaloarchaeales,Nanohaloarchaeaceae,Candidatus_Haloredivivus,,,,,
esv_15850,Bacteria(100),Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Roseibacillus,,,,,
esv_966,Bacteria(100),Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,,,,,
esv_9539,Bacteria(100),Proteobacteria,Gammaproteobacteria,SAR86_clade,SAR86_clade_fa,SAR86_clade_ge,,,,,
esv_10058,Bacteria(100),Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,,,,,
esv_14172,Bacteria(99),Proteobacteria,Deltaproteobacteria,Oligoflexales,Oligoflexaceae,uncultured,,,,,
esv_14893,Bacteria(100),Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillaceae_unclassified,,,,,
