Sample_Name_Unique,Sample_Name,PCR_setting,Experiment,Replicate
C2_w_T00_v1,C2_w_T00,Standard,ROBO,II
C2_w_T36,C2_w_T36,Standard,ROBO,I
C2_w_T36_v1,C2_w_T36,Standard,ROBO,II
C2_x_T00,C2_x_T00,Standard,ROBO,I
C2_x_T00_v1,C2_x_T00,Standard,ROBO,II
C2_x_T-48,C2_x_T-48,Standard,ROBO,I
C2_x_T-48_v1,C2_x_T-48,Standard,ROBO,II
C3_a_T00,C3_a_T00,Standard,ROBO,I
C3_a_T00_v1,C3_a_T00,Standard,ROBO,II
C3_a_T36,C3_a_T36,Standard,ROBO,I
C3_a_T36_v1,C3_a_T36,Standard,ROBO,II
C3_c_T00,C3_c_T00,Standard,ROBO,I
C3_c_T00_v1,C3_c_T00,Standard,ROBO,II
C3_c_T36,C3_c_T36,Standard,ROBO,I
C3_c_T36_v1,C3_c_T36,Standard,ROBO,II
C3_w_T00,C3_w_T00,Standard,ROBO,I
C3_w_T00_v1,C3_w_T00,Standard,ROBO,II
C3_w_T36,C3_w_T36,Standard,ROBO,I
C3_w_T36_v1,C3_w_T36,Standard,ROBO,II
C3_x_T00,C3_x_T00,Standard,ROBO,I
C3_x_T00_v1,C3_x_T00,Standard,ROBO,II
C3_x_T-48,C3_x_T-48,Standard,ROBO,I
C3_x_T-48_v1,C3_x_T-48,Standard,ROBO,II
HOW_11_DR,HOW_11_DR,Standard,ASRAMP,I
HOW_11_LR,HOW_11_LR,Standard,ASRAMP,I
HOW_12_DR,HOW_12_DR,Standard,ASRAMP,I
HOW_12_LR,HOW_12_LR,Standard,ASRAMP,I
HOW_13_DR,HOW_13_DR,Standard,ASRAMP,I
HOW_13_LR,HOW_13_LR,Standard,ASRAMP,I
HOW_13_WC,HOW_13_WC,Standard,ASRAMP,I
HOW_14_WC,HOW_14_WC,Standard,ASRAMP,I
HOW_S1_DR,HOW_S1_DR,Standard,ASRAMP,I
HOW_S1_LR,HOW_S1_LR,Standard,ASRAMP,I
HOWLAND_OS,HOWLAND_OS,Standard,ASRAMP,I
JAR_01_WC,JAR_01_WC,Standard,ASRAMP,I
JAR_04_LR,JAR_04_LR,Standard,ASRAMP,I
JAR_04_WC,JAR_04_WC,Standard,ASRAMP,I
JAR_08_LR,JAR_08_LR,Standard,ASRAMP,I
JAR_11_WC,JAR_11_WC,Standard,ASRAMP,I
JAR-01_DR,JAR-01_DR,Standard,ASRAMP,I
JAR-01_LR,JAR-01_LR,Standard,ASRAMP,I
JAR-04_DR,JAR-04_DR,Standard,ASRAMP,I
JAR-08_DR,JAR-08_DR,Standard,ASRAMP,I
JAR-08_WC,JAR-08_WC,Standard,ASRAMP,I
JAR-11_DR,JAR-11_DR,Standard,ASRAMP,I
JAR-11_LR,JAR-11_LR,Standard,ASRAMP,I
JAR-11_OS,JAR-11_OS,Standard,ASRAMP,I
KIN_04_LR,KIN_04_LR,Standard,ASRAMP,I
KIN_13_LR,KIN_13_LR,Standard,ASRAMP,I
KIN_16_LR,KIN_16_LR,Standard,ASRAMP,I
KIN-04_WC,KIN-04_WC,Standard,ASRAMP,I
KIN-05_OS,KIN-05_OS,Standard,ASRAMP,I
KIN-13_DR,KIN-13_DR,Standard,ASRAMP,I
KIN-13_WC,KIN-13_WC,Standard,ASRAMP,I
KIN-16_DR,KIN-16_DR,Standard,ASRAMP,I
KIN-16_WC,KIN-16_WC,Standard,ASRAMP,I
KIW-04_DR,KIW-04_DR,Standard,ASRAMP,I
OFU_06_LR,OFU_06_LR,Standard,ASRAMP,I
OFU_09_LR,OFU_09_LR,Standard,ASRAMP,I
OFU_09_WC,OFU_09_WC,Standard,ASRAMP,I
OFU-06,OFU-06,Standard,ASRAMP,I
OFU-06_DR,OFU-06_DR,Standard,ASRAMP,I
OFU-09_DR,OFU-09_DR,Standard,ASRAMP,I
PAL_19_LR,PAL_19_LR,Standard,ASRAMP,I
PAL_25_LR,PAL_25_LR,Standard,ASRAMP,I
PAL_64_LR,PAL_64_LR,Standard,ASRAMP,I
