Tree#,Groups,WScore
1,A1_w_T00-A2_a_T36,0.346505
1,A1_w_T00_v1-A2_a_T36,0.327762
1,A1_w_T36-A2_a_T36,0.241754
1,A1_w_T36_v1-A2_a_T36,0.227875
1,A1_x_T00-A2_a_T36,0.451739
1,A1_x_T00_v1-A2_a_T36,0.434782
1,A1_x_T_48-A2_a_T36,0.600516
1,A1_x_T_48_v1-A2_a_T36,0.571812
1,A2_a_T00-A2_a_T36,0.418277
1,A2_a_T00_v1-A2_a_T36,0.419837
1,A1_a_T00-A2_a_T36_v1,0.300983
1,A1_a_T00_v1-A2_a_T36_v1,0.333727
1,A1_a_T36-A2_a_T36_v1,0.091857
1,A1_a_T36_v1-A2_a_T36_v1,0.125667
1,A1_c_T00-A2_a_T36_v1,0.30409
1,A1_c_T00_v1-A2_a_T36_v1,0.294944
1,A1_c_T36-A2_a_T36_v1,0.230971
1,A1_c_T36_v1-A2_a_T36_v1,0.248274
1,A1_w_T00-A2_a_T36_v1,0.314031
1,A1_w_T00_v1-A2_a_T36_v1,0.301566
1,A1_w_T36-A2_a_T36_v1,0.194326
1,A1_w_T36_v1-A2_a_T36_v1,0.176275
1,A1_x_T00-A2_a_T36_v1,0.4226
1,A1_x_T00_v1-A2_a_T36_v1,0.409792
1,A1_x_T_48-A2_a_T36_v1,0.587552
1,A1_x_T_48_v1-A2_a_T36_v1,0.55312
1,A2_a_T00-A2_a_T36_v1,0.390629
1,A2_a_T00_v1-A2_a_T36_v1,0.39171
1,A2_a_T36-A2_a_T36_v1,0.106211
1,A1_a_T00-A2_c_T00,0.162885
1,A1_a_T00_v1-A2_c_T00,0.152122
1,A1_a_T36-A2_c_T00,0.352784
1,A1_a_T36_v1-A2_c_T00,0.316767
1,A1_c_T00-A2_c_T00,0.141187
1,A1_c_T00_v1-A2_c_T00,0.165577
1,A1_c_T36-A2_c_T00,0.316632
1,A1_c_T36_v1-A2_c_T00,0.329239
1,A1_w_T00-A2_c_T00,0.159248
1,A1_w_T00_v1-A2_c_T00,0.178566
1,A1_w_T36-A2_c_T00,0.303089
1,A1_w_T36_v1-A2_c_T00,0.32985
1,A1_x_T00-A2_c_T00,0.21006
1,A1_x_T00_v1-A2_c_T00,0.196598
1,A1_x_T_48-A2_c_T00,0.452358
1,A1_x_T_48_v1-A2_c_T00,0.403401
1,A2_a_T00-A2_c_T00,0.142879
1,A2_a_T00_v1-A2_c_T00,0.131992
1,A2_a_T36-A2_c_T00,0.363019
1,A2_a_T36_v1-A2_c_T00,0.34714
1,A1_a_T00-A2_c_T00_v1,0.158757
1,A1_a_T00_v1-A2_c_T00_v1,0.147274
1,A1_a_T36-A2_c_T00_v1,0.365721
1,A1_a_T36_v1-A2_c_T00_v1,0.326773
1,A1_c_T00-A2_c_T00_v1,0.139908
1,A1_c_T00_v1-A2_c_T00_v1,0.162892
1,A1_c_T36-A2_c_T00_v1,0.322178
1,A1_c_T36_v1-A2_c_T00_v1,0.33195
1,A1_w_T00-A2_c_T00_v1,0.146789
1,A1_w_T00_v1-A2_c_T00_v1,0.177937
1,A1_w_T36-A2_c_T00_v1,0.304667
1,A1_w_T36_v1-A2_c_T00_v1,0.334327
1,A1_x_T00-A2_c_T00_v1,0.213893
1,A1_x_T00_v1-A2_c_T00_v1,0.199803
1,A1_x_T_48-A2_c_T00_v1,0.463843
1,A1_x_T_48_v1-A2_c_T00_v1,0.413946
1,A2_a_T00-A2_c_T00_v1,0.152258
1,A2_a_T00_v1-A2_c_T00_v1,0.134216
1,A2_a_T36-A2_c_T00_v1,0.377147
1,A2_a_T36_v1-A2_c_T00_v1,0.349604
1,A2_c_T00-A2_c_T00_v1,0.07835
1,A1_a_T00-A2_c_T36,0.351606
1,A1_a_T00_v1-A2_c_T36,0.383468
1,A1_a_T36-A2_c_T36,0.18753
1,A1_a_T36_v1-A2_c_T36,0.180276
1,A1_c_T00-A2_c_T36,0.346024
1,A1_c_T00_v1-A2_c_T36,0.330867
1,A1_c_T36-A2_c_T36,0.207162
1,A1_c_T36_v1-A2_c_T36,0.21313
