"","Mo_2019_320","Mo_2019_321","Mo_2019_322","Mo_2019_323","Mo_2019_324","Mo_2019_325","Mo_2019_326","Mo_2019_327","Mo_2019_328","Mo_2019_329","Mo_2019_330","Mo_2019_331","Mo_2019_332","Mo_2019_333","Mo_2019_334","Mo_2019_335","Mo_2019_336","Mo_2019_337","Mo_2019_338","Mo_2019_339","Mo_2019_340","Mo_2019_341","Mo_2019_342","Mo_2019_343","Mo_2019_344","Mo_2019_345","Mo_2019_346","Mo_2019_347","Mo_2019_348","Mo_2019_349","Mo_2019_350","Mo_2019_351","Mo_2019_352","Mo_2019_353","Mo_2019_543"
"8926_445.0042_6.8476_-1_N/A_NA_NA_no matches_no matches_no matches_no matches",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8930_642.4789_7.8101_665_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_1-hydroxy-2-unsubstituted benzenoids",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482538.6,0,0,0,0,406753.4,0,0,0,0,0,0,0,0,0
"8931_554.4266_7.702_665_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_1-hydroxy-2-unsubstituted benzenoids",0,0,0,0,0,0,148406.6,0,0,0,0,0,0,0,0,0,0,0,0,0,235406.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9883_738.6486_12.4821_-1_N/A_NA_NA_no matches_no matches_no matches_no matches",0,0,0,0,42073.93,0,0,170617.2,0,0,66601.11,0,0,0,0,0,0,0,0,0,0,0,0,0,3364960,0,0,0,0,0,0,0,0,0,0
"10311_344.2914_7.3584_3_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_Pregnane steroids",0,0,0,0,144249.9,0,0,0,0,0,133419.6,0,0,0,0,0,0,0,0,0,0,114767.1,0,0,0,0,0,0,0,0,0,0,0,0,0
"10313_330.2751_6.7162_3_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_Pregnane steroids",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100819.1,0,0,0,0,0,113162,0,0,0,0,0,0,0
"10318_998.2888_12.7471_184_N/A_Contaminant vial septum ThermoFisher C5000-44B_NA_Organic compounds_Phenylpropanoids and polyketides_Flavonoids_Flavonoid glycosides",75539.63,0,15531.15,0,0,0,13528.33,0,0,0,0,11685.79,0,0,11975.26,29437,0,21849.68,6192.696,0,8098.812,39638.55,9955.31,31335.57,16749.79,0,6693.51,0,11493.27,0,4874.46,0,0,0,14402.48
"10326_723.6457_9.266_532_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Organooxygen compounds_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10371_790.248_13.0219_184_N/A_Contaminant vial septum ThermoFisher C5000-44B_NA_Organic compounds_Phenylpropanoids and polyketides_Flavonoids_Flavonoid glycosides",0,38716.01,0,0,0,83273.7,0,0,0,0,200978.8,0,0,0,0,0,0,0,15835.83,0,75095.12,0,0,0,222047.7,0,0,0,0,0,0,11860.17,0,0,0
"10585_366.1477_2.2466_-1_N/A_Massbank:RP021501 3-hydroxy-C8-homoserine lactone|3-hydroxy-N-(2-oxooxolan-3-yl)octanamide_NA_no matches_no matches_no matches_no matches",0,0,3841035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2236498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10591_263.1314_5.2789_-1_N/A_Gitoxigenin_NA_no matches_no matches_no matches_no matches",0,0,0,0,0,0,0,0,0,0,0,193419.7,0,0,0,0,0,0,0,0,0,1050068,0,0,0,0,0,0,0,0,0,0,0,0,0
"10637_230.1291_7.4831_147_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA",0,0,279177.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68227.21,0,0,0,228816,114410.1,0,0,0,0,0,0
"10651_517.4256_12.7035_481_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Hydroxycinnamic acids and derivatives",8734.594,0,37547.25,46999.7,0,0,12296.91,15264.85,9748.323,0,0,13313.01,18193.77,0,0,16093.68,22288.26,5354.366,0,3497.372,0,0,0,0,439657.4,0,0,0,0,0,0,0,0,14888.84,0
"10766_691.6346_13.019_176_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA",7601.225,0,0,0,29504.14,0,0,0,0,6318.243,97948.58,21106.31,35933.85,0,0,185531.1,0,0,0,0,0,0,0,0,16247460,0,38052.68,0,15879.38,6598.867,7613.824,0,0,0,0
"11150_506.3616_8.0383_2425_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_Ergostane steroids",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1342791,0,0,0,0,743233.6,0,0,0,0,0,0,0,0,0
"11161_370.2028_6.3917_773_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11184_717.649_13.0143_176_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA",0,4175.144,0,0,0,0,0,5078.986,0,0,96881.38,0,0,0,0,380842.2,0,0,16250.38,5069.664,7836.093,6428.291,0,0,14026400,0,36034.03,0,63265.9,18426.04,0,0,0,0,0
"11185_703.634_12.3014_176_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA",0,0,0,0,24896.07,0,0,0,0,0,100200,0,22983.14,0,0,1483622,0,0,28173.94,11019.02,0,0,0,0,11378420,0,0,0,112767.8,0,0,0,0,0,0
"11187_677.619_12.2992_176_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA",0,0,0,0,17122.52,0,0,0,0,0,46709.76,35647.19,89587.24,0,0,154448,0,0,0,0,0,0,0,0,12919160,0,52825.24,0,58139.63,0,0,0,0,0,0
"11189_697.6238_12.3962_68_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Fatty acids and conjugates",0,0,0,0,13849.01,0,0,0,0,0,0,0,11887.91,0,0,120677.7,0,0,0,0,0,0,0,0,30791270,0,0,0,0,0,0,0,0,0,0
"11195_675.6037_11.555_-1_N/A_NA_NA_no matches_no matches_no matches_no matches",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15191.16,0,0,0,0,0,0,0,0,11018190,0,0,0,0,0,0,0,0,0,0
"11216_365.3165_8.3635_-1_N/A_(E)-4-[(1R,2S,3S,4R,8aS)-2,3,4-trihydroxy-2,5,5,8a-tetramethyl-3,4,4a,6,7,8-hexahydro-1H-naphthalen-1-yl]but-3-en-2-one_NA_no matches_no matches_no matches_no matches",0,1068550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85219.47,0,0,0,0,0,0,0,0,0,0,0
"11580_243.183_5.5838_253_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Indoles and derivatives_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121625800,147298.7,0,0,0,0,0
"11589_260.2585_8.9275_2314_N/A_Massbank:LU033301 AM580|4-{[(5,5,8,8-Tetramethyl-5,6,7,8-tetrahydronaphthalen-2-yl)carbonyl]amino}benzoic acid|4-[(5,5,8,8-tetramethyl-6,7-dihydronaphthalene-2-carbonyl)amino]benzoic acid_NA_Organic compounds_Organic nitrogen compounds_Organonitrogen compounds_Amines",113486.6,0,0,0,93619.02,0,0,75042.29,98206.09,0,0,102838.5,457038.4,0,70958.57,0,0,0,0,0,87837.24,0,0,0,0,0,0,0,32255490,0,0,0,0,0,0
