"","rep(abund.nosub.asv$ASV, times = 3)","adjusted_pval","Treatment","l2fc","Mean_Abundance","significant","OTUNumber","Doman","Phylum","Class","Order","Family","Genus","Genus_OTU","Family_Genus_OTU","Family_OTU","significant1","fontface","l2fcSE"
"36","Otu00058",0.0488839756793183,"Heated",-2.52360759980856,306.666666666667,"Y","Otu00058","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","NS9_marine_group","NS9_marine_group_ge","NS9_marine_group_ge_Otu00058","NS9_marine_group_NS9_marine_group_ge_Otu00058","NS9_marine_group_Otu00058","Y","bold",0.899313283299459
"37","Otu00060",0.805203849623125,"Heated",-0.447015285806887,1139.66666666667,"N","Otu00060","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","Rhodobacteraceae_unclassified_Otu00060","Rhodobacteraceae_Rhodobacteraceae_unclassified_Otu00060","Rhodobacteraceae_Otu00060","N","plain",0.688476647029633
"38","Otu00061",0.938363746846218,"Heated",0.136767106110536,451.333333333333,"N","Otu00061","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","Rhodobacteraceae_unclassified_Otu00061","Rhodobacteraceae_Rhodobacteraceae_unclassified_Otu00061","Rhodobacteraceae_Otu00061","N","plain",0.464025573490598
"39","Otu00063",0.596559857115041,"Heated",-2.26149343254585,109.333333333333,"N","Otu00063","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Puniceispirillales","SAR116_clade","SAR116_clade_ge","SAR116_clade_ge_Otu00063","SAR116_clade_SAR116_clade_ge_Otu00063","SAR116_clade_Otu00063","N","plain",1.82050301046794
"40","Otu00067",0.964754625671379,"Heated",-0.358339293310116,76,"N","Otu00067","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","Rhodobacteraceae_unclassified_Otu00067","Rhodobacteraceae_Rhodobacteraceae_unclassified_Otu00067","Rhodobacteraceae_Otu00067","N","plain",1.99000947888071
"41","Otu00075",0.116574727760467,"Heated",2.55252893131879,2021.66666666667,"N","Otu00075","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas_Otu00075","Pseudoalteromonadaceae_Pseudoalteromonas_Otu00075","Pseudoalteromonadaceae_Otu00075","Y","bold",1.05903329601619
"42","Otu00079",NA,"Heated",-0.993616726545734,16.3333333333333,NA,"Otu00079","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oleiphilaceae","Oleiphilus","Oleiphilus_Otu00079","Oleiphilaceae_Oleiphilus_Otu00079","Oleiphilaceae_Otu00079","N","plain",2.57815898853991
"43","Otu00083",0.577670515998431,"Heated",-1.57989361221204,70.6666666666667,"N","Otu00083","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Puniceispirillales","SAR116_clade","SAR116_clade_ge","SAR116_clade_ge_Otu00083","SAR116_clade_SAR116_clade_ge_Otu00083","SAR116_clade_Otu00083","N","plain",1.23946808953463
"44","Otu00085",0.16842938450021,"Heated",1.96513011746007,1925.33333333333,"N","Otu00085","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas_Otu00085","Pseudoalteromonadaceae_Pseudoalteromonas_Otu00085","Pseudoalteromonadaceae_Otu00085","Y","bold",0.890625602204865
"45","Otu00093",0.964754625671379,"Heated",0.141513418476385,386.333333333333,"N","Otu00093","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Leisingera","Leisingera_Otu00093","Rhodobacteraceae_Leisingera_Otu00093","Rhodobacteraceae_Otu00093","N","plain",0.868635956687637
