"","ABC_055_v1","ABC_056","ABC_057","ABC_059_v1","ABC_060","ABC_065","ABC_066","ABC_067","ABC_068","ABC_069"
"Otu00184",0,0,0,0,0,54,0,76,0,79
"Otu01581",45,0,33,0,77,0,45,32,68,51
"Otu00186",77,78,189,0,145,75,221,114,134,210
"Otu01589",0,108,61,0,157,0,0,0,58,0
"Otu01587",0,0,112,0,84,0,0,0,106,15
"Otu00019",729,1092,2065,116,1193,425,763,1078,740,1284
"Otu00189",170,136,189,0,139,166,8,220,90,139
"Otu00195",344,554,512,115,708,693,359,329,333,290
"Otu00002",12401,19945,20119,4291,25340,25294,11606,13396,13070,10334
"Otu00199",110,79,311,0,147,98,113,150,132,176
"Otu00205",0,0,366,61,127,72,0,360,156,182
"Otu01761",54,0,0,0,0,0,39,62,79,0
"Otu00215",132,177,304,39,239,83,100,1608,105,61
"Otu01813",59,0,94,0,0,0,0,0,72,0
"Otu00022",43,115,95,0,54,25,17,66,101,50
"Otu00222",0,0,63,0,0,0,0,100,167,83
"Otu00023",38,41,76,0,67,37,17,92,115,67
"Otu00227",162,224,400,0,200,174,64,178,777,499
"Otu00230",0,0,90,0,45,78,93,116,117,80
"Otu00234",101,49,356,0,173,80,20,859,249,296
"Otu00024",351,288,477,0,321,243,214,502,501,278
"Otu00243",30,27,29,20,17,24,234,40,167,77
"Otu00247",66,69,83,29,154,84,49,64,87,165
"Otu00248",317,501,1073,15,666,577,78,507,434,919
"Otu00251",0,0,91,127,0,0,528,73,0,88
"Otu00252",405,825,1384,8,1047,281,109,693,345,213
"Otu00026",187,416,605,51,354,259,160,4148,277,322
"Otu00263",240,38,154,0,34,21,238,28,46,32
