"","max_blanks","mean_samples","flag"
"69_153.1386_1.6891_-1_Spectral Match to Pyrimido[1,2-a]azepine, 2,3,4,6,7,8,9,10-octahydro- from NIST14_Spectral Match to Pyrimido[1,2-a]azepine, 2,3,4,6,7,8,9,10-octahydro- from NIST14_no matches_no matches_no matches_no matches",1152474,22747.1441944444,1
"70_153.1387_13.0613_-1_Spectral Match to Pyrimido[1,2-a]azepine, 2,3,4,6,7,8,9,10-octahydro- from NIST14_Spectral Match to Pyrimido[1,2-a]azepine, 2,3,4,6,7,8,9,10-octahydro- from NIST14_no matches_no matches_no matches_no matches",346359.4,108630.661555556,1
"71_154.1227_5.8836_7280_Gabapentin_Gabapentin_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Amino acids, peptides, and analogues",232699.5,153724.915277778,1
"73_154.9903_13.1244_1851_N/A_NA_Organic compounds_Organoheterocyclic compounds_Imidazopyrimidines_Purines and purine derivatives",731149.4,290558.439722222,1
"76_155.0702_5.5814_1236_N/A_NA_Organic compounds_Organic acids and derivatives_Organic phosphoric acids and derivatives_Phosphate esters",198782.6,8308.94155555556,1
"77_155.0702_4.7126_6519_Tetranorprostaglandin J2_Tetranorprostaglandin J2_Organic compounds_Organoheterocyclic compounds_Lactones_Gamma butyrolactones",2770505,80355.1058333333,1
"78_155.0702_4.5705_6519_(-)-Corey lactone diol_(-)-Corey lactone diol_Organic compounds_Organoheterocyclic compounds_Lactones_Gamma butyrolactones",633007,21685.7866944444,1
"79_155.0703_5.191_409_(-)-Corey lactone diol_(-)-Corey lactone diol_Organic compounds_Organoheterocyclic compounds_Diazanaphthalenes_NA",126886.6,98138.4472222222,1
"80_155.0703_3.2778_1026_N/A_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Retinoids",45788.24,21090.1548611111,1
"81_155.0703_4.381_4900_N/A_NA_Organic compounds_Organic oxygen compounds_Organooxygen compounds_Carbonyl compounds",63595.74,15888.7816111111,1
"82_155.0703_2.8485_1026_N/A_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Retinoids",61970.69,17743.6746944444,1
"83_155.0703_4.8516_6519_(-)-Corey lactone diol_(-)-Corey lactone diol_Organic compounds_Organoheterocyclic compounds_Lactones_Gamma butyrolactones",116264.4,25866.7643055556,1
"84_155.0703_2.9553_1026_N/A_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Retinoids",66240.92,18014.2344444444,1
"85_155.0703_3.0514_1026_N/A_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Retinoids",72516.48,24132.68375,1
"86_155.0703_3.6164_6519_N/A_NA_Organic compounds_Organoheterocyclic compounds_Lactones_Gamma butyrolactones",72498.12,40593.5713888889,1
"87_155.0703_2.4604_1026_N/A_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Retinoids",41258.17,26007.964,1
"88_155.0703_3.5564_6519_N/A_NA_Organic compounds_Organoheterocyclic compounds_Lactones_Gamma butyrolactones",99574.95,53593.4872222222,1
"89_155.0703_3.4495_6519_N/A_NA_Organic compounds_Organoheterocyclic compounds_Lactones_Gamma butyrolactones",61001.67,44309.7002777778,1
"90_155.0703_2.6108_1026_N/A_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Retinoids",69157.98,25224.6356944444,1
"91_155.0703_2.258_1026_N/A_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Retinoids",27816.84,19134.7661944444,1
"93_155.1066_8.091_4900_4-Hydroperoxy-2-nonenal_4-Hydroperoxy-2-nonenal_Organic compounds_Organic oxygen compounds_Organooxygen compounds_Carbonyl compounds",69274.04,60712.3319166667,1
"94_155.1067_2.8631_1026_N/A_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Retinoids",16133.28,17887.6093055556,1
"95_155.1067_2.9358_1026_N/A_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Retinoids",42237.2,21936.1693055556,1
"96_155.1067_3.0517_1026_N/A_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Retinoids",28613.68,21796.2679444444,1
"97_155.1067_4.4113_4900_4-Hydroperoxy-2-nonenal_4-Hydroperoxy-2-nonenal_Organic compounds_Organic oxygen compounds_Organooxygen compounds_Carbonyl compounds",196219.1,64974.64,1
"98_155.1067_3.1823_1026_N/A_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Retinoids",17641.02,16353.6431944444,1
"99_155.1067_4.28_4900_4-Hydroperoxy-2-nonenal_4-Hydroperoxy-2-nonenal_Organic compounds_Organic oxygen compounds_Organooxygen compounds_Carbonyl compounds",325562.2,88512.5813888889,1
"100_155.1067_2.4181_1026_N/A_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Retinoids",12107.62,16767.9713888889,1
"101_155.1067_5.6262_4900_4-Hydroperoxy-2-nonenal_4-Hydroperoxy-2-nonenal_Organic compounds_Organic oxygen compounds_Organooxygen compounds_Carbonyl compounds",30493.25,32718.1741666667,1
"102_155.1067_3.4851_6519_N/A_NA_Organic compounds_Organoheterocyclic compounds_Lactones_Gamma butyrolactones",59331,28184.9677777778,1
"103_155.1067_2.5528_1026_N/A_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Retinoids",12107.62,13111.23675,1
"104_155.1067_2.2848_1026_N/A_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Retinoids",27843.43,14543.8733055556,1
"105_155.1067_5.8727_4900_4-Hydroperoxy-2-nonenal_4-Hydroperoxy-2-nonenal_Organic compounds_Organic oxygen compounds_Organooxygen compounds_Carbonyl compounds",182419.1,221438.066111111,1
"106_155.1067_6.868_8827_N/A_NA_no matches_no matches_no matches_no matches",37049.33,40740.1354166667,1
"107_155.1067_2.2107_1026_N/A_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Retinoids",21699.45,12440.3533611111,1
"108_155.1431_6.9262_8827_Terpineol_Terpineol_no matches_no matches_no matches_no matches",70610.38,18179.7921666667,1
"110_155.1543_2.7577_-1_(1R,5S)-9-Methyl-9-azabicyclo[3.3.1]nonan-3-amine_(1R,5S)-9-Methyl-9-azabicyclo[3.3.1]nonan-3-amine_no matches_no matches_no matches_no matches",289153,130114.493472222,1
"112_155.1543_2.5424_-1_(1R,5S)-9-Methyl-9-azabicyclo[3.3.1]nonan-3-amine_(1R,5S)-9-Methyl-9-azabicyclo[3.3.1]nonan-3-amine_no matches_no matches_no matches_no matches",47141.27,71824.8298333333,1
"113_155.1543_3.0251_-1_(1R,5S)-9-Methyl-9-azabicyclo[3.3.1]nonan-3-amine_(1R,5S)-9-Methyl-9-azabicyclo[3.3.1]nonan-3-amine_no matches_no matches_no matches_no matches",3692.421,6081.7865,1
"116_155.1544_1.104_-1_(1R,5S)-9-Methyl-9-azabicyclo[3.3.1]nonan-3-amine_(1R,5S)-9-Methyl-9-azabicyclo[3.3.1]nonan-3-amine_no matches_no matches_no matches_no matches",4438.141,1728.57652777778,1
"117_155.1544_0.7373_-1_(1R,5S)-9-Methyl-9-azabicyclo[3.3.1]nonan-3-amine_(1R,5S)-9-Methyl-9-azabicyclo[3.3.1]nonan-3-amine_no matches_no matches_no matches_no matches",38818.6,742.163388888889,1
"120_156.0809_3.6517_-1_Massbank:UA007701 4-Phenylpyridine_Massbank:UA007701 4-Phenylpyridine_Organic compounds_Organoheterocyclic compounds_Pyridines and derivatives_Phenylpyridines",378182.5,46760.3417222222,1
"121_156.0809_3.4203_-1_Massbank:UA007701 4-Phenylpyridine_Massbank:UA007701 4-Phenylpyridine_Organic compounds_Organoheterocyclic compounds_Pyridines and derivatives_Phenylpyridines",93685.32,11452.5694722222,1
"122_156.1019_10.9535_3147_Ethyl 4-amino-1-piperidinecarboxylate_Ethyl 4-amino-1-piperidinecarboxylate_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acid esters",290509.6,0,1
"123_156.102_10.6513_3147_Ethyl 4-amino-1-piperidinecarboxylate_Ethyl 4-amino-1-piperidinecarboxylate_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acid esters",723505.6,572.866888888889,1
"124_156.102_2.9717_17078_N/A_NA_no matches_no matches_no matches_no matches",484328.9,46708.0403888889,1
"125_156.102_2.838_-1_N/A_NA_no matches_no matches_no matches_no matches",143435,34172.64425,1
"126_156.102_3.1352_17078_N/A_NA_no matches_no matches_no matches_no matches",873165.4,60210.7275,1
"128_156.102_2.1368_-1_N/A_NA_no matches_no matches_no matches_no matches",671922.8,67425.5372222222,1
"129_156.1384_9.4711_8483_N/A_NA_no matches_no matches_no matches_no matches",2181.143,0,1
"131_156.1384_6.1877_2254_N/A_NA_no matches_no matches_no matches_no matches",156429.7,29010.9714444444,1
"132_156.1384_4.1889_645_N/A_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acids and conjugates",228913.4,12863.3861666667,1
"133_156.1384_6.6005_-1_Butylate_Butylate_Organic compounds_Organosulfur compounds_Thiocarbonyl compounds_Thiocarbamic acid derivatives",22038.12,5909.43927777778,1
"135_156.1384_5.0192_645_N/A_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acids and conjugates",109197.1,1212.40133333333,1
"137_156.1385_0.6597_3850_N-Methyl-DL-homatropine cation_N-Methyl-DL-homatropine cation_Organic compounds_Alkaloids and derivatives_Tropane alkaloids_NA",3856.673,1043.47961111111,1
"140_156.1577_2.8492_-1_N/A_NA_no matches_no matches_no matches_no matches",15617.54,19595.4080555556,1
"141_156.1577_2.7215_-1_N/A_NA_no matches_no matches_no matches_no matches",21400.93,5399.67175,1
"143_157.0496_4.6039_190_N/A_NA_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Tricarboxylic acids and derivatives",14456.43,2482.31466666667,1
"145_157.0496_6.9728_190_N/A_NA_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Tricarboxylic acids and derivatives",2256915,83855.0177777778,1
"149_157.0761_2.3457_-1_MassbankEU:SM816201 2,2-Dipyridyl|2,2`-Bipyridine|2-pyridin-2-ylpyridine_MassbankEU:SM816201 2,2-Dipyridyl|2,2`-Bipyridine|2-pyridin-2-ylpyridine_Organic compounds_Organoheterocyclic compounds_Pyridines and derivatives_Bipyridines and oligopyridines",15618.16,234.665055555556,1
"151_157.086_2.895_1978_N/A_NA_no matches_no matches_no matches_no matches",114957.6,39181.1080555556,1
"152_157.086_2.8105_1978_N/A_NA_no matches_no matches_no matches_no matches",58891.8,45178.5966666667,1
"153_157.086_3.0402_1978_N/A_NA_no matches_no matches_no matches_no matches",96622.13,51179.6464444444,1
"154_157.086_2.7592_-1_N/A_NA_no matches_no matches_no matches_no matches",24077.54,29082.0492777778,1
"155_157.086_3.2656_4372_N/A_NA_no matches_no matches_no matches_no matches",404416.1,12521.247,1
"156_157.086_2.6144_1978_N/A_NA_no matches_no matches_no matches_no matches",15390.96,23057.0897222222,1
"157_157.086_3.3773_4372_N/A_NA_no matches_no matches_no matches_no matches",125351.9,10410.4355277778,1
"160_157.1012_9.8135_1978_N/A_NA_no matches_no matches_no matches_no matches",9173.513,7733.28613888889,1
"162_157.1013_6.4248_2944_1-Phenyl-1-hexyn-3-ol_1-Phenyl-1-hexyn-3-ol_Organic compounds_Benzenoids_Benzene and substituted derivatives_NA",11748.7,17823.8433888889,1
"163_157.1013_6.6024_2944_1-Phenyl-1-hexyn-3-ol_1-Phenyl-1-hexyn-3-ol_Organic compounds_Benzenoids_Benzene and substituted derivatives_NA",12339.78,22707.6403055556,1
