"","ASV","heated.p","heated.padj","bleached.p","bleached.padj","bleached.heated.p","bleached.heated.padj","heated.l2fc","bleached.l2fc","bleached.heated.l2fc","heated.sig","bleached.sig","bleached.heated.sig","ESV","OTUNumber","Doman","Phylum","Class","Order","Family","Genus","X","X.1","X.2","X.3","X.4","DA_in"
"Otu00167","Otu00167",0.90655626069908,0.964756238204011,0.730230283792522,0.931163267364503,0.810068430659111,0.997343993153846,0.251435514950872,0.737706316206857,-0.460002934522586,"N","N","N","esv_167","Otu00167","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","",NA,NA,NA,"","NNN"
"Otu00017","Otu00017",0.248736253397495,0.630825576373103,0.614793604549141,0.931163267364503,0.736001939399573,0.997343993153846,-1.36454531027569,-0.578646567815262,-0.344813294868691,"N","N","N","esv_17","Otu00017","Bacteria(100)","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_II","Clade_II_ge","",NA,NA,NA,"","NNN"
"Otu01459","Otu01459",1,NA,1,1,0.00953071791564144,0.085215830775147,0,0,9.11532490278417,NA,"N","N","esv_1721","Otu01459","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacteriaceae_unclassified","",NA,NA,NA,"","NANN"
"Otu00018","Otu00018",0.0902040316872973,0.394038388015291,0.151959871118415,0.524952282045432,0.916767380487162,0.997343993153846,-1.09229753249384,-0.910053687062884,0.0589426764532761,"N","N","N","esv_18","Otu00018","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Puniceispirillales","SAR116_clade","SAR116_clade_ge","",NA,NA,NA,"","NNN"
"Otu00179","Otu00179",1.03470931453534e-07,3.02652474501586e-06,0.253308074482015,0.717552217601557,4.77327487954768e-13,3.62768890845624e-11,-8.97784053117036,1.00225270760324,-10.2292363423296,"Y","N","Y","esv_180","Otu00179","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae_unclassified","",NA,NA,NA,"","Non-bleached + Heated and Bleached + Heated"
"Otu00181","Otu00181",0.326719585141106,0.696276569754214,0.00493134661849055,0.0356935564766935,0.198861798583557,0.825289484334127,0.777679187835799,2.22138885273226,0.908460508709656,"N","Y","N","esv_182","Otu00181","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","",NA,NA,NA,"","Bleached + Ambient"
"Otu00184","Otu00184",0.128209307541391,NA,0.941244060391234,0.999312469187543,0.0417330549415588,0.245692049276564,-6.70680726294496,-0.307467431590937,-7.95821296509687,NA,"N","N","esv_185","Otu00184","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","",NA,NA,NA,"","NANN"
"Otu01581","Otu01581",0.942186620494951,NA,0.987762129044794,1,0.83791781871107,0.997343993153846,-0.19343309418435,0.0407298510624158,-0.485664220579717,NA,"N","N","esv_1867","Otu01581","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae_unclassified","",NA,NA,NA,"","NANN"
"Otu00186","Otu00186",0.486512318564321,0.801717482704586,0.422803213669035,0.816754226383084,0.814707006777066,0.997343993153846,-0.893518902007239,1.01474532033153,-0.265631458312025,"N","N","N","esv_187","Otu00186","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","",NA,NA,NA,"","NNN"
"Otu00019","Otu00019",0.921761641778645,0.964756238204011,0.717309435622556,0.931163267364503,0.364209900702427,0.997343993153846,0.0536042346174909,0.196817754330733,0.440627099856001,"N","N","N","esv_19","Otu00019","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Nautella","",NA,NA,NA,"","NNN"
"Otu00189","Otu00189",0.515188012878862,0.805201058449805,0.95754028369255,0.999312469187543,0.750413220143309,0.997343993153846,-0.975494471840206,-0.0790573063455548,0.421765347947559,"N","N","N","esv_190","Otu00189","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","",NA,NA,NA,"","NNN"
