"","ASV","heated.p","heated.padj","bleached.p","bleached.padj","bleached.heated.p","bleached.heated.padj","heated.l2fc","bleached.l2fc","bleached.heated.l2fc","heated.sig","bleached.sig","bleached.heated.sig"
"12","Otu00014",0.481877069043668,0.697642920854265,0.667374782655696,0.947515460211738,0.965524512744411,0.981452785874647,1.30774734163447,0.790049122297911,-0.0708283090887091,"N","N","N"
"13","Otu01258",0.434525038883201,0.648707038166285,0.0137955990665854,0.0836358193411738,0.188936205326988,0.760052615715649,2.37341674368208,8.19244573020621,3.54351175052189,"N","N","N"
"14","Otu00147",0.139464971853563,0.432173648393803,0.418941253920754,0.778586432656484,0.338012941940205,0.930825186076822,1.63291217644206,0.87921295002282,0.929782044148029,"N","N","N"
"15","Otu00161",0.692086578022807,0.839154975852653,0.80879571323109,0.962198110632813,0.960603920684744,0.981452785874647,0.529396527866966,-0.32295417363703,-0.0589560170983887,"N","N","N"
"16","Otu00163",0.379681334728082,0.648707038166285,0.873496692740796,0.974135770760056,0.892228131633881,0.981452785874647,1.11408267843612,0.200170136482547,-0.152134124701232,"N","N","N"
"17","Otu00017",0.229291408608966,0.521717033875139,0.67400584283103,0.947515460211738,0.622713617817724,0.981452785874647,1.40678802425196,0.475041363001183,0.494267469652499,"N","N","N"
"18","Otu00018",0.0989493855624541,0.383923615982322,0.20484803209831,0.602129064046549,0.861491379963297,0.981452785874647,1.06433122725064,0.803384962790407,0.0981958867384248,"N","N","N"
"19","Otu00181",0.248033542294064,0.523027252228788,0.00341713383420407,0.0276218318264829,0.285011402939964,0.863940815161766,-0.863670940191896,-2.17944954517377,-0.712325345347296,"N","Y","N"
"20","Otu00186",0.434700592585655,0.648707038166285,0.404151064157662,0.778586432656484,0.678952941759823,0.981452785874647,0.954578767134934,-1.00058760653989,0.444482874489469,"N","N","N"
"21","Otu00019",0.814263128338803,0.918413063358883,0.638748942449033,0.947515460211738,0.499256931737222,0.981452785874647,-0.111748132232736,-0.221965166844767,-0.285237251894145,"N","N","N"
"22","Otu00189",0.495458394825703,0.706756827913135,0.927745248849462,0.974135770760056,0.831216772113643,0.981452785874647,1.01229543934123,-0.133033261288995,-0.279274201127262,"N","N","N"
"23","Otu00002",0.0004006274121975,0.00971521474578936,5.83394180756832e-05,0.00113178471066825,0.0723210424858813,0.394933201877004,-1.39265491143046,-1.58089182431023,-0.632215925503288,"Y","Y","N"
