"","Mo_2019_320","Mo_2019_321","Mo_2019_322","Mo_2019_323","Mo_2019_324","Mo_2019_325","Mo_2019_326","Mo_2019_327","Mo_2019_328","Mo_2019_329","Mo_2019_330","Mo_2019_331","Mo_2019_332","Mo_2019_333","Mo_2019_334","Mo_2019_335","Mo_2019_336","Mo_2019_337","Mo_2019_338","Mo_2019_339","Mo_2019_340","Mo_2019_341","Mo_2019_342","Mo_2019_343","Mo_2019_344","Mo_2019_345","Mo_2019_346","Mo_2019_347","Mo_2019_348","Mo_2019_349","Mo_2019_350","Mo_2019_351","Mo_2019_352","Mo_2019_353","Mo_2019_543"
"3138_277.1797_9.9131_305_N/A_brefeldin A_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Sesquiterpenoids",30689410,32261070,30863000,56128370,18243270,8545331,6961424,13061920,6779782,31250680,20546710,3361819,14987780,17189650,9187600,16582730,11080480,18699030,17560660,3725021,30955800,8228812,20292330,18015750,5483588,9243680,21146540,11115510,2824163,6637770,9580788,6243246,5383137,66355610,3834495
"3143_279.1704_4.2256_2565_Spectral Match to Phe-Leu from NIST14_Spectral Match to Val-Ile from NIST14_NA_Organic compounds_Organoheterocyclic compounds_Benzene and substituted derivatives_NA",66355890,33778170,45938200,356732100,39906850,11108630,11139340,14901480,14113550,1602928,171185000,14029760,13218220,18322380,14044160,14130670,39646310,8423691,6899409,6846232,16649760,7664570,1890494,4239529,3759128,5028488,2888117,8027965,4905535,8912388,1517053,5346639,9371449,2959948,3673130
"3145_305.211_9.0473_813_N/A_CHOLATE_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Sesquiterpenoids",13165780,17093670,14467910,23480430,13371910,5154170,14233660,1634612,36384230,14302830,27630180,20336280,4279589,7165392,1687369,28410390,10629730,18496710,10525530,1393669,19818040,17242580,2096171,5823068,6616747,14168870,16198200,12717600,2197846,12644370,1732489,3777992,16553050,19146970,10368730
"3146_223.133_5.7021_64_N/A_10,12-dihydroxy-9-methyl-4,13-dimethylene-6-oxatricyclo[7.4.0.0]tridecan- 5-one_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Sesquiterpenoids",78413970,44366210,44718510,89259250,53014860,8957626,8285746,47888430,103452300,61434780,79167780,63107140,102061300,57199810,4520422,50837480,72391140,70964150,83358400,65543330,203693800,60507620,114376400,37040530,103500900,63955560,57977790,54028500,69562750,57235850,46210560,57574750,68953980,60560570,46830110
"3150_333.206_9.7723_154_NCGC00385272-01_C20H28O4_5-[2-(3-Furyl)ethyl]-8a-(hydroxymethyl)-5,6-dimethyl-3,4,4a,5,6,7,8,8a-octahydro-1-naphthalenecarboxylic acid_(1R,7R)-7-ethenyl-1,4a,7-trimethyl-3,4,4b,5,6,9,10,10a-octahydro-2H-phenanthrene-1-carboxylic acid_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Eicosanoids",56839570,66366000,14583140,49944870,20940010,8499146,25381650,7216078,102686300,10262540,123161400,3859723,80520740,6662388,80786560,9620686,6288500,23530230,25208310,9745082,37195120,44888520,52957540,38000720,25263410,82235960,29301890,4965453,6283626,11087430,65432880,9034395,91850090,67482590,3767589
"3153_241.1435_5.5154_64_N/A_Artemisinin_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Sesquiterpenoids",52474720,17829010,19530140,58252970,29671180,21926420,38640890,16271760,24249530,12503680,10617630,13983420,37855290,10284100,28346040,20297670,29093550,34694740,28128840,34866080,70011890,24772850,12502380,20130040,13455060,11111890,19696490,25443390,23617650,25928880,21355400,35604900,32562040,18998830,10782340
"3154_237.1486_7.577_64_N/A_Brefeldin A, natural_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Sesquiterpenoids",12097650,22207230,11014580,37460140,37864250,11215360,3385974,5781260,7770051,23017600,11407610,5604154,7381439,4174787,5953355,7483460,10559000,15207030,21553660,5677345,32358370,38721360,15146500,8206122,4951492,4236397,30304820,12942100,2551969,6732860,18285300,5620915,2827567,12034590,1725375
"3157_666.3329_8.9213_-1_N/A_NA_NA_no matches_no matches_no matches_no matches",3502258,4821912,3116219,4132937,5208167,4862599,4367077,7302537,5485845,8478377,9691598,17773490,5376816,13824880,2865289,4627039,3466689,0,123060.6,131122,0,437823,1275214,1413454,7046480,759175.5,1655332,597244.4,0,617045.1,133569.4,1469907,812224.7,2917258,2518322
"3158_365.2322_9.836_-1_N/A_NA_NA_no matches_no matches_no matches_no matches",23870860,26271600,37262160,42642190,5189448,8217800,10948490,12791850,19726170,8678964,2542862,5860327,25345420,40613230,11086160,8473667,5324256,26571910,2737087,6309917,29626170,6326869,12961820,10842540,9486436,23052770,11898420,14041650,10459280,40738940,35167150,33928500,9711279,29232610,16037850
"3163_246.1337_4.268_363_N/A_SEBACIC ACID_NA_Organic compounds_Organoheterocyclic compounds_Benzene and substituted derivatives_NA",24716990,23617260,22534500,30928310,14420990,9394093,4122087,8409735,9054857,9731533,38092790,13882230,13499180,11220190,9350085,10018100,11960870,31991140,20776590,19917210,74642200,20759590,3274863,7783240,10462590,8937931,15689460,38061410,14349390,10168640,12700890,14636410,9585833,3770982,9968597
"3164_221.1537_8.9164_17_N/A_NCGC00179862-03_C20H32O2_1-Naphthalenecarboxaldehyde, decahydro-5-[(3E)-5-hydroxy-3-methyl-3-penten-1-yl]-1,4a-dimethyl-6-methylene-, (1R,4aR,5S)-_NA_Organic compounds_Organic oxygen compounds_Organooxygen compounds_NA",26063210,43561680,23377930,25865120,16464250,17903150,23593830,25737410,34414020,15559210,27194510,20388330,13415580,20282700,23322450,24541050,17619740,26226630,18970030,15459050,31253100,25990820,19726460,16119660,26325420,24731360,13781960,22905780,7445434,17647870,15836640,21974400,33226330,34737280,14912720
"3165_279.1954_10.2463_64_N/A_Spectral Match to Arachidonic acid methyl ester from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Sesquiterpenoids",34996910,51089310,30401280,154199200,30790490,17321130,5792764,12657740,24585080,14260340,15111180,10438070,14542400,12441120,12884730,16855050,13246780,19313380,17779650,14842210,33975480,15403140,23323410,15749760,10399010,26425020,17001550,56007030,10143330,14488320,7154701,8925652,12066680,17099340,19118670
"3171_265.1799_6.762_64_N/A_Artemisinin_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Sesquiterpenoids",9628240,14542810,6141956,47788360,10231070,2316578,5183165,5252988,7224745,11059080,90486740,6667354,4527372,4244997,2157517,4180032,6219458,14473580,24595580,8824920,102529900,15143030,7589560,5619555,7030002,5020642,11544300,75749480,5733079,6208914,8053714,4623501,10832680,2811749,3382527
"3174_408.3308_11.139_-1_N/A_NA_NA_no matches_no matches_no matches_no matches",3961270,3549218,5294510,23019820,2488378,4327682,1987818,1445228,1798965,2817133,4309229,3977207,3112767,2762373,3590365,2912349,1937077,3329687,2042312,8256745,3966252,5384831,10178150,4045808,2867422,5295913,4781452,1298145,2331488,1668705,1500603,3718461,1038794,1155439,4530849
"3175_225.1486_7.6411_168_N/A_CINNAMIC ACID_NA_Organic compounds_Benzenoids_Benzene and substituted derivatives_NA",2595035,9053790,2802392,5575074,17043400,14414590,11626360,7601679,6878449,2896602,35088160,6721012,5946961,19150310,8804622,4986150,8378571,5682791,7920350,12236670,11350020,6731140,13702950,15984340,17894410,4791753,7197021,19185960,10847760,11107880,5833052,4655383,8582256,7370656,4892663
"3176_447.766_5.3399_1603_N/A_NA_NA_no matches_no matches_no matches_no matches",8062636,7499707,11404620,9965662,18392620,613797.9,351620.3,2037942,10857620,20142270,17100220,5750274,6059118,6313505,1753511,458100.9,1753014,4660155,3832512,8282959,11926320,19586990,391908.5,0,1376041,8533622,17336960,12498380,2863362,4541886,6745016,1631415,1110373,1175965,0
"3177_283.1541_6.1056_2101_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA",20032800,57217450,53797390,16888170,50185020,43159040,19487400,39261130,18431710,30687040,29163640,26795650,59185900,19161650,46530600,19839230,77218240,42259500,82266720,54303830,120492200,77231030,46618910,32712660,48341130,68815430,67622150,61486430,68891910,14311910,55853650,35503090,35150870,83367580,63144150
"3178_356.0719_7.0013_1884_N/A_NA_NA_Organic compounds_Benzenoids_Benzene and substituted derivatives_NA",1806677,903406.6,2060044,360143.2,2891001,7628010,7526457,10741490,4476801,4798853,5129577,2187803,2266209,3939986,11726460,7591721,18699630,3793054,3444597,3527758,1413924,3636487,5360999,12754920,10107910,5543851,3059820,6030366,3459435,3182139,3237992,10834480,11620810,9215235,14317300
"3180_277.1799_8.9921_305_N/A_NCGC00347593-02!2-hydroxy-3-methyl-6-[(2E,6E)-3,7,11-trimethyldodeca-2,6,10-trienyl]-7-oxabicyclo[4.1.0]hept-3-en-5-one_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Sesquiterpenoids",25557130,33674430,28047160,117947800,24464840,12344150,15593020,9108420,16098190,27603020,93678300,28268230,14873500,17359540,10265320,15406660,18718820,13355620,8037465,7528755,33610930,6440602,3458108,6819868,6490018,8331452,19442650,31399720,15269980,6881576,9071476,6902329,4189285,23431850,6616535
"3182_369.7278_4.8381_-1_N/A_NA_NA_no matches_no matches_no matches_no matches",1843961,3076767,3531949,6757818,4747911,259206.1,608478.3,1044352,2249193,8822571,18096750,1719418,1874769,2888172,1164376,918956.8,988620.8,49545010,68468820,55938860,42417080,86280890,948020.5,719464.4,3478593,36614720,58902380,63544200,3861209,30417590,19441830,6114078,2349605,8827857,0
"3185_281.2107_10.1748_32_N/A_Massbank:FFF00136 Estriol_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA",1886820,2469336,7047159,11795620,5504850,2769333,2097582,9408483,4050218,4981047,7326944,1963699,4576780,3439172,1870724,1158436,2825511,5711912,4413058,5814197,8548778,6133532,1018166,3491384,689092.8,4051011,969907.1,4492513,2037973,1418644,760577,1232040,1322232,1859197,673850.6
"3192_303.1955_9.9435_305_N/A_Spectral Match to 8(9)-EpETE from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Sesquiterpenoids",33875800,16352220,30078950,17907790,25273920,25843240,22885480,10814490,55165490,18253340,9506765,6610346,5312996,11768920,17994280,10302180,20882640,16411650,14743970,8652531,21445490,13044610,22046330,9304753,5835691,8459477,34295070,13019830,6018131,18234680,4316628,8741577,9494556,12236000,13896080
"3199_426.2615_9.7285_757_N/A_NCGC00380283-01!4-[5-[[4-[5-[acetyl(hydroxy)amino]pentylamino]-4-oxobutanoyl]-hydroxyamino]pentylamino]-4-oxobutanoic acid_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA",0,4192928,6196666,19686920,8911620,4885656,0,5828232,19310660,14122530,20378640,31024380,11889410,25265950,10437570,53582700,13452230,2280106,2332981,1970006,6968756,2688269,2796954,1675577,1738014,3754668,3813233,4361684,4393150,6958908,1672776,4193951,17803660,6551141,5105188
"3203_414.249_6.5519_-1_N/A_NA_NA_no matches_no matches_no matches_no matches",2973803,11799340,3042035,5892966,4510139,44259650,58773900,11145870,7939514,22072330,8644499,7085621,37913680,4009351,9212309,4441899,52384250,5754128,30149200,36031540,11119470,21102180,5758898,3479052,13441010,25619000,21739940,25464280,3958325,14969900,9240911,9034145,4715066,52449780,12664880
"3204_201.1119_9.5976_34_N/A_Spectral Match to Dibutyl adipate from NIST14_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA",34634950,38854640,39589330,33670380,41113070,59912560,59303730,32874680,474974.6,186910.5,983033.6,604456.6,231310.4,136934.6,454510.6,336670.5,200963.4,29915840,29117180,25343160,30272220,33984730,34601950,29360950,19747050,1268929,695943.5,614176.3,419774.6,789813.6,992302,1399304,1504453,974703.1,129464.4
"3213_323.1854_9.9228_-1_N/A_NA_NA_no matches_no matches_no matches_no matches",10467260,8397555,9541456,20172440,7375848,2085130,7841894,7598985,7582168,8794342,9397299,3492072,4355837,5665291,7343311,4245891,4384613,7873453,8196588,4720929,15809790,6875091,8365570,5183140,5372101,7155009,9004607,6332800,1160463,6007052,8071820,7153304,7131724,8019331,1534745
"3216_225.1486_8.3251_-1_NCGC00380330-01!2-(6-methyl-7-oxooctyl)-2H-furan-5-one [IIN-based: Match]_10,12-dihydroxy-9-methyl-4,13-dimethylene-6-oxatricyclo[7.4.0.0]tridecan- 5-one_NA_Organic compounds_Organoheterocyclic compounds_Dihydrofurans_Furanones",5518575,9486574,5909069,21282900,5242766,5881461,10241800,10518440,5728552,6047021,14279630,7051756,12913030,12587760,8085676,8942373,8545110,6364097,4272929,5238954,4365532,5880178,7437795,2333547,2684201,10284650,8223617,3218014,5748033,5116043,4648820,4431195,4857973,6517157,3951512
"3218_219.1228_2.757_537_N/A_Massbank:KNA00115 Uridine_NA_Organic compounds_Organoheterocyclic compounds_Hydroxy acids and derivatives_NA",2849388,5122930,6108642,8497303,10245050,4017305,5340271,20174030,7559806,8228991,16876970,1616932,4207326,4949346,2892060,4855433,4316329,6217186,23698820,21856390,15319710,29132650,5802304,3509337,24082100,14168880,21114040,11653590,16523000,10747410,12100240,12583490,6937204,16220740,1911232
"3220_366.2273_8.7708_-1_N/A_14-(hydroxymethyl)-5,9-dimethyltetracyclo[11.2.1.01/4,1/4?.0?,?]hexadecan-5-ol_NA_no matches_no matches_no matches_no matches",6025421,30164510,3313473,16260520,9180123,3062950,4548646,3389498,8876922,26067990,23068970,22959030,14217810,9408230,40495580,17385730,6303181,3130930,14564230,7034150,23767450,14236090,7096608,6299640,6050955,10178470,3952813,7659004,58365660,64683440,19523970,26270400,12062200,34210750,18903330
"3221_408.2233_6.767_34_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA",79114910,75115690,73619660,70198060,97951830,101058400,140314000,41206520,13161680,10085670,16288430,7534959,10361400,18999060,22692480,5344144,24791110,13230230,12374520,12185490,10124430,13024600,19423390,19433470,13214080,2962227,2666574,11105840,2982502,5888439,6566130,7546325,2258158,3272315,5913734
"3222_205.1223_5.7046_126_N/A_N-nornuciferine_NA_Organic compounds_Organoheterocyclic compounds_Indanes_Indanones",37695090,7986530,6388584,33439990,27660180,7954293,3953808,4154579,26869530,48359010,13463410,8762020,32864960,40152940,2596524,7586140,35235210,33931210,46795120,7989870,74808130,44357870,5510389,11771970,15020820,4120218,7509786,34578650,51445650,49607510,11646030,9565986,12763000,56258820,35502230
"3224_682.4222_4.8617_107_N/A_Spectral Match to Undecaethylene glycol from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA",5419633,9682373,10925100,11912150,18846430,533110.1,466979.6,2880820,10597750,24163910,30791350,829857.4,2371695,9163781,1155630,242095.9,1299449,17869200,29701620,25013020,23430330,39462080,562039.7,273243.5,3535298,13743530,29312180,28413840,2477181,12093790,9468624,2456929,602384.9,5367423,0
"3225_354.2274_7.6485_-1_N/A_(1R,7R)-7-ethenyl-1,4a,7-trimethyl-3,4,4b,5,6,9,10,10a-octahydro-2H-phenanthrene-1-carboxylic acid_NA_no matches_no matches_no matches_no matches",5645536,6189721,14847710,7553201,13287500,18692670,15570870,19498660,1879014,31804710,17574210,18408090,13003210,3624389,6988972,5211106,8118033,2452042,5813258,18152990,39154680,23886170,19021370,4077956,21458620,1713487,27495950,25645230,41113650,7604757,1808705,21419490,31619790,22702900,8048673
"3233_288.217_5.8457_-1_Massbank:RP025302 Octanoyl-L-Carnitine|L-Octanoylcarnitine|(3R)-3-octanoyloxy-4-(trimethylazaniumyl)butanoate_Spectral Match to Acetyl-L-carnitine from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acid esters",11195950,43243750,13626380,8820011,34868300,273545.4,1278259,252227.7,29116530,41919910,14443090,3014492,10244730,16437140,438350.6,457189.2,557582.1,3130707,5250087,4284428,2636011,6291161,754012,733946.2,1820696,2911196,641804.2,6005858,479358.1,2130682,3604424,1171140,741427.3,561131.8,486827.5
"3234_183.138_8.2773_168_N/A_NA_NA_Organic compounds_Benzenoids_Benzene and substituted derivatives_NA",12627350,13008420,10485680,9856298,10157240,7703399,11697220,15605600,13890390,9602862,10218780,6562518,5456426,10012770,11037810,15672700,6024374,8573408,7453821,5056090,6793965,6562301,8643582,6237136,10837510,6715142,6894334,8251298,3838660,7388792,5170270,11173080,17204920,11790490,9696566
"3236_277.1798_10.0736_305_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Sesquiterpenoids",31087170,36096380,22177860,95564550,22196380,12934840,13068990,8915751,11330260,15219440,30359070,11726570,8412852,14774560,9671467,8000351,19133070,16456440,14797780,20384660,27321500,32314830,8208700,7510830,3518566,11128270,14479550,18305290,13465860,4817299,17794850,6243246,5281042,13799380,6103755
"3237_453.3437_5.8395_765_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_Amino acids, peptides, and analogues",13846210,9651062,15802840,5096416,12708250,1540881,811639.8,1803310,6886443,696896.3,10154570,3349559,1737339,1836250,1804001,2841407,3696694,13786770,13702450,16333220,7148253,13474440,1280397,1022969,1605378,7909315,3074308,9675965,3932325,3442729,1701121,2153046,2615791,2414489,361690.5
"3240_181.072_2.5631_800_PARAXANTHINE_PARAXANTHINE_NA_Organic compounds_Organoheterocyclic compounds_Imidazopyrimidines_Purines and purine derivatives",5212007,7916856,15471180,25115130,8311957,2557274,8667671,12951990,11439200,4035852,10770040,7401730,8608111,12232710,20012100,13472170,119290300,4726299,7543181,10768750,29147260,7868557,5233404,7970206,8720784,9016602,6320593,14576980,10701880,8262174,11539830,18608510,43547930,128651400,18479560
"3242_293.1384_8.337_846_N/A_methyl 10-hydroxy-5-methyl-2-(propan-2-yl)-11,12-dioxatricyclo[5.3.2.01/4,?]dodec-8-ene-8-carboxylate_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Terpene lactones",18194900,36201990,20408440,15150490,8499604,2584576,3926007,6562302,5060934,4878800,4434763,8491763,7502055,11011640,6149977,3363170,5595761,11998130,20304240,8678241,11799490,6321208,2630031,2311551,1688096,7343685,15533720,9546524,10320510,6665321,13602600,4855624,3970527,2462018,4937091
"3246_335.1854_8.1319_154_N/A_(1R,7R)-7-ethenyl-1,4a,7-trimethyl-3,4,4b,5,6,9,10,10a-octahydro-2H-phenanthrene-1-carboxylic acid_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Eicosanoids",13753930,38787160,6860188,9852071,4400057,14642940,7238848,6534004,18671190,15113580,6370813,7966906,4261778,14102590,6039255,25398060,9776005,14394880,4385726,19881360,18968180,22149960,8442349,6026678,6433752,5498692,13990920,6849283,14130050,9452224,30725000,4836987,7436324,12469900,12884080
"3247_526.3373_10.1657_1467_N/A_PE(22:6/0:0); [M+H]+ C27H45N1O7P1_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_N-arylamides",5816777,3500726,5499308,1195356,5703185,848168.7,2616931,1400742,2430496,654711.5,798049.8,2380574,4614440,1736387,3044762,1519887,4648896,5622374,3133402,1983870,1111863,4691302,4459022,3482520,3709411,1760070,4163634,1915934,1540829,3219400,1613756,1350834,1996099,3834667,1408496
"3248_349.2011_8.4888_-1_N/A_(1R,7R)-7-ethenyl-1,4a,7-trimethyl-3,4,4b,5,6,9,10,10a-octahydro-2H-phenanthrene-1-carboxylic acid_NA_no matches_no matches_no matches_no matches",10235720,26417460,15621720,127689100,16935740,12246650,9368432,6381560,11351290,53402410,40459890,8145643,11849280,7631845,12667770,8613808,4464475,12532920,4705141,16502250,26065200,9663917,15652410,16515500,7796110,11648450,10590310,12564190,3835348,14112900,11698790,5985979,9235789,16495290,18027260
"3251_396.1031_9.7448_227_N/A_NCGC00385428-01_C15H22O3__NA_Organic compounds_Phenylpropanoids and polyketides_Coumarins and derivatives_NA",13167020,22179070,13342850,8630876,8881453,19568960,24628200,19627450,20073700,27442500,23727710,7934804,14834430,14797830,18235250,44908590,53569440,17802620,38516450,14606680,9340361,13678950,26432250,38162810,28596430,24224240,27331820,17286740,8852864,20839260,19111790,21106970,40273910,228131000,10762890
"3252_255.1222_5.7206_1045_N/A_Drospirenone_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA",110776200,98561980,95870660,81225840,100980900,90443210,117996000,53064570,9621292,3409332,4796564,8062109,3292388,5246564,14124730,7039374,30170840,27720830,33601230,19969970,14255620,29928450,25938760,36989160,18309510,9156473,13920410,6322874,5846838,8725193,10251010,5757115,5159439,6538884,4579731
"3254_249.1486_7.0942_64_NCGC00385131-01_C15H22O4_Azuleno[5,6-c]furan-1(3H)-one, 4,4a,5,6,7,7a,8,9-octahydro-4,8-dihydroxy-6,6,8-trimethyl-_Massbank:UF415003 Norethisterone / norethindrone|Norethindrone|(8R,9S,10R,13S,14S,17R)-17-Ethynyl-17-hydroxy-13-methyl-1,2,6,7,8,9,10,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-3-one_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Sesquiterpenoids",5072563,15656880,9133644,37918920,25639820,7026480,10741870,12551480,12760910,11016550,7384235,3936342,17438060,9682822,8748321,11608240,10427660,50827440,20313930,9027241,29382730,15637330,20885980,8089233,12594630,3041933,14366030,7685505,9703315,4743208,9799802,11625280,12907560,6793708,34677020
"3255_382.2223_7.1442_-1_N/A_(1R,7R)-7-ethenyl-1,4a,7-trimethyl-3,4,4b,5,6,9,10,10a-octahydro-2H-phenanthrene-1-carboxylic acid_NA_no matches_no matches_no matches_no matches",6765511,21106260,4693536,29214550,11761710,7195335,5573951,10023690,12850060,9822913,7340683,11899480,14825070,6756530,28043010,28967930,11599400,20607440,19989090,4189631,15666320,17500770,11083700,8446056,7008264,14289420,7382660,3988267,6978185,9194430,11982440,15604660,21221980,18804740,14411680
"3257_366.2274_7.5969_1475_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Benzene and substituted derivatives_NA",6399627,8947351,10933870,13668560,2751501,5973890,4119789,4915208,37687080,42003750,5683757,39693780,25577720,29908480,6103051,10735210,3658033,13935990,15597900,12205640,4472853,25276420,4237489,4672927,9651867,20745390,60669370,7444620,7807736,5322274,23979120,5016982,6205294,6295281,11237790
"3258_167.0703_4.7544_-1_N/A_DHZBEENLJMYSHQ-UHFFFAOYSA-N_NA_no matches_no matches_no matches_no matches",16017530,9761715,12326760,17389220,9241349,1926883,7454667,6633984,6511332,11449590,13064710,10242020,21128680,15082780,9046382,14895170,5770859,11693490,10317710,10070570,19568620,9225751,5509956,4332966,5678908,4593634,7053275,13245000,12663900,9423152,8084070,7508467,12694980,8409499,6233966
"3262_265.1798_10.0148_32_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA",10860220,27047930,22715350,15527640,9475549,7297800,7418987,7752162,18450670,10987430,4342789,1734108,9426592,15770800,12716040,8297320,11238340,14898860,18493200,12889200,13879770,11785990,14323590,10834600,8337348,13586530,17232660,15384270,4723776,6316397,6061418,12843460,14322790,12861910,9172170
"3263_251.1642_7.9306_64_N/A_Artemisinin_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Sesquiterpenoids",8487375,31271850,35350960,16019920,11168340,5428765,7297885,6052759,7014234,13054830,11608450,12514090,5652561,5744902,4727239,10309470,2633988,4497474,26977750,5093526,8949966,16109050,6506016,14650610,9110628,6938116,5847638,9852883,20521430,4974174,6144286,3841714,4757245,7156697,3037400
"3269_281.1385_6.3343_6_N/A_Brefeldin A, natural_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Sesquiterpenoids",18094700,16105260,21860500,11901890,8907662,3543521,3949079,8853388,19999980,14352700,34321550,12022440,27904630,8985482,5777815,18101650,5785509,15453610,21537170,7287177,36325290,17473510,7079883,25334750,21657280,9636237,6296741,11886110,14123270,11346220,3545499,13845760,6500936,9339429,8403984
"3270_323.2217_10.3526_2401_N/A_B23A11_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Eicosanoids",20049510,23810540,12250830,51948870,17583950,8599047,12122480,6313850,13670280,13134370,11824880,11056630,13344430,12394600,8126966,6865911,7548402,14515400,25438780,5477686,52564160,9193867,10803070,4048477,5134431,4267757,12192930,30193720,8748832,3242661,4438408,3043155,8888835,8568743,5735338
"3272_296.14_3.9542_1623_N/A_Pregn-4-en-18-al, 11,21-dihydroxy-3,20-dioxo-, (11.beta.)-_NA_Organic compounds_Organoheterocyclic compounds_Indoles and derivatives_NA",14354540,17509340,10745950,18456360,27145520,1327384,849841.4,8536728,22040000,20900220,19697010,10713650,20832190,37543220,1307998,9113441,10368430,24724950,25234190,39562180,77286000,38077480,3541781,1277509,14686800,13454240,23590130,44083290,24871340,31020470,48913420,2700530,13857520,15240930,0
"3278_323.1854_8.2334_400_N/A_""methyl (4R)-4-((5R,8S,9S,10R,13R,17R)-10,13-dimethyl-3,6-dioxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoate""_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Sesquiterpenoids",21218630,14646900,18011900,34618490,15801860,14304520,18607360,18880250,33269100,11038940,12343230,19584580,21808250,18191980,16203510,13797800,18454310,10484070,16296150,13825740,27316140,21575090,14871620,11870790,12818770,14114580,20169570,10418510,12902750,16469630,10708980,5724180,20971350,18521220,9288316
"3279_736.4327_4.8638_1032_N/A_desmethylenylnocardamine_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_Steroidal alkaloids",8974457,5895263,10288380,70584380,5664231,6569046,5238726,16259440,29432710,6974967,33792660,31328410,9323211,9575408,17858020,13870140,16414980,7042894,5016799,5048513,68300710,5763034,5169470,3582384,9078157,19821320,4935213,21217130,28314530,8887291,6020960,15229490,8518479,12748230,1301740
"3280_293.2109_8.1698_64_NCGC00386020-01_C18H28O3_8-{(1S,5R)-4-Oxo-5-[(2Z)-2-penten-1-yl]-2-cyclopenten-1-yl}octanoic acid_Artemisinin_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Sesquiterpenoids",17782750,29775320,9853561,47305450,22884590,8917360,11926360,9730895,11804610,33176740,55874390,8401107,5225388,9434558,6236203,10833380,11644050,17079000,30235230,11748180,96014460,20573970,7197469,9788406,10239160,10065330,14929970,42127660,7121688,12272120,8601895,7836589,7920939,7080496,3853450
"3283_412.2332_6.7688_27_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Benzene and substituted derivatives_NA",8659157,17954960,9513877,113101600,13571190,70624410,15426690,16979260,47044290,6902692,10705080,9430201,137749300,9197734,20090220,6956172,15591520,105568000,12662910,15611210,8885635,10506020,15984870,15189290,7647579,15629840,100783900,7324797,11710210,17842690,91638560,7080470,18006340,45464450,25504520
"3284_267.1592_6.955_6_N/A_MassbankEU:SM874701 Dydrogesterone|(8S,9R,10S,13S,14S,17S)-17-acetyl-10,13-dimethyl-1,2,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-3-one_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Sesquiterpenoids",76032260,63654190,45711700,72647090,49371850,69161930,4722866,65593990,36450290,50399010,61522650,45872250,47410810,50667490,43425810,50236370,78424600,79726060,58014780,91402100,84220020,58630100,52016050,67922750,67200520,14534590,53435500,65266640,69020980,46664310,9344377,65516670,76089140,52829290,35360230
