"","Mo_2019_320","Mo_2019_321","Mo_2019_322","Mo_2019_323","Mo_2019_324","Mo_2019_325","Mo_2019_326","Mo_2019_327","Mo_2019_328","Mo_2019_329","Mo_2019_330","Mo_2019_331","Mo_2019_332","Mo_2019_333","Mo_2019_334","Mo_2019_335","Mo_2019_336","Mo_2019_337","Mo_2019_338","Mo_2019_339","Mo_2019_340","Mo_2019_341","Mo_2019_342","Mo_2019_343","Mo_2019_344","Mo_2019_345","Mo_2019_346","Mo_2019_347","Mo_2019_348","Mo_2019_349","Mo_2019_350","Mo_2019_351","Mo_2019_352","Mo_2019_353","Mo_2019_543"
"6223_517.2811_6.7893_621_N/A_NA_NA_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Amino acids, peptides, and analogues",3116026,6903760,2329782,3117940,1980022,4621390,5384075,7673188,2050196,2338480,5510778,3212407,1891337,2293643,2355020,4064318,6098066,6565589,4360320,4658139,971816.6,7907091,11710240,4507192,2419041,2597847,2852426,3176233,1930409,898149.2,3169808,10281570,6114182,7376256,1527984
"6224_351.253_8.7514_154_N/A_(1R,7R)-7-ethenyl-1,4a,7-trimethyl-3,4,4b,5,6,9,10,10a-octahydro-2H-phenanthrene-1-carboxylic acid_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Eicosanoids",2364017,1170288,2141281,4411845,1605962,352626.4,1447841,968895.4,1682766,4438829,6169646,2398440,2668961,4503222,1181423,416701.4,1140156,1533120,3426938,665718.8,1872824,3132848,2668903,689443.1,1259740,2610365,5259083,4353792,4965791,1625091,4129236,1900965,4243980,3990514,316199.2
"6225_297.181_3.8575_1355_N/A_NA_NA_Organic compounds_Phenylpropanoids and polyketides_Stilbenes_NA",1883189,526142.6,628366.2,466846.8,756635.2,2353969,4488208,703274.8,765283.3,2330981,456435.4,1643406,829100.9,1002075,1810370,1510874,648976,871040,875110.3,273897.2,984701.2,397502.6,3565457,2185161,788759.6,740736.5,2281509,664198.5,1230279,1673721,0,888496.1,1239878,869269.8,776411
"6226_495.2958_6.6703_621_N/A_NA_NA_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Amino acids, peptides, and analogues",9788327,11521270,13196690,27006870,16892950,407584.1,2396365,858903.1,6306847,11497250,6154113,2340303,5233809,5176975,2386484,2287726,2137908,13731960,7891257,14448340,19939980,17335790,901902.1,1822375,1113387,9178508,20520760,14275310,4912752,7005556,5649899,1234201,2448838,4117104,2390904
"6228_430.171_3.3028_-1_N/A_NA_NA_no matches_no matches_no matches_no matches",7425042,36094530,17601110,46916600,31385600,11462340,29633360,11708450,10913910,24738940,16210500,29914690,25698360,20774010,22424990,43894180,21024140,85289910,6970173,13510570,17837190,40100890,35830470,18574610,11865420,25328870,18042740,6062974,27294670,17247970,10100630,10104510,22099740,21174930,19224630
"6229_377.2531_6.985_507_N/A_NA_NA_Organic compounds_Organic oxygen compounds_Organooxygen compounds_Carbohydrates and carbohydrate conjugates",1149778,1027217,564614.8,717393.8,2723978,550848.9,2078209,5593133,760138.6,599622.1,296759.5,11314440,753626.1,504090.3,513695.2,458006.3,637654.2,380365.7,407971.6,307542.4,648045.4,2012036,406560.8,656531.9,10312990,489058.5,0,482691.2,3226678,774487.9,572167,1045007,556729.1,134254.1,143882.7
"6230_398.1443_3.6581_27_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Benzene and substituted derivatives_NA",32446920,144650200,14079910,34744820,153587400,11892070,25456560,12030420,21167190,159836000,7933449,189855900,197999100,160056200,162133300,26553250,222894700,13861160,17237610,18328300,12851470,7532024,152439700,8036246,40786960,107511100,13821120,152196200,6073527,198831100,119980800,5276703,5471369,16583240,16217290
"6231_293.1132_2.5583_270_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_Amino acids, peptides, and analogues",1729027,43687280,14377010,12297400,4229144,35232430,37583140,9021281,24426690,2905078,28495800,16795620,33802810,18197340,38186980,28759750,35558910,5635417,43681590,27658470,3571677,27682200,32198590,39143900,3307758,2117655,4477466,11662620,13675150,5591923,10839680,6182565,7172275,16957230,31760020
"6232_395.1815_3.3149_-1_N/A_NA_NA_no matches_no matches_no matches_no matches",2094269,6382566,13850750,1007466,12997310,6099404,12060320,19438880,3521025,5629194,963342,4243536,12781370,15346860,19714910,4202089,2599776,2261432,1943240,2087542,10305930,5476979,10978810,2929078,11646690,15267930,2972637,3294137,2194360,1812668,2132202,5343588,1663225,11477240,13163640
"6234_338.1234_3.9539_1261_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Coumarins and derivatives_Hydroxycoumarins",5845126,5792293,6434321,4294450,10465500,47737770,4465767,3573758,6416210,3504809,4423522,3483441,4332780,2978097,3409410,23297600,6231391,2470270,16811430,3862002,3969330,3601540,5938001,3953838,4916877,6864269,3940043,4005744,3751161,8318735,9345681,6666231,12478580,3699008,19725630
