"","OTU","Sample","abund","ESV.x","Doman.x","Phylum.x","Class.x","Order.x","Family","Genus.x","X","X.1","X.2","X.3","X.4","Sample_Name","Sample_Name_Unique","PCR_setting","Experiment.x","Replicate","Temp","Bleaching_Status","Stress_status","Treatment","Sample_Type","Timepoint_char","Timepoint","Bottle_NR","Notes","PLANC_aquaria","Experiment.y","Treatment_Timepoint","stress_status_v1","heated.p","heated.padj","bleached.p","bleached.padj","bleached.heated.p","bleached.heated.padj","heated.l2fc","bleached.l2fc","bleached.heated.l2fc","heated.l2fcSE","bleached.l2fcSE","bleached.heated.l2fcSE","heated.sig","bleached.sig","bleached.heated.sig","ESV.y","OTUNumber","Doman.y","Phylum.y","Class.y","Order.y","Family.y","Genus.y","DA_in","heated.enrich","bleached.enrich","bleached.heated.enrich","Mean Bleached + Ambient Abundance","Mean Bleached + Heated Abundance","Mean Non-bleached + Ambient Abundance","Mean Non-bleached + Heated Abundance","sig","sig.enrichment"
"21","Otu00003","ABC_056",0.0557991815794295,"esv_3","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured","",NA,NA,NA,"","ABC_056","ABC_056","Standard","ABC","I","Hot","Bleached","Thermal Stress","Bleached + Heated","Sterivex","Tend",36,2,NA,"PB2_T7H","ABCDOM","Bleached + Heated_36","Stressed",0.119125438364233,0.449602460923073,0.176953284423643,0.584715200704211,0.0725897142211664,0.367787885387243,-0.96866089687071,-0.838694392541585,-0.997350284654282,0.621552066350181,0.621165156195887,0.555502569790072,"N","N","N","esv_3","Otu00003","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured","NNN","depleted","depleted","depleted",10271.3333333333,2725,3356.5,4727,"N",""
"22","Otu00003","ABC_066",0.021716995182444,"esv_3","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured","",NA,NA,NA,"","ABC_066","ABC_066","Standard","ABC","I","Ambient","Bleached","Ambient","Bleached","Sterivex","Tend",36,12,NA,"BL3_T7C","ABCDOM","Bleached_36","Stressed",0.119125438364233,0.449602460923073,0.176953284423643,0.584715200704211,0.0725897142211664,0.367787885387243,-0.96866089687071,-0.838694392541585,-0.997350284654282,0.621552066350181,0.621165156195887,0.555502569790072,"N","N","N","esv_3","Otu00003","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured","NNN","depleted","depleted","depleted",10271.3333333333,2725,3356.5,4727,"N",""
"23","Otu00003","ABC_059_v1",0.0609088746133714,"esv_3","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured","",NA,NA,NA,"","ABC_059","ABC_059_v1","Standard","ABC","II","Hot","Non Bleached","Thermal Stress","Heated","Sterivex","Tend",36,5,NA,"HE2_T7H","ABCDOM","Heated_36","Stressed",0.119125438364233,0.449602460923073,0.176953284423643,0.584715200704211,0.0725897142211664,0.367787885387243,-0.96866089687071,-0.838694392541585,-0.997350284654282,0.621552066350181,0.621165156195887,0.555502569790072,"N","N","N","esv_3","Otu00003","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured","NNN","depleted","depleted","depleted",10271.3333333333,2725,3356.5,4727,"N",""
"24","Otu00003","ABC_057",0.0592827899005462,"esv_3","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured","",NA,NA,NA,"","ABC_057","ABC_057","Standard","ABC","I","Hot","Bleached","Thermal Stress","Bleached + Heated","Sterivex","Tend",36,3,NA,"PB3_T7H","ABCDOM","Bleached + Heated_36","Stressed",0.119125438364233,0.449602460923073,0.176953284423643,0.584715200704211,0.0725897142211664,0.367787885387243,-0.96866089687071,-0.838694392541585,-0.997350284654282,0.621552066350181,0.621165156195887,0.555502569790072,"N","N","N","esv_3","Otu00003","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured","NNN","depleted","depleted","depleted",10271.3333333333,2725,3356.5,4727,"N",""
"25","Otu00003","ABC_065",0.0817918672507469,"esv_3","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured","",NA,NA,NA,"","ABC_065","ABC_065","Standard","ABC","I","Ambient","Bleached","Ambient","Bleached","Sterivex","Tend",36,11,NA,"BL2_T7C","ABCDOM","Bleached_36","Stressed",0.119125438364233,0.449602460923073,0.176953284423643,0.584715200704211,0.0725897142211664,0.367787885387243,-0.96866089687071,-0.838694392541585,-0.997350284654282,0.621552066350181,0.621165156195887,0.555502569790072,"N","N","N","esv_3","Otu00003","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured","NNN","depleted","depleted","depleted",10271.3333333333,2725,3356.5,4727,"N",""
"26","Otu00003","ABC_069",0.180515330749881,"esv_3","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured","",NA,NA,NA,"","ABC_069","ABC_069","Standard","ABC","I","Ambient","Non Bleached","Ambient","Control","Sterivex","Tend",36,15,NA,"HE3_T7C","ABCDOM","Control_36","Ambient",0.119125438364233,0.449602460923073,0.176953284423643,0.584715200704211,0.0725897142211664,0.367787885387243,-0.96866089687071,-0.838694392541585,-0.997350284654282,0.621552066350181,0.621165156195887,0.555502569790072,"N","N","N","esv_3","Otu00003","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured","NNN","depleted","depleted","depleted",10271.3333333333,2725,3356.5,4727,"N",""
"27","Otu00003","ABC_067",0.147765233441665,"esv_3","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured","",NA,NA,NA,"","ABC_067","ABC_067","Standard","ABC","I","Ambient","Non Bleached","Ambient","Control","Sterivex","Tend",36,13,NA,"HE1_T7C","ABCDOM","Control_36","Ambient",0.119125438364233,0.449602460923073,0.176953284423643,0.584715200704211,0.0725897142211664,0.367787885387243,-0.96866089687071,-0.838694392541585,-0.997350284654282,0.621552066350181,0.621165156195887,0.555502569790072,"N","N","N","esv_3","Otu00003","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured","NNN","depleted","depleted","depleted",10271.3333333333,2725,3356.5,4727,"N",""
"28","Otu00003","ABC_060",0.0481746717701774,"esv_3","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured","",NA,NA,NA,"","ABC_060","ABC_060","Dil","ABC","I","Hot","Non Bleached","Thermal Stress","Heated","Sterivex","Tend",36,6,NA,"HE3_T7H","ABCDOM","Heated_36","Stressed",0.119125438364233,0.449602460923073,0.176953284423643,0.584715200704211,0.0725897142211664,0.367787885387243,-0.96866089687071,-0.838694392541585,-0.997350284654282,0.621552066350181,0.621165156195887,0.555502569790072,"N","N","N","esv_3","Otu00003","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured","NNN","depleted","depleted","depleted",10271.3333333333,2725,3356.5,4727,"N",""
"29","Otu00003","ABC_068",0.0480189123272432,"esv_3","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured","",NA,NA,NA,"","ABC_068","ABC_068","Standard","ABC","I","Ambient","Non Bleached","Ambient","Control","Sterivex","Tend",36,14,NA,"HE2_T7C","ABCDOM","Control_36","Ambient",0.119125438364233,0.449602460923073,0.176953284423643,0.584715200704211,0.0725897142211664,0.367787885387243,-0.96866089687071,-0.838694392541585,-0.997350284654282,0.621552066350181,0.621165156195887,0.555502569790072,"N","N","N","esv_3","Otu00003","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured","NNN","depleted","depleted","depleted",10271.3333333333,2725,3356.5,4727,"N",""
"30","Otu00003","ABC_055_v1",0.0532850092535472,"esv_3","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured","",NA,NA,NA,"","ABC_055","ABC_055_v1","Standard","ABC","II","Hot","Bleached","Thermal Stress","Bleached + Heated","Sterivex","Tend",36,1,NA,"PB1_T7H","ABCDOM","Bleached + Heated_36","Stressed",0.119125438364233,0.449602460923073,0.176953284423643,0.584715200704211,0.0725897142211664,0.367787885387243,-0.96866089687071,-0.838694392541585,-0.997350284654282,0.621552066350181,0.621165156195887,0.555502569790072,"N","N","N","esv_3","Otu00003","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured","NNN","depleted","depleted","depleted",10271.3333333333,2725,3356.5,4727,"N",""
