"","Sample","Well","Plate","Plate_Well","Tube Name:","Sample ID:","All Events","include Events","Sym-FSC Events","Sym-SSC Events","All Events  Events/μL(V)","include Events/μL(V)","Sym-FSC Events/μL(V)...11","Sym-SSC Events/μL(V)...12","Notes.x","Run Volume","Run Speed (uL/min)","Run Time (seconds)","starting time gate (seconds)","run time for data collection (seconds)","volume for data collection (uL)","events/event*ul-1","include events/events*uL-1","symFSC events/symFSC events*uL-1","Sym-FSC Events/μL(V)_corrected","Sym-FSC Events/μL(V)...24","symFSC_diff_percentage","Sym-SSC Events/μL(V)_corrected","Sym-SSC Events/μL(V)...27","symSSC_diff_percentage","Length","Width","Height","Shape","Vol","SA","Notes.y","Aquaria","Timepoint_Heat","Genotype","Timepoint","Heat","Aquaria_Timepoint_Heat","Outlier","Outlier1","Collection_Bleaching_Level","Collection_Bleaching_Level1","Species","sym.con","events","sym.total","sym.SA","log10.sym.SA"
"22","PC_BL2_T0C_D","A10",2,"02-Well-A10","02-Well-A10",NA,9046,4172,272,224,60.29,61.67,1.81,1.49,NA,150,30,300,10,290,145,150.0414662,"67.65039728","150.2762431",1.875862069,1.81,"1.036387883",1.544827586,1.49,"0.964508929",NA,1.2,2,"cone",10,8.792868305,NA,"BL2","T0C","D","T0","C","BL2_T0C",NA,NA,"BL","BL","Pocillopora verrucosa",1.875862069,272,18758.62069,2133.39038403806,3.32907033323686
"23","PC_BL2_T0C_E","A11",2,"02-Well-A11","02-Well-A11",NA,75925,35066,449,252,506.06,518.26,2.99,1.68,NA,150,30,300,10,290,145,150.0316168,"67.66101957","150.1672241",3.096551724,2.99,"1.035636028",1.737931034,1.68,"0.966666667",NA,3.1,1.2,"dome",10,32.37372741,NA,"BL2","T0C","E","T0","C","BL2_T0C",NA,NA,"BL","BL","Porites rus",3.096551724,449,30965.51724,956.501450939968,2.98068563315552
"24","PC_BL2_T0C_F","A12",2,"02-Well-A12","02-Well-A12",NA,80751,35379,1474,1258,538.3,522.89,9.83,8.39,NA,150,30,300,10,290,145,150.0111462,"67.66050221","149.9491353",10.16551724,9.83,"1.034131968",8.675862069,8.39,"0.967050874",1.1,1.6,2,"box",10,12.56,NA,"BL2","T0C","F","T0","C","BL2_T0C",NA,NA,"BL","BL","Porites rus",10.16551724,1474,101655.1724,8093.56468152866,3.90813984182795
"25","PC_BL2_T7C_A","A7",3,"03-Well-A7","03-Well-A7",NA,6760,4650,250,129,56.31,50.55,2.08,1.07,NA,120,60,120,10,110,110,120.0497247,"91.98813056","120.1923077",2.272727273,2.08,"1.092657343",1.172727273,1.07,"0.912403101",NA,1.1,4.6,"cylinder",10,35.59424477,"dead, epiphytic algae","BL2","T7C","A","T7","C","BL2_T7C","Y",NA,"BL","BL","Acropora pulchra",2.272727273,250,22727.27273,638.509761250934,2.80516754094949
"26","PC_BL2_T7C_B","A8",3,"03-Well-A8","03-Well-A8",NA,68103,50408,22191,20993,567.31,548.04,184.86,174.88,NA,120,60,120,10,110,110,120.0454778,"91.97868769","120.0421941",201.7363636,184.86,"1.091292674",190.8454545,174.88,"0.916343543",NA,0.9,3.4,"cone",10,9.944369021,NA,"BL2","T7C","B","T7","C","BL2_T7C",NA,NA,"BL","BL","Acropora pulchra",201.7363636,22191,2017363.636,202864.921016088,5.30720695621897
"27","PC_BL2_T7C_C","A9",3,"03-Well-A9","03-Well-A9",NA,3442,2445,471,340,28.65,26.55,3.92,2.83,NA,120,60,120,10,110,110,120.1396161,"92.09039548","120.1530612",4.281818182,3.92,"1.092300557",3.090909091,2.83,"0.915588235",NA,1.6,1.7,"dome",10,11.73459503,NA,"BL2","T7C","C","T7","C","BL2_T7C",NA,NA,"BL","BL","Pocillopora verrucosa",4.281818182,471,42818.18182,3648.88449158522,3.56216011563619
"28","PC_BL2_T7C_D","A10",3,"03-Well-A10","03-Well-A10",NA,15181,10652,1513,1216,126.45,115.8,12.6,10.13,NA,120,60,120,10,110,110,120.0553578,"91.98618307","120.0793651",13.75454545,12.6,"1.091630592",11.05454545,10.13,"0.916365132",NA,2,2.7,"square",10,5.4,NA,"BL2","T7C","D","T7","C","BL2_T7C",NA,NA,"BL","BL","Pocillopora verrucosa",13.75454545,1513,137545.4545,25471.380462963,4.40605248289847
"29","PC_BL2_T7C_F","A12",3,"03-Well-A12","03-Well-A12",NA,9507,7135,422,317,79.22,77.61,3.52,2.64,NA,120,60,120,10,110,110,120.0075738,"91.93402912","119.8863636",3.836363636,3.52,"1.089876033",2.881818182,2.64,"0.916088328",NA,1.5,2.1,"square",10,3.15,NA,"BL2","T7C","F","T7","C","BL2_T7C",NA,NA,"BL","BL","Porites rus",3.836363636,422,38363.63636,12178.9321777778,4.08560921197268
"30","PC_BL2_T7H_A","B1",3,"03-Well-B1","03-Well-B1",NA,6531,4248,767,831,54.4,46.18,6.39,6.92,"Use Sym-SSC Sym-SSC Events/μL(V)",120,60,120,10,110,110,120.0551471,"91.98787354","120.0312989",6.972727273,6.39,"1.091193626",7.554545455,6.92,"0.916004813",NA,1,2.7,"cylinder",10.5,20.10619298,NA,"BL2","T7H","A","T7","H","BL2_T7H",NA,NA,"BL","BL","Acropora pulchra",7.554545455,831,79322.7272775,3945.18879612882,3.59606779110819
"31","PC_BL2_T7H_B","B2",3,"03-Well-B2","03-Well-B2",NA,6449,4559,484,272,53.71,49.55,4.03,2.27,NA,120,60,120,10,110,110,120.0707503,"92.00807265","120.0992556",4.4,4.03,"1.091811414",2.472727273,2.27,"0.918014706",NA,1.1,3.7,"cylinder",10,29.37389131,"dead, overgrown by green epiphytic algae","BL2","T7H","B","T7","H","BL2_T7H",NA,NA,"BL","BL","Acropora pulchra",4.4,484,44000,1497.9288762133,3.17549119293528
"32","PC_BL2_T7H_D","B4",3,"03-Well-B4","03-Well-B4",NA,32930,23337,5443,4793,274.34,253.76,45.35,39.93,NA,120,60,120,10,110,110,120.033535,"91.96484868","120.0220507",49.48181818,45.35,"1.091109552",43.57272727,39.93,"0.916398915",1,2.7,3,"box-y triangle",11.5,7.22244403,NA,"BL2","T7H","D","T7","H","BL2_T7H",NA,NA,"BL","BL","Pocillopora verrucosa",49.48181818,5443,569040.90907,78787.8599967496,4.89645930451247
"33","PC_BL2_T7H_E","B5",3,"03-Well-B5","03-Well-B5",NA,34602,24322,153,169,288.17,264.35,1.27,1.41,NA,120,60,120,10,110,110,120.0749558,"92.00680915","120.4724409",1.390909091,1.27,"1.095204009",1.536363636,1.41,"0.917751479",1.1,2.5,1,"BOX",10,9.95,NA,"BL2","T7H","E","T7","H","BL2_T7H",NA,NA,"BL","BL","Porites rus",1.390909091,153,13909.09091,1397.8985839196,3.14547566494203
