CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
28826	44109	7	0.7981	42.011
28637	44109	7	0.8736	-42.047
28628	28630	7	0.8297	-42.047
11682	28637	7	0.8493	40.031
5564	11682	7	0.9648	0.000
4900	12100	7	0.9644	14.016
12100	44109	7	0.8776	-14.016
11682	28630	7	0.912	-16.031
32899	44109	7	0.8032	15.995
32899	85282	7	0.7853	18.010
28628	28776	7	0.8536	-42.010
4900	5564	7	0.906	2.016
5564	44109	7	0.8595	-2.016
28637	28755	7	0.8704	-26.016
5564	28628	7	0.8253	26.016
28630	28637	7	0.8163	56.063
28628	28755	7	0.8214	-12.000
31033	32126	7	0.7927	14.016
28776	28826	7	0.888	-28.032
31033	44109	7	0.7909	15.995
4900	11682	7	0.8843	2.016
11682	12100	7	0.9062	12.000
28755	85282	7	0.833	-14.016
11682	28628	7	0.8647	26.016
1455	66461	8	0.9659	-14.015
2073	59786	8	0.9492	28.031
43976	66456	8	0.8692	-0.058
3296	59225	8	0.8559	28.031
142	14384	8	0.8343	28.031
7694	31271	8	0.8934	0.000
199	5296	8	0.9271	-15.995
177	59458	8	0.8402	-116.084
66411	66442	8	0.8523	-92.004
199	1259	8	0.9208	-92.003
1323	4039	8	0.926	0.015
30848	35955	8	0.911	2.016
28633	99220	8	0.915	-14.016
1482	3296	8	0.9213	-14.016
1482	59225	8	0.9183	14.016
142	8871	8	0.8949	-28.031
59483	66480	8	0.8427	54.047
1482	14384	8	0.828	50.016
1482	66456	8	0.8706	0.000
1177	99220	8	0.8917	42.047
1438	28715	8	0.8832	-14.016
199	33678	8	0.9216	-15.995
177	406	8	0.8966	-112.125
3012	59225	8	0.8324	96.094
199	7694	8	0.9271	-15.995
1259	33678	8	0.9136	76.008
14384	59483	8	0.8218	-38.016
31271	33678	8	0.9407	0.000
996	1177	8	0.8779	-28.031
5296	33678	8	0.9634	0.000
28633	53630	8	0.9397	14.016
66415	66461	8	0.8374	-13.979
1774	28911	8	0.9258	14.016
1455	66441	8	0.9731	0.000
3296	66456	8	0.8956	14.016
1449	66415	8	0.8369	13.979
5296	35955	8	0.898	2.016
3603	99220	8	0.9843	-0.021
1154	1323	8	0.9074	14.016
29	1438	8	0.924	-0.088
3603	28989	8	0.8252	-79.978
1482	3012	8	0.8701	-82.078
21253	82095	8	0.8581	14.016
7694	59458	8	0.945	15.995
59492	99220	8	0.8865	-28.031
199	31271	8	0.8866	-15.995
30848	66442	8	0.9077	-76.008
3012	66456	8	0.8644	82.078
14384	66456	8	0.8492	-50.016
3296	14384	8	0.8249	64.031
1154	14384	8	0.8291	118.078
7694	35955	8	0.898	2.016
199	66442	8	0.9232	-92.003
736	1177	8	0.8526	-28.031
59225	59786	8	0.8657	0.058
177	233	8	0.8316	-10.021
30848	33678	8	0.9609	0.000
1259	30848	8	0.9073	76.008
28715	66415	8	0.9304	-14.016
1449	1455	8	0.962	14.015
1259	31271	8	0.857	76.008
53630	59492	8	0.9526	0.000
30848	59458	8	0.8643	15.995
1482	43976	8	0.9794	0.058
59458	66442	8	0.9229	-92.003
59225	66456	8	0.92	-14.016
1449	66461	8	0.9842	0.000
31271	67686	8	0.8423	0.000
199	35955	8	0.8923	-13.979
199	59458	8	0.8785	0.000
1449	120987	8	0.8577	26.052
5296	82095	8	0.8371	84.131
389	3473	8	0.952	-0.017
14384	59225	8	0.8293	-36.000
7694	82095	8	0.8371	84.131
406	996	8	0.8963	70.078
66441	66461	8	0.9489	-14.016
3473	28911	8	0.9537	-28.031
207	996	8	0.9365	14.016
5296	66411	8	0.8452	15.995
7694	66411	8	0.8452	15.995
3012	3296	8	0.8729	68.063
5296	66442	8	0.9358	-76.008
31271	105913	8	0.8274	-92.004
31271	66442	8	0.8502	-76.008
1438	66415	8	0.838	-28.031
11504	120987	8	0.837	-14.016
177	1177	8	0.8432	-70.078
5296	31271	8	0.8934	0.000
736	4905	8	0.951	0.036
736	59496	8	0.8366	0.036
1154	3012	8	0.9382	-14.016
14384	66480	8	0.8384	16.031
5296	59458	8	0.945	15.995
59458	82095	8	0.8437	68.136
1259	35955	8	0.8784	78.024
5296	30848	8	0.9544	0.000
1154	66415	8	0.9348	0.000
1323	1438	8	0.8746	14.016
1259	66442	8	0.9689	-0.000
3012	66415	8	0.8492	14.016
3012	14384	8	0.8443	132.094
28715	66441	8	0.8893	-13.979
177	207	8	0.9538	-56.062
30848	31271	8	0.9353	0.000
199	30848	8	0.9271	-15.995
66461	120987	8	0.8551	26.052
7694	66442	8	0.9358	-76.008
207	406	8	0.9212	-56.062
1154	1438	8	0.8688	28.031
1259	5296	8	0.9325	76.008
1259	59458	8	0.9134	92.003
199	1416	8	0.8839	2.016
7694	30848	8	0.9544	0.000
1259	66411	8	0.8398	92.003
31271	35955	8	0.8932	2.016
1259	7694	8	0.9325	76.008
177	996	8	0.949	-42.047
59483	66456	8	0.8226	-12.000
28633	59492	8	0.9299	14.016
1449	66441	8	0.9471	14.016
233	14384	8	0.8617	0.000
4905	59496	8	0.9384	0.000
7694	33678	8	0.9634	0.000
35955	66442	8	0.875	-78.024
1154	1482	8	0.8713	68.063
1154	3296	8	0.8526	54.047
30848	66411	8	0.8232	15.995
142	233	8	0.8485	28.031
199	66411	8	0.8586	0.000
33678	59458	8	0.8897	15.995
33678	66442	8	0.9144	-76.008
3012	59483	8	0.8248	94.078
2073	28911	8	0.9245	12.000
33678	35955	8	0.9163	2.016
1323	3012	8	0.8302	-28.031
5296	7694	8	1.0	0.000
1455	28715	8	0.9013	13.979
82411	82509	9	0.751	14.016
29979	82410	9	0.7693	-14.016
82479	82509	9	0.7628	59.073
52424	82432	9	0.7164	29.975
