Sample Name,Temp,Bleaching_Status,Stress_status,Treatment,Sample_Type,Timepoint_char,Timepoint,Bottle_NR,Notes,PLANC_aquaria,Experiment
ABC_140,Ambient,Non Bleached,Ambient,Control,FCM,T2,2,14,,HE2_T7C,ABCDOM
ABC_141,Ambient,Non Bleached,Ambient,Control,FCM,T2,2,15,,HE3_T7C,ABCDOM
ABC_142,Ambient,NA,Ambient,Negative Control,FCM,T2,2,16,,,ABCDOM
ABC_143,Ambient,NA,Ambient,Negative Control,FCM,T2,2,17,,,ABCDOM
ABC_144,Ambient,NA,Ambient,Negative Control,FCM,T2,2,18,,,ABCDOM
ABC_145,Hot,Bleached,Thermal Stress,Bleached + Heated,FCM,T8,8,1,,PB1_T7H,ABCDOM
ABC_146,Hot,Bleached,Thermal Stress,Bleached + Heated,FCM,T8,8,2,,PB2_T7H,ABCDOM
ABC_147,Hot,Bleached,Thermal Stress,Bleached + Heated,FCM,T8,8,3,,PB3_T7H,ABCDOM
ABC_148,Hot,Non Bleached,Thermal Stress,Heated,FCM,T8,8,4,Not taken,HE1_T7H,ABCDOM
ABC_149,Hot,Non Bleached,Thermal Stress,Heated,FCM,T8,8,5,,HE2_T7H,ABCDOM
ABC_150,Hot,Non Bleached,Thermal Stress,Heated,FCM,T8,8,6,,HE3_T7H,ABCDOM
ABC_151,Hot,NA,Thermal Stress,Negative Control + Heated,FCM,T8,8,7,,,ABCDOM
ABC_152,Hot,NA,Thermal Stress,Negative Control + Heated,FCM,T8,8,8,,,ABCDOM
ABC_153,Hot,NA,Thermal Stress,Negative Control + Heated,FCM,T8,8,9,,,ABCDOM
ABC_154,Ambient,Bleached,Ambient,Bleached,FCM,T8,8,10,,BL1_T7C,ABCDOM
ABC_155,Ambient,Bleached,Ambient,Bleached,FCM,T8,8,11,,BL2_T7C,ABCDOM
ABC_156,Ambient,Bleached,Ambient,Bleached,FCM,T8,8,12,,BL3_T7C,ABCDOM
ABC_157,Ambient,Non Bleached,Ambient,Control,FCM,T8,8,13,,HE1_T7C,ABCDOM
ABC_158,Ambient,Non Bleached,Ambient,Control,FCM,T8,8,14,,HE2_T7C,ABCDOM
ABC_159,Ambient,Non Bleached,Ambient,Control,FCM,T8,8,15,,HE3_T7C,ABCDOM
ABC_160,Ambient,NA,Ambient,Negative Control,FCM,T8,8,16,,,ABCDOM
ABC_161,Ambient,NA,Ambient,Negative Control,FCM,T8,8,17,,,ABCDOM
ABC_162,Ambient,NA,Ambient,Negative Control,FCM,T8,8,18,,,ABCDOM
ABC_163,Hot,Bleached,Thermal Stress,Bleached + Heated,FCM,T12,12,1,,PB1_T7H,ABCDOM
ABC_164,Hot,Bleached,Thermal Stress,Bleached + Heated,FCM,T12,12,2,,PB2_T7H,ABCDOM
ABC_165,Hot,Bleached,Thermal Stress,Bleached + Heated,FCM,T12,12,3,,PB3_T7H,ABCDOM
ABC_166,Hot,Non Bleached,Thermal Stress,Heated,FCM,T12,12,4,Not taken,HE1_T7H,ABCDOM
ABC_167,Hot,Non Bleached,Thermal Stress,Heated,FCM,T12,12,5,,HE2_T7H,ABCDOM
ABC_168,Hot,Non Bleached,Thermal Stress,Heated,FCM,T12,12,6,,HE3_T7H,ABCDOM
ABC_169,Hot,NA,Thermal Stress,Negative Control + Heated,FCM,T12,12,7,,,ABCDOM
ABC_170,Hot,NA,Thermal Stress,Negative Control + Heated,FCM,T12,12,8,,,ABCDOM
ABC_171,Hot,NA,Thermal Stress,Negative Control + Heated,FCM,T12,12,9,,,ABCDOM
ABC_172,Ambient,Bleached,Ambient,Bleached,FCM,T12,12,10,,BL1_T7C,ABCDOM
ABC_173,Ambient,Bleached,Ambient,Bleached,FCM,T12,12,11,,BL2_T7C,ABCDOM
ABC_174,Ambient,Bleached,Ambient,Bleached,FCM,T12,12,12,,BL3_T7C,ABCDOM
ABC_175,Ambient,Non Bleached,Ambient,Control,FCM,T12,12,13,,HE1_T7C,ABCDOM
ABC_176,Ambient,Non Bleached,Ambient,Control,FCM,T12,12,14,,HE2_T7C,ABCDOM
ABC_177,Ambient,Non Bleached,Ambient,Control,FCM,T12,12,15,,HE3_T7C,ABCDOM
ABC_178,Ambient,NA,Ambient,Negative Control,FCM,T12,12,16,,,ABCDOM
ABC_179,Ambient,NA,Ambient,Negative Control,FCM,T12,12,17,,,ABCDOM
ABC_180,Ambient,NA,Ambient,Negative Control,FCM,T12,12,18,,,ABCDOM
ABC_181,Hot,Bleached,Thermal Stress,Bleached + Heated,FCM,T16,16,1,,PB1_T7H,ABCDOM
ABC_182,Hot,Bleached,Thermal Stress,Bleached + Heated,FCM,T16,16,2,,PB2_T7H,ABCDOM
ABC_183,Hot,Bleached,Thermal Stress,Bleached + Heated,FCM,T16,16,3,,PB3_T7H,ABCDOM
ABC_184,Hot,Non Bleached,Thermal Stress,Heated,FCM,T16,16,4,Not taken,HE1_T7H,ABCDOM
ABC_185,Hot,Non Bleached,Thermal Stress,Heated,FCM,T16,16,5,,HE2_T7H,ABCDOM
