row ID,row m/z,row retention time,row identity (main ID),row identity (all IDs),row identity (main ID + details),row comment,row number of detected peaks,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Mo_2019_542.mzML Peak area,Mo_2019_343.mzML Peak area,Mo_2019_339.mzML Peak area,Mo_2019_342.mzML Peak area,Mo_2019_338.mzML Peak area,Mo_2019_349.mzML Peak area,Mo_2019_348.mzML Peak area,Mo_2019_346.mzML Peak area,Mo_2019_344.mzML Peak area,Mo_2019_345.mzML Peak area,Mo_2019_347.mzML Peak area,Mo_2019_337.mzML Peak area,Mo_2019_325.mzML Peak area,Mo_2019_328.mzML Peak area,Mo_2019_334.mzML Peak area,Mo_2019_341.mzML Peak area,Mo_2019_332.mzML Peak area,Mo_2019_327.mzML Peak area,Mo_2019_333.mzML Peak area,Mo_2019_335.mzML Peak area,Mo_2019_340.mzML Peak area,Mo_2019_329.mzML Peak area,Mo_2019_331.mzML Peak area,Mo_2019_324.mzML Peak area,Mo_2019_336.mzML Peak area,Mo_2019_321.mzML Peak area,Mo_2019_330.mzML Peak area,Mo_2019_326.mzML Peak area,Mo_2019_320.mzML Peak area,Mo_2019_322.mzML Peak area,Mo_2019_543.mzML Peak area,Mo_2019_351.mzML Peak area,Mo_2019_323.mzML Peak area,Mo_2019_350.mzML Peak area,Mo_2019_352.mzML Peak area,Mo_2019_353.mzML Peak area,
13,598.452145046658,11.093051416666665,,,,,36,,,,,,,,5.2787741466090776E7,4.380930135674906E7,3.679699339462755E7,4.144855243249348E7,2.045445207947819E7,4.2846761647059724E7,4.928152659358154E7,3.422609700888266E7,2.569652090582694E7,2.9200028308007784E7,2.744769132493482E7,2.246375511386574E7,3.955590894976706E7,2.9697823951831073E7,4.1826895588361196E7,3.02866969197523E7,3.1475839079246897E7,3.204012846044728E7,3.270833424289808E7,3.490120265889501E7,3.069673030822586E7,3.0498718097481705E7,2.5598760129498806E7,2.5817043864723247E7,4.23156987404172E7,3.3559302851697735E7,5.448894003541885E7,5.254226805370558E7,3.927288327186951E7,2.9225621901549138E7,3.768557935043696E7,5.30750876908012E7,4.04365541468124E7,3.934658272941004E7,3.1285323248018026E7,2.7381401694593478E7,
14,227.17541567484537,2.948901613888889,,,,,36,,,,,,,,2.276949921396563E8,1.3537084765571322E9,6.860432683228188E9,1.4725058861926198E9,5.108745597596047E9,2.0250223743677998E9,2.485795994435069E9,2.7799480543893647E9,1.6795610730006378E9,4.1069327471165266E9,6.305363407279694E9,6.873423351778916E9,1.4007986701129436E9,4.625086745127111E9,1.7443871664828217E9,6.794073912689025E9,2.0877008697260454E9,1.737005334129098E9,1.8785705300749946E9,1.6950231602423286E9,4.2545740469431763E9,2.641144309914204E9,2.4688217955331597E9,6.337006661802251E9,4.457279104616296E9,5.336383844849864E9,6.238341173786727E9,1.937921139877194E9,7.046025384711639E9,7.964661708728476E9,3.553311625142223E8,1.6528394343906221E9,3.733384195786257E9,1.9038542173723092E9,1.4504050936076365E9,4.229375882818704E9,
15,682.3633812798394,11.072231944444447,,,,,36,,,,,,,,9.159686975243053E7,5.0026730349829234E7,5.2584105415902965E7,4.390494133053424E7,3.414983713825421E7,2.8068523588405296E7,3.044424082656137E7,3.4458467676982E7,3.617788745936557E7,4.471164846762422E7,3.536922312155872E7,3.3404453229978316E7,4.181392970150984E7,2.2524951975537993E7,4.061401557728786E7,3.60427825027006E7,3.356327246137356E7,2.7839673734830208E7,3.63668108628641E7,2.5699564069739252E7,2.2376022540287197E7,4.17381924050123E7,2.5393502980529387E7,2.3254622342675705E7,3.721387608823845E7,2.4104419996120315E7,3.341707031234024E7,4.811227027891755E7,2.801234336020504E7,2.515156257232055E7,6.514545855329204E7,5.308972980158048E7,2.0250979233479805E7,4.009132136536183E7,5.041419300721305E7,3.789531264759189E7,
18,448.2789366365823,11.853735314285716,,,,,4,,,,,,,,8.207673128079058E7,651179.6047875134,570336.8575780084,1078389.5734226964,263628.3421942966,94113.99695748041,2329500.724815118,97306.3056808291,83650.68421523487,207850.88443576792,241377.60093946583,915002.183722148,342183.0257255856,622857.685579926,175263.6341600076,804037.4074024237,3785197.662885066,191578.67154258033,303580.20818648336,288449.1081533345,573340.5920439832,248437.06158425022,1356914.7406217468,152035.28888504978,730741.9080272435,267097.0360060831,326176.63071621046,567352.5973462505,251865.00684260787,693471.2949332176,37524.266786778215,0,166662.5213788182,273919.9517713444,114823.42985015604,96620.55827460988,
20,450.27617128199324,11.854527548387095,,,,,2,,,,,,,,7.976731389885947E7,686695.2294304506,365768.36088070524,876941.8599667979,103280.91369890596,123333.34353697358,2115343.4133979687,51613.95468808458,41393.502164883124,258972.32029254187,153171.5985820337,649287.8049466399,151096.4844505084,569558.2939920749,141412.65473194208,846254.1160811711,3741870.79457538,61607.29972851684,154998.64720570244,203994.14353253832,437861.5161882402,130296.78812238443,1357323.384530145,0,683851.5081278293,0,190527.81223083963,0,0,405127.49010866706,43471.398043858164,53046.01303828047,0,262893.52336107084,119952.53861050737,29768.59000312485,
22,432.2504171074762,9.641004740000001,,,,,3,,,,,,,,4.685946556929733E7,0,0,0,0,7235246.376378833,381113.1402513744,3897963.8183380435,0,5747479.019826434,6650453.939910365,0,0,3176628.1004216126,4431404.615899575,0,1627001.8104810412,0,5012796.914360377,4235557.994483562,0,6206526.583566154,418580.9998491958,0,3469402.9275082103,0,4746989.083733613,0,0,0,5250634.956224532,1.0112870385141963E7,0,9270489.994332349,8525061.11215903,9654786.820200352,
23,546.3265668560479,10.297414277777776,,,,,25,,,,,,,,9.242330049209513E7,2428429.7728424724,3026390.4959400343,3.17977747106633E7,7412166.734357746,416406.8395190626,396939.72735047434,3184099.2256293907,9050307.2687719,1.1134164026310744E7,4071474.618311236,236804.81984859653,1.7713959116395723E7,1.6937717100811876E7,2.048315924369444E7,1394156.035059363,5.5330678924685135E7,8.676867458644241E7,4.480887100168942E7,2.9948293107859064E7,339373.8547912554,7.918823543849327E7,1610565.2974823585,1.1560308993851265E7,2312423.3837601845,1.2810638213376472E7,2014718.2668403145,1.586203167991117E8,8048749.864784031,2.2970945174492E7,1.1187083258605335E7,5391198.172481697,1.3619760825423688E7,598577.9175496899,2648500.0686642416,1.71821919244443E7,
25,318.19120449490015,9.540678455555556,,,,,36,,,,,,,,7.305484312561856E7,7.315928959819967E7,6.2362840186273955E7,1.0543299784578896E8,2.6358472286652166E7,5.56290857794424E7,4.458411112013907E7,5.999032133781709E7,5.767416829031077E7,2.857696108077601E8,1.143240384614902E8,6.934450379203989E7,4.7853774904541E7,5.58946946486074E7,8.671705541965543E7,5.967393818675659E7,3.935939189102218E8,1.3989821923694798E8,2.842719156322947E8,1.3806862241529167E8,7.652007322473027E7,2.494479564008765E8,8.407840929347222E7,6.821764414771603E7,5.823969673803805E7,4.1181631128387734E7,5.530957013423905E7,2.4895315977858222E8,3.649843121859389E7,4.829608804836368E7,5.0114720250789516E7,1.0683147811046936E8,7.639123794307403E7,7.30412823515711E7,9.907050733807527E7,1.0605815705811957E8,
26,628.1951251559788,11.617793111111116,,,,,36,,,,,,,,5.300982397728866E7,2.023721615155388E8,1.1432776947027496E8,3.292482140957281E8,3.3244828562795335E8,5.939415740727148E8,5.518332207982436E8,2.578254658890419E8,1.3551156521578157E8,1.8976136043765688E8,3.2504973951984936E8,2.4342028509489858E8,7.394659077541414E7,1.0934062095722163E8,1.2156126329129931E8,1.953786045500416E8,4.518052734175962E7,1.7892238403517854E8,1.0835620369082594E8,2.3756084339338908E8,2.922018537108238E8,8.193742433681253E7,6.4836051906370856E7,1.416177263082328E8,7.726154468403837E7,6.816671271485639E7,3.9641936029913193E8,2.00856731808033E8,7.244803029836191E7,6.795953293795796E7,1.3341539373185645E8,3.293379473159154E8,6.272285994046102E7,3.504559393343978E8,8.221911081337869E7,3.2738493772778666E8,
27,242.21144909328885,9.405685363888887,,,,,36,,,,,,,,5.249460113814998E7,6.589591939628609E7,5.229047947313914E7,5.0165148673094474E7,4.169433152678571E7,1.8386975108406916E7,6924688.5062772175,3.391047940454074E7,3.8477025285463214E7,5.081042490492833E7,3.56115210483486E7,2.8663773967412326E7,3.0451752172074836E7,5.1115370462665245E7,5.680386152110496E7,3.841295164883707E7,2.136876229033763E7,5.9696869903881155E7,7.491038399810107E7,4.9328588489832245E7,2.065011169811524E7,7.971907446335274E7,901228.933627227,5.1327157025023594E7,5.633195327293278E7,3.0633577085396353E7,2.8472200773620747E7,2.7378813992993377E7,3.6833889370443135E7,6.692189474596077E7,3.520361434061939E7,6.076511548566428E7,7800412.42415365,3.0763499171891265E7,6.458011300468198E7,5.4263328649462916E7,
28,554.4262873331705,11.106281861111112,,,,,36,,,,,,,,3.873675721282236E7,5.054954804203079E7,2.6960960107271433E7,4.1790068737626664E7,1.7252840189458292E7,3.6805707532466345E7,4.897227524448309E7,2.8763911654418666E7,2.7564672622781623E7,2.6792051962777946E7,2.1516669693362255E7,2.20010730946043E7,4.859432298980406E7,2.4707877508121382E7,2.957984671325091E7,3.3424223914695658E7,2.285926279247659E7,3.8008780467605375E7,2.835855637026244E7,3.5678375862452835E7,2.368565746633979E7,2.3000147540957194E7,2.7510862923280984E7,2.79774959137753E7,3.0542087437003706E7,3.225290994327643E7,4.256502987810673E7,4.044504676024115E7,4.6728716979022495E7,4.1098903004675806E7,3.0660380995096136E7,5.632880646962233E7,3.319330616511342E7,3.306020552925633E7,3.644124644761685E7,2.988453755803746E7,
29,346.22247105268093,9.542461591666664,,,,,34,,,,,,,,8.583581404207951E7,1.944910654642014E7,1.9967260669418033E7,3.709050784235375E7,1.5378098841408279E7,3.0450835269117747E7,604722.7398556344,2.965894278305191E7,1.730553001960983E7,1.207795961260455E8,5.4199487888496906E7,2.283140046572628E7,1.841947636471761E7,1.6416278523779621E7,2.552536808136102E7,1.5682252621470585E7,1.0912548305346213E8,3.8271657642312676E7,1.1046344195060551E8,3.861328349003834E7,1.771392939332518E7,8.912231157272257E7,1251192.2725579333,2.4888145953939017E7,2.320575503343849E7,1.6141363481197085E7,1.3266057155993205E7,6.113985442819928E7,1.9325418727286596E7,3711387.1655679047,1.785374812509934E7,3.410842378839312E7,3.313613320375524E7,3.04279558699893E7,2891870.8358226344,4.121944327958428E7,
30,151.03527683681912,0.5607552030555555,,,,,36,,,,,,,,4.5204790395537175E7,4.4703186503443874E7,7.891309545443119E7,1.4349013268464511E7,4.362062621060317E7,4.4082747985381246E7,1.0502396798094874E7,9.727702680858392E7,3.8686857175043255E7,5.985284730846437E7,5.946658375308186E7,1.8108959526100572E7,1.825886148317264E7,1.952012203979524E7,2.9876428438940875E7,2.152769921110436E7,1.1292359849011868E7,1.6083218561588287E7,5.232873252963022E7,4.046269678135918E7,2.434130238966596E7,1.9337549182976536E7,4196116.558204228,3.154763444922355E7,2.6885474344526388E7,2.8473954589523323E7,4.684867092141316E7,2.178109486815348E7,5.1522137849926084E7,1.4877031674255736E7,4.813170454651575E7,5.238915048303164E7,1.9549038371527303E7,2.6937895523168843E7,2.4401971904730175E7,4.8759900450806215E7,
31,228.19588067796496,9.405692594444442,,,,,36,,,,,,,,4.685898178946716E7,3.117991888698187E8,2.6992247887406707E8,2.6123979066671926E8,2.68000981662481E8,1.3960380694445357E8,9.851044132159536E7,2.236192908050154E8,1.752952752229181E8,2.999745311712848E8,1.9468755428427818E8,1.9562732301058254E8,1.569916426751765E8,4.9713708823788935E8,3.5849672828025615E8,2.341103097314796E8,2.2708503068766353E8,4.2156006495871335E8,5.50476854136912E8,2.765796417342194E8,2.22691553149113E8,4.9511851452953875E8,4.773132972722222E7,4.628799031044649E8,3.5708046345387644E8,3.6806526994463056E8,1.8369881431760964E8,2.1210893335364488E8,4.088637408996099E8,6.796270075554134E8,1.2918654611259472E8,2.6463014518323258E8,1.288033775848607E8,1.5980873057204485E8,3.3247390797349185E8,3.185386571723414E8,
32,418.2436694404379,10.002631541666668,,,,,10,,,,,,,,2.0863012581775162E8,9.481022765364048E7,1.6336194083804232E8,1.4315234416336322E8,7.996603425829402E7,2.37177300147892E7,2.439622877257948E7,2.4939277348252837E7,1.5202165323670813E8,1.7004115504369235E8,2.952458899385996E7,7.558136253776371E7,2.694551695088637E8,7.981143681344184E7,1.695731046613761E8,1.0401353626631019E8,4.273217586194897E8,2.7305416042027336E8,5.757262291533623E8,1.7999385819868755E8,9.208981133346969E7,3.952335222408105E8,1.1017430112965171E8,3.245470368248085E8,5.924705312402379E7,3.095615749832611E8,2.689303025172025E7,7.194482275308995E8,1.1803088597252041E8,3.3236894118855673E8,8.325916216736802E7,1.2665868757256148E7,2.862152691776053E8,2.5842852177699003E7,1.1404235161372516E7,6.954323577359283E7,
33,746.5260235353501,10.59625302777778,,,,,35,,,,,,,,3.818998914861136E7,3.6616747949882306E7,2.1495407304222893E7,2.843983756549248E7,2.6897262715074394E7,2.0315020317336693E7,2.315136404608332E7,2.6011732002904817E7,1.6919513928054497E7,2.1473572185373478E7,2.201106023639423E7,1.915624454360508E7,2.0510206966702253E7,2.0666801750156153E7,1.8617721230136625E7,2.552907072286928E7,1.4277629455283834E7,1.9315409831400488E7,2.3247480560040087E7,2.6025209039092112E7,2.123388410548867E7,2.165464036977222E7,1.5592940797448058E7,1.692471714711225E7,2.2010607531804178E7,2.2324838906512927E7,3.991523179863109E7,3.6591311059161425E7,2.634470600993818E7,2.1518069811521377E7,2.721113690920251E7,2.764645834530104E7,2.1421362316246007E7,2.3007518987726577E7,2.269113236867037E7,3.1623421447139237E7,
34,642.4787089029948,11.080093333333332,,,,,36,,,,,,,,3.1600371597123213E7,3.778822692573242E7,2.7990736040681228E7,3.483620110099106E7,1.8708166950398702E7,2.6362633697737318E7,2.833187815620737E7,2.9679743796549916E7,1.80063520552797E7,2.37024762539822E7,2.19274099778776E7,2.551573519792968E7,3.2518048277268972E7,2.0678718813478276E7,2.72850945636865E7,1.7222184946850065E7,2.2457866042879958E7,2.4013825475285966E7,2.127444447972233E7,2.0785570599444747E7,2.1045683489717804E7,2.3304324034142308E7,2.5143631137823924E7,1.926160444960484E7,2.8201559562147345E7,2.6776896922906227E7,4.2099972177817926E7,3.7204664946347274E7,2.96755150926386E7,2.3065775244159438E7,2.3647617892897908E7,3.9444071432973064E7,2.910365731692407E7,2.5121624479973502E7,2.6314699786979865E7,2.9566435810231015E7,
35,274.2740579445449,8.499609015151513,,,,,4,,,,,,,,6.401259016763006E7,1.4950624428669673E8,6.1483090064520895E7,7.50796901396844E7,6.41287625094949E7,0,247154.1699698678,6.5491874531081945E7,7.823803884406705E7,6.162988643793339E7,6.68527801707387E7,7.268725068602182E7,5.984841910976371E7,4.6017574194769576E7,4.865621471573792E7,6.6345533555556394E7,0,5.1364695037981346E7,438534.02928205574,5.591356293959596E7,5.9570109025065936E7,4.77388574406731E7,329217.5375139365,4.405498715092756E7,5.4449810659512475E7,4.8021282769923426E7,6.407257651463758E7,7.02432186226394E7,4.8375038340302855E7,4.423049289196064E7,9.514618097274356E7,7.142324620971625E7,2585967.725735021,0,1.564673528348601E8,6.703143067148091E7,
40,654.3320727878147,11.071108027777779,,,,,36,,,,,,,,2.701191717203758E7,3.242059656137412E7,2.158429650921726E7,2.5786813287502784E7,2.062186165585216E7,6.158906488942699E7,5.3776580420569144E7,2.412021840003726E7,4.506451065874668E7,2.9501557253665213E7,2.5560505870127566E7,1.805675879137018E7,2.7370954986984253E7,1.917287698430886E7,3.312735111229615E7,2.3406861229252663E7,5.068628342542382E7,2.7839302396301195E7,4.0709831728575654E7,2.6430912087043323E7,1.7807423283550642E7,2.4172679940564293E7,4.418001520773612E7,1.763336358692818E7,2.156496220542764E7,2.3305204092616428E7,3.231706504662288E7,5.037973911870152E7,2.5213748852241565E7,2.4316323703049354E7,3.2770138450893275E7,4.200085538694543E7,2.6344115021733668E7,4.06051072234168E7,4.0679136369891375E7,3.2271086846179754E7,
43,319.2955837484881,9.405052791428572,,,,,33,,,,,,,,3.5446355859298065E7,3.2995877260908768E7,2.7124534736922197E7,2.4792195922241848E7,2.0741427948095504E7,7761449.231128368,2952944.7428371655,1.4209180434514564E7,2.000565535791818E7,1.998231614697603E7,1.541776109564857E7,1.3092141656240333E7,1.2493604929005384E7,2.2579679908082314E7,2.1324136458939914E7,1.6235633986738399E7,1.0346134354818601E7,2.8374463161265515E7,3.2352384561702795E7,1.845424096004296E7,9192114.40998983,3.277431525542914E7,0,2.3665626934663597E7,2.2564222088552367E7,1.3296876190066222E7,8924171.413065085,1.1933275334833946E7,1.6735628430062653E7,2.4818589020790484E7,1.3839825255695451E7,2.57268127642136E7,2646363.0795684103,1.2956010368429467E7,2.9897888938235823E7,2.3718510281502154E7,
45,182.98518159654407,13.127967166666664,,,,,36,,,,,,,,1.1703151010132177E8,8.724376075061344E7,8.338782783594687E7,8.327032438698682E7,8.716282120100054E7,8.42392423335763E7,9.629386015576403E7,8.587360488991842E7,9.339940849323091E7,9.583665632809848E7,8.783691507943165E7,7.744764385691907E7,7.260986466996524E7,8.542881849098426E7,8.389969185429367E7,9.048620701003899E7,8.388584803402947E7,8.659118357677543E7,8.898309534979784E7,9.240347743453501E7,8.48082431489715E7,9.33750375187879E7,9.702405460617244E7,7.992856351828583E7,8.278582857400961E7,8.06152904698108E7,7.354401283285305E7,8.503329104802923E7,8.606318116959628E7,8.780285663255069E7,9.60647346994966E7,8.552245157967722E7,8.257150317396717E7,7.525060325209945E7,8.946471069430563E7,8.570551596729839E7,
46,253.12231657240125,9.859948025000001,,,,,36,,,,,,,,3.0099465642705474E7,3.723027443312447E7,2.8159106411789827E7,3.2958322542739034E7,2.910303419113779E7,1.8789225250747867E7,7801552.276623728,2.079710768380013E7,2.2277557313887622E7,1.9757262307708617E7,1.906014194021346E7,2.456165385395309E7,2.3591384823889386E7,1.5816022492230298E7,2.0067038612312824E7,3.281157796180229E7,1.6913564500363313E7,1.7415955328805592E7,1.8347605047438826E7,2.230022922857194E7,2.0856604148187544E7,1.9226519230289295E7,7811882.914402186,1.9940045779118937E7,1.834363948422591E7,2.166076607006824E7,2.0018479511025846E7,3.426026857964019E7,2.9167814676925935E7,2.489428593987874E7,1.8237888244093336E7,2.648822444250158E7,1.5093010557941947E7,2.0200031581349205E7,2.6923673181953277E7,2.399330380972775E7,
