Code,Length,Width,Height,Shape,Vol,SA,Notes,Aquaria,Timepoint_Heat,Genotype,Timepoint,Heat,Aquaria_Timepoint_Heat,Outlier,Outlier1,Collection_Bleaching_Level,Collection_Bleaching_Level1
PC_HE2_T7H_B,,0.8,1.1,cylinder,10,7.539822369,,HE2,T7H,B,T7,H,HE2_T7H,,,HE,HE
PC_HE2_T7H_C,1.4,2.2,3.1,box,10,25.4,,HE2,T7H,C,T7,H,HE2_T7H,,,HE,HE
PC_HE2_T7H_D,1.5,2.7,3,box,10,29.25,epiphytic algae. maybe,HE2,T7H,D,T7,H,HE2_T7H,,,HE,HE
PC_HE2_T7H_E,1.2,1.8,2.7,box-y triangle,15,5.724,,HE2,T7H,E,T7,H,HE2_T7H,,,HE,HE
PC_HE2_T7H_F,1.5,2.4,2.6,box,15,23.88,,HE2,T7H,F,T7,H,HE2_T7H,,,HE,HE
PC_HE3_T0C_A,,0.8,2.2,cylinder,10,13.06902544,chunk had dark tissue—black maybe,HE3,T0C,A,T0,C,HE3_T0C,Y,,HE,HE
PC_HE3_T0C_B,,1,5.5,cylinder,10,37.69911184,,HE3,T0C,B,T0,C,HE3_T0C,,,HE,HE
PC_HE3_T0C_C,1.4,1.7,2.3,BOX,10,16.64,,HE3,T0C,C,T0,C,HE3_T0C,,,HE,HE
PC_HE3_T0C_D,2,3.2,2.8,box,15,35.52,,HE3,T0C,D,T0,C,HE3_T0C,,,HE,HE
PC_HE3_T0C_E,,1.8,2,cone,15,15.21569033,fell on ground before chunking,HE3,T0C,E,T0,C,HE3_T0C,Y,,HE,HE
PC_HE3_T0C_F,1.4,1.7,2.4,box,15,17.26,,HE3,T0C,F,T0,C,HE3_T0C,,,HE,HE
PC_HE3_T7C_A,,1.1,5.8,cylinder,10,43.88804937,,HE3,T7C,A,T7,C,HE3_T7C,,,HE,HE
PC_HE3_T7C_B,,1,2.8,cylinder,10,20.73451151,,HE3,T7C,B,T7,C,HE3_T7C,,,HE,HE
PC_HE3_T7C_C,,1.9,2.7,cylinder,10,43.57389011,,HE3,T7C,C,T7,C,HE3_T7C,,,HE,HE
PC_HE3_T7C_D,1.5,2.3,3,box,10,26.25,lost some blastate,HE3,T7C,D,T7,C,HE3_T7C,,,HE,HE
PC_HE3_T7C_E,2,1.2,1.7,square bottom cone (count bottom),10,5.910213669,,HE3,T7C,E,T7,C,HE3_T7C,,,HE,HE
PC_HE3_T7C_F,1.5,2.3,2.4,box,15,21.69,lost some blastate,HE3,T7C,F,T7,C,HE3_T7C,,,HE,HE
PC_HE3_T7H_A,,0.9,3.5,cylinder,10,22.33672377,,HE3,T7H,A,T7,H,HE3_T7H,,,HE,HE
PC_HE3_T7H_B,,1.2,5.5,cylinder,10,45.99291645,,HE3,T7H,B,T7,H,HE3_T7H,,,HE,HE
PC_HE3_T7H_C,,1.7,3.7,cylinder,14,48.60043835,,HE3,T7H,C,T7,H,HE3_T7H,,,HE,HE
PC_HE3_T7H_D,,1.3,5.6,cylinder,14,51.05088062,,HE3,T7H,D,T7,H,HE3_T7H,,,HE,HE
PC_HE3_T7H_E,,1,2.4,cylinder,15,18.22123739,,HE3,T7H,E,T7,H,HE3_T7H,,,HE,HE
