,PLANC_aquaria_name,SampleID,X,Sample.Name,Concentration,Treatment.x,Bottle,Timepoint..h.,Temp,origin,Treatment.y,Sample.Type,Timepoint.x,Hours,Bottle_NR,Notes,sym_total,sym_total..no.outliers.,SA,SA_no_outliers,sym.SA.normalized.no.outliers,sym.SA.normalized,Aquaria_timepoint_heat,Aquaria,Timepoint.y,Heat,Coral_Health,abcDOM_Treatment,Coral_Health_Heat,Timepoint_Heat,sym.group1,log10.sym.SA.normalized.no.outliers,sym.group1.1,sym.group2,sym.group3,bleaching_trajectory,Collection_Bleaching_Level1,Bleaching_Susceptability,Treatment
11,,ABC_162,54,E3,242.59,Water Control,18,8,Ambient,control,Water Control,FCM,T8,8,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Water Control
12,,ABC_206,99,A3,710.86,HotWaterControl,8,20,Hot,control,Hot Water Control,FCM,T,20,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HotWaterControl
13,,ABC_207,100,A4,549.73,HotWaterControl,9,20,Hot,control,Hot Water Control,FCM,T,20,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HotWaterControl
14,,ABC_249,141,D9,921.29,Water Control,16,32,Ambient,control,Water Control,FCM,T,32,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Water Control
15,,ABC_124,18,B3,131.18,Water Control,16,0,Ambient,control,Water Control,FCM,T0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Water Control
16,,ABC_125,19,B4,129.94,Water Control,17,0,Ambient,control,Water Control,FCM,T0,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Water Control
17,,ABC_126,20,B5,139.06,Water Control,18,0,Ambient,control,Water Control,FCM,T0,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Water Control
18,,ABC_170,50,E10,549.12,HotWaterControl,8,12,Hot,control,Hot Water Control,FCM,T12,12,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HotWaterControl
19,,ABC_171,51,E11,389.65,HotWaterControl,9,12,Hot,control,Hot Water Control,FCM,T12,12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HotWaterControl
20,,ABC_214,96,A11,956.66,Water Control,16,20,Ambient,control,Water Control,FCM,T,20,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Water Control
21,,ABC_215,97,A12,922.1,Water Control,17,20,Ambient,control,Water Control,FCM,T,20,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Water Control
22,,ABC_216,106,B1,1788.9,Water Control,18,20,Ambient,control,Water Control,FCM,T,20,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Water Control
23,,ABC_133,15,B11,132.47,HotWaterControl,7,2,Hot,control,Hot Water Control,FCM,T2,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HotWaterControl
24,,ABC_134,16,B12,143.18,HotWaterControl,8,2,Hot,control,Hot Water Control,FCM,T2,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HotWaterControl
25,,ABC_135,25,C1,167.14,HotWaterControl,9,2,Hot,control,Hot Water Control,FCM,T2,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HotWaterControl
26,,ABC_178,69,F6,629.52,Water Control,16,12,Ambient,control,Water Control,FCM,T12,12,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Water Control
27,,ABC_179,70,F7,428.44,Water Control,17,12,Ambient,control,Water Control,FCM,T12,12,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Water Control
28,,ABC_180,71,F8,1126.1,Water Control,18,12,Ambient,control,Water Control,FCM,T12,12,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Water Control
29,,ABC_224,116,B8,733.22,HotWaterControl,8,24,Hot,control,Hot Water Control,FCM,T,24,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HotWaterControl
30,,ABC_225,117,B9,611.88,HotWaterControl,9,24,Hot,control,Hot Water Control,FCM,T,24,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HotWaterControl
31,,ABC_266,155,F2,787.78,Water Control,16,36,Ambient,control,Water Control,FCM,T,36,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Water Control
32,,ABC_142,35,C8,144.41,Water Control,16,2,Ambient,control,Water Control,FCM,T2,2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Water Control
33,,ABC_143,36,C9,146.04,Water Control,17,2,Ambient,control,Water Control,FCM,T2,2,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Water Control
34,,ABC_144,26,C10,145.37,Water Control,18,2,Ambient,control,Water Control,FCM,T2,2,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Water Control
35,,ABC_188,78,G3,595.06,HotWaterControl,8,16,Hot,control,Hot Water Control,FCM,T16,16,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HotWaterControl
36,,ABC_189,79,G4,413.02,HotWaterControl,9,16,Hot,control,Hot Water Control,FCM,T16,16,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HotWaterControl
37,,ABC_232,124,C4,922.16,Water Control,16,24,Ambient,control,Water Control,FCM,T,24,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Water Control
38,,ABC_233,125,C5,894.52,Water Control,17,24,Ambient,control,Water Control,FCM,T,24,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Water Control
39,,ABC_234,126,C6,1802.28,Water Control,18,24,Ambient,control,Water Control,FCM,T,24,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Water Control
40,,ABC_151,43,D4,296.9,HotWaterControl,7,8,Hot,control,Hot Water Control,FCM,T8,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HotWaterControl
41,,ABC_240,121,C12,782.96,HotWaterControl,7,32,Hot,control,Hot Water Control,FCM,T,32,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HotWaterControl
42,,ABC_250,131,D10,922.04,Water Control,17,32,Ambient,control,Water Control,FCM,T,32,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Water Control
43,,ABC_251,132,D11,1726.86,Water Control,18,32,Ambient,control,Water Control,FCM,T,32,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Water Control
44,,ABC_169,60,E9,503.37,HotWaterControl,7,12,Hot,control,Hot Water Control,FCM,T12,12,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HotWaterControl
45,,ABC_257,149,E5,731.78,HotWaterControl,7,36,Hot,control,Hot Water Control,FCM,T,36,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HotWaterControl
46,,ABC_241,130,D1,758.14,HotWaterControl,8,32,Hot,control,Hot Water Control,FCM,T,32,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HotWaterControl
47,,ABC_242,134,D2,645.47,HotWaterControl,9,32,Hot,control,Hot Water Control,FCM,T,32,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HotWaterControl
48,,ABC_187,77,G2,622.04,HotWaterControl,7,16,Hot,control,Hot Water Control,FCM,T16,16,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HotWaterControl
49,,ABC_258,150,E6,727.32,HotWaterControl,8,36,Hot,control,Hot Water Control,FCM,T,36,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HotWaterControl
50,,ABC_205,98,A2,651.18,HotWaterControl,7,20,Hot,control,Hot Water Control,FCM,T,20,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HotWaterControl
51,,ABC_268,157,F4,1563.08,Water Control,18,36,Ambient,control,Water Control,FCM,T,36,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Water Control
52,,ABC_223,115,B7,736.49,HotWaterControl,7,24,Hot,control,Hot Water Control,FCM,T,24,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HotWaterControl
53,,ABC_259,151,E7,650.62,HotWaterControl,9,36,Hot,control,Hot Water Control,FCM,T,36,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HotWaterControl
54,,ABC_267,156,F3,830.12,Water Control,17,36,Ambient,control,Water Control,FCM,T,36,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Water Control
55,BL1_T7C,ABC_208,101,A5,1508.47,Bleaching-Recovering,10,20,Ambient,Bleached,Recovering,FCM,T,20,10,NA,2562000,2558800,90.69088957,75.51699705,33883.76259,28249.8056,BL1_T7C,BL1,T7,C,Bleaching,Bleaching-Recovering,Bleaching_C,T7_C,28249.8056,4.52999163,Low Sym,Low Sym,Low Sym,Recovering,BL,Susceptible,Bleached
56,BL1_T7C,ABC_136,29,C2,139.43,Bleaching-Recovering,10,2,Ambient,Bleached,Recovering,FCM,T2,2,10,NA,2562000,2558800,90.69088957,75.51699705,33883.76259,28249.8056,BL1_T7C,BL1,T7,C,Bleaching,Bleaching-Recovering,Bleaching_C,T7_C,28249.8056,4.52999163,Low Sym,Low Sym,Low Sym,Recovering,BL,Susceptible,Bleached
57,BL1_T7C,ABC_154,46,D7,433.68,Bleaching-Recovering,10,8,Ambient,Bleached,Recovering,FCM,T8,8,10,NA,2562000,2558800,90.69088957,75.51699705,33883.76259,28249.8056,BL1_T7C,BL1,T7,C,Bleaching,Bleaching-Recovering,Bleaching_C,T7_C,28249.8056,4.52999163,Low Sym,Low Sym,Low Sym,Recovering,BL,Susceptible,Bleached
58,BL1_T7C,ABC_226,107,B10,1276.04,Bleaching-Recovering,10,24,Ambient,Bleached,Recovering,FCM,T,24,10,NA,2562000,2558800,90.69088957,75.51699705,33883.76259,28249.8056,BL1_T7C,BL1,T7,C,Bleaching,Bleaching-Recovering,Bleaching_C,T7_C,28249.8056,4.52999163,Low Sym,Low Sym,Low Sym,Recovering,BL,Susceptible,Bleached
59,BL1_T7C,ABC_260,152,E8,1334.32,Bleaching-Recovering,10,36,Ambient,Bleached,Recovering,FCM,T,36,10,NA,2562000,2558800,90.69088957,75.51699705,33883.76259,28249.8056,BL1_T7C,BL1,T7,C,Bleaching,Bleaching-Recovering,Bleaching_C,T7_C,28249.8056,4.52999163,Low Sym,Low Sym,Low Sym,Recovering,BL,Susceptible,Bleached
60,BL1_T7C,ABC_190,80,G5,1271.9,Bleaching-Recovering,10,16,Ambient,Bleached,Recovering,FCM,T16,16,10,NA,2562000,2558800,90.69088957,75.51699705,33883.76259,28249.8056,BL1_T7C,BL1,T7,C,Bleaching,Bleaching-Recovering,Bleaching_C,T7_C,28249.8056,4.52999163,Low Sym,Low Sym,Low Sym,Recovering,BL,Susceptible,Bleached
61,BL1_T7C,ABC_243,135,D3,1403.56,Bleaching-Recovering,10,32,Ambient,Bleached,Recovering,FCM,T,32,10,NA,2562000,2558800,90.69088957,75.51699705,33883.76259,28249.8056,BL1_T7C,BL1,T7,C,Bleaching,Bleaching-Recovering,Bleaching_C,T7_C,28249.8056,4.52999163,Low Sym,Low Sym,Low Sym,Recovering,BL,Susceptible,Bleached
62,BL1_T7C,ABC_118,12,A9,118.98,Bleaching-Recovering,10,0,Ambient,Bleached,Recovering,FCM,T0,0,10,NA,2562000,2558800,90.69088957,75.51699705,33883.76259,28249.8056,BL1_T7C,BL1,T7,C,Bleaching,Bleaching-Recovering,Bleaching_C,T7_C,28249.8056,4.52999163,Low Sym,Low Sym,Low Sym,Recovering,BL,Susceptible,Bleached
63,BL1_T7C,ABC_172,52,E12,1123.08,Bleaching-Recovering,10,12,Ambient,Bleached,Recovering,FCM,T12,12,10,NA,2562000,2558800,90.69088957,75.51699705,33883.76259,28249.8056,BL1_T7C,BL1,T7,C,Bleaching,Bleaching-Recovering,Bleaching_C,T7_C,28249.8056,4.52999163,Low Sym,Low Sym,Low Sym,Recovering,BL,Susceptible,Bleached
64,BL2_T7C,ABC_119,2,A10,140.94,Bleaching-Recovering,11,0,Ambient,Bleached,Recovering,FCM,T0,0,11,NA,2069800,2049000,81.26320882,45.66896405,44866.35602,25470.32083,BL2_T7C,BL2,T7,C,Bleaching,Bleaching-Recovering,Bleaching_C,T7_C,25470.32083,4.651920798,Low Sym,Medium Sym,Medium Sym,Recovering,BL,Susceptible,Bleached
65,BL2_T7C,ABC_209,102,A6,1823.68,Bleaching-Recovering,11,20,Ambient,Bleached,Recovering,FCM,T,20,11,NA,2069800,2049000,81.26320882,45.66896405,44866.35602,25470.32083,BL2_T7C,BL2,T7,C,Bleaching,Bleaching-Recovering,Bleaching_C,T7_C,25470.32083,4.651920798,Low Sym,Medium Sym,Medium Sym,Recovering,BL,Susceptible,Bleached
66,BL2_T7C,ABC_191,81,G6,1464.24,Bleaching-Recovering,11,16,Ambient,Bleached,Recovering,FCM,T16,16,11,NA,2069800,2049000,81.26320882,45.66896405,44866.35602,25470.32083,BL2_T7C,BL2,T7,C,Bleaching,Bleaching-Recovering,Bleaching_C,T7_C,25470.32083,4.651920798,Low Sym,Medium Sym,Medium Sym,Recovering,BL,Susceptible,Bleached
67,BL2_T7C,ABC_261,153,E9,1764.8,Bleaching-Recovering,11,36,Ambient,Bleached,Recovering,FCM,T,36,11,NA,2069800,2049000,81.26320882,45.66896405,44866.35602,25470.32083,BL2_T7C,BL2,T7,C,Bleaching,Bleaching-Recovering,Bleaching_C,T7_C,25470.32083,4.651920798,Low Sym,Medium Sym,Medium Sym,Recovering,BL,Susceptible,Bleached
68,BL2_T7C,ABC_244,136,D4,1900.84,Bleaching-Recovering,11,32,Ambient,Bleached,Recovering,FCM,T,32,11,NA,2069800,2049000,81.26320882,45.66896405,44866.35602,25470.32083,BL2_T7C,BL2,T7,C,Bleaching,Bleaching-Recovering,Bleaching_C,T7_C,25470.32083,4.651920798,Low Sym,Medium Sym,Medium Sym,Recovering,BL,Susceptible,Bleached
69,BL2_T7C,ABC_227,108,B11,1508.14,Bleaching-Recovering,11,24,Ambient,Bleached,Recovering,FCM,T,24,11,NA,2069800,2049000,81.26320882,45.66896405,44866.35602,25470.32083,BL2_T7C,BL2,T7,C,Bleaching,Bleaching-Recovering,Bleaching_C,T7_C,25470.32083,4.651920798,Low Sym,Medium Sym,Medium Sym,Recovering,BL,Susceptible,Bleached
70,BL2_T7C,ABC_137,30,C3,135.2,Bleaching-Recovering,11,2,Ambient,Bleached,Recovering,FCM,T2,2,11,NA,2069800,2049000,81.26320882,45.66896405,44866.35602,25470.32083,BL2_T7C,BL2,T7,C,Bleaching,Bleaching-Recovering,Bleaching_C,T7_C,25470.32083,4.651920798,Low Sym,Medium Sym,Medium Sym,Recovering,BL,Susceptible,Bleached
71,BL2_T7C,ABC_155,47,D8,589.33,Bleaching-Recovering,11,8,Ambient,Bleached,Recovering,FCM,T8,8,11,NA,2069800,2049000,81.26320882,45.66896405,44866.35602,25470.32083,BL2_T7C,BL2,T7,C,Bleaching,Bleaching-Recovering,Bleaching_C,T7_C,25470.32083,4.651920798,Low Sym,Medium Sym,Medium Sym,Recovering,BL,Susceptible,Bleached
72,BL2_T7C,ABC_173,61,F1,1202.71,Bleaching-Recovering,11,12,Ambient,Bleached,Recovering,FCM,T12,12,11,NA,2069800,2049000,81.26320882,45.66896405,44866.35602,25470.32083,BL2_T7C,BL2,T7,C,Bleaching,Bleaching-Recovering,Bleaching_C,T7_C,25470.32083,4.651920798,Low Sym,Medium Sym,Medium Sym,Recovering,BL,Susceptible,Bleached
73,BL3_T7C,ABC_120,3,A11,174.02,Bleaching-Recovering,12,0,Ambient,Bleached,Recovering,FCM,T0,0,12,NA,826045,712820,93.56955321,58.54831582,12174.90187,8828.138766,BL3_T7C,BL3,T7,C,Bleaching,Bleaching-Recovering,Bleaching_C,T7_C,8828.138766,4.08546547,Very Low Sym,Low Sym,Low Sym,Recovering,BL,Susceptible,Bleached
74,BL3_T7C,ABC_192,82,G7,1925.62,Bleaching-Recovering,12,16,Ambient,Bleached,Recovering,FCM,T16,16,12,NA,826045,712820,93.56955321,58.54831582,12174.90187,8828.138766,BL3_T7C,BL3,T7,C,Bleaching,Bleaching-Recovering,Bleaching_C,T7_C,8828.138766,4.08546547,Very Low Sym,Low Sym,Low Sym,Recovering,BL,Susceptible,Bleached
75,BL3_T7C,ABC_210,103,A7,2506.26,Bleaching-Recovering,12,20,Ambient,Bleached,Recovering,FCM,T,20,12,NA,826045,712820,93.56955321,58.54831582,12174.90187,8828.138766,BL3_T7C,BL3,T7,C,Bleaching,Bleaching-Recovering,Bleaching_C,T7_C,8828.138766,4.08546547,Very Low Sym,Low Sym,Low Sym,Recovering,BL,Susceptible,Bleached
76,BL3_T7C,ABC_262,143,E10,2448.2,Bleaching-Recovering,12,36,Ambient,Bleached,Recovering,FCM,T,36,12,NA,826045,712820,93.56955321,58.54831582,12174.90187,8828.138766,BL3_T7C,BL3,T7,C,Bleaching,Bleaching-Recovering,Bleaching_C,T7_C,8828.138766,4.08546547,Very Low Sym,Low Sym,Low Sym,Recovering,BL,Susceptible,Bleached
77,BL3_T7C,ABC_245,137,D5,2463.12,Bleaching-Recovering,12,32,Ambient,Bleached,Recovering,FCM,T,32,12,NA,826045,712820,93.56955321,58.54831582,12174.90187,8828.138766,BL3_T7C,BL3,T7,C,Bleaching,Bleaching-Recovering,Bleaching_C,T7_C,8828.138766,4.08546547,Very Low Sym,Low Sym,Low Sym,Recovering,BL,Susceptible,Bleached
78,BL3_T7C,ABC_138,31,C4,166.24,Bleaching-Recovering,12,2,Ambient,Bleached,Recovering,FCM,T2,2,12,NA,826045,712820,93.56955321,58.54831582,12174.90187,8828.138766,BL3_T7C,BL3,T7,C,Bleaching,Bleaching-Recovering,Bleaching_C,T7_C,8828.138766,4.08546547,Very Low Sym,Low Sym,Low Sym,Recovering,BL,Susceptible,Bleached
79,BL3_T7C,ABC_156,48,D9,1155.56,Bleaching-Recovering,12,8,Ambient,Bleached,Recovering,FCM,T8,8,12,NA,826045,712820,93.56955321,58.54831582,12174.90187,8828.138766,BL3_T7C,BL3,T7,C,Bleaching,Bleaching-Recovering,Bleaching_C,T7_C,8828.138766,4.08546547,Very Low Sym,Low Sym,Low Sym,Recovering,BL,Susceptible,Bleached
80,BL3_T7C,ABC_174,65,F2,1834.58,Bleaching-Recovering,12,12,Ambient,Bleached,Recovering,FCM,T12,12,12,NA,826045,712820,93.56955321,58.54831582,12174.90187,8828.138766,BL3_T7C,BL3,T7,C,Bleaching,Bleaching-Recovering,Bleaching_C,T7_C,8828.138766,4.08546547,Very Low Sym,Low Sym,Low Sym,Recovering,BL,Susceptible,Bleached
81,BL3_T7C,ABC_228,109,B12,2533.58,Bleaching-Recovering,12,24,Ambient,Bleached,Recovering,FCM,T,24,12,NA,826045,712820,93.56955321,58.54831582,12174.90187,8828.138766,BL3_T7C,BL3,T7,C,Bleaching,Bleaching-Recovering,Bleaching_C,T7_C,8828.138766,4.08546547,Very Low Sym,Low Sym,Low Sym,Recovering,BL,Susceptible,Bleached
82,HE1_T7C,ABC_121,4,A12,148.72,Healthy,13,0,Ambient,Healthy,Coral Control,FCM,T0,0,13,NA,13360205,8019100,128.5730032,75.3544236,106418.4373,103911.433,HE1_T7C,HE1,T7,C,Healthy,Healthy,Healthy_C,T7_C,High Sym,5.027016877,High Sym,High Sym,High Sym,Bleaching,HE,Resistant,Control
83,HE1_T7C,ABC_263,144,E11,1699.76,Healthy,13,36,Ambient,Healthy,Coral Control,FCM,T,36,13,NA,13360205,8019100,128.5730032,75.3544236,106418.4373,103911.433,HE1_T7C,HE1,T7,C,Healthy,Healthy,Healthy_C,T7_C,High Sym,5.027016877,High Sym,High Sym,High Sym,Bleaching,HE,Resistant,Control
84,HE1_T7C,ABC_193,83,G8,1684.12,Healthy,13,16,Ambient,Healthy,Coral Control,FCM,T16,16,13,NA,13360205,8019100,128.5730032,75.3544236,106418.4373,103911.433,HE1_T7C,HE1,T7,C,Healthy,Healthy,Healthy_C,T7_C,High Sym,5.027016877,High Sym,High Sym,High Sym,Bleaching,HE,Resistant,Control
85,HE1_T7C,ABC_139,32,C5,189.1,Healthy,13,2,Ambient,Healthy,Coral Control,FCM,T2,2,13,NA,13360205,8019100,128.5730032,75.3544236,106418.4373,103911.433,HE1_T7C,HE1,T7,C,Healthy,Healthy,Healthy_C,T7_C,High Sym,5.027016877,High Sym,High Sym,High Sym,Bleaching,HE,Resistant,Control
86,HE1_T7C,ABC_157,38,D10,498.04,Healthy,13,8,Ambient,Healthy,Coral Control,FCM,T8,8,13,NA,13360205,8019100,128.5730032,75.3544236,106418.4373,103911.433,HE1_T7C,HE1,T7,C,Healthy,Healthy,Healthy_C,T7_C,High Sym,5.027016877,High Sym,High Sym,High Sym,Bleaching,HE,Resistant,Control
87,HE1_T7C,ABC_246,138,D6,1771.49,Healthy,13,32,Ambient,Healthy,Coral Control,FCM,T,32,13,NA,13360205,8019100,128.5730032,75.3544236,106418.4373,103911.433,HE1_T7C,HE1,T7,C,Healthy,Healthy,Healthy_C,T7_C,High Sym,5.027016877,High Sym,High Sym,High Sym,Bleaching,HE,Resistant,Control
