Tree#,Groups,WScore
1,A1_a_T00-ABC_001,0.251428
1,A1_a_T36-ABC_001,0.419872
1,A1_c_T00-ABC_001,0.316227
1,A1_c_T36-ABC_001,0.449533
1,A1_w_T00-ABC_001,0.294003
1,A1_w_T36-ABC_001,0.409678
1,A1_x_T00-ABC_001,0.293625
1,A1_x_T_48-ABC_001,0.457835
1,A2_a_T00-ABC_001,0.223244
1,A2_a_T36-ABC_001,0.466606
1,A2_c_T00-ABC_001,0.267804
1,A2_c_T36-ABC_001,0.516881
1,A2_w_T00-ABC_001,0.297147
1,A2_w_T36-ABC_001,0.423692
1,A2_x_T00-ABC_001,0.276247
1,A2_x_T_48-ABC_001,0.462569
1,A3_a_T00-ABC_001,0.300194
1,A3_a_T36-ABC_001,0.43129
1,A3_c_T00-ABC_001,0.349837
1,A3_c_T36-ABC_001,0.461061
1,A3_w_T00-ABC_001,0.333742
1,A3_w_T36-ABC_001,0.419022
1,A3_x_T00-ABC_001,0.319435
1,A3_x_T_48-ABC_001,0.420877
1,A1_a_T00-ABC_002,0.27453
1,A1_a_T36-ABC_002,0.431231
1,A1_c_T00-ABC_002,0.329387
1,A1_c_T36-ABC_002,0.464395
1,A1_w_T00-ABC_002,0.3052
1,A1_w_T36-ABC_002,0.422861
1,A1_x_T00-ABC_002,0.29022
1,A1_x_T_48-ABC_002,0.442866
1,A2_a_T00-ABC_002,0.222809
1,A2_a_T36-ABC_002,0.471372
1,A2_c_T00-ABC_002,0.265234
1,A2_c_T36-ABC_002,0.522132
1,A2_w_T00-ABC_002,0.297378
1,A2_w_T36-ABC_002,0.425513
1,A2_x_T00-ABC_002,0.27177
1,A2_x_T_48-ABC_002,0.450485
1,A3_a_T00-ABC_002,0.329168
1,A3_a_T36-ABC_002,0.439863
1,A3_c_T00-ABC_002,0.365817
1,A3_c_T36-ABC_002,0.474997
1,A3_w_T00-ABC_002,0.353202
1,A3_w_T36-ABC_002,0.423386
1,A3_x_T00-ABC_002,0.320928
1,A3_x_T_48-ABC_002,0.407496
1,ABC_001-ABC_002,0.059012
1,A1_a_T00-ABC_003,0.255693
1,A1_a_T36-ABC_003,0.417753
1,A1_c_T00-ABC_003,0.315851
1,A1_c_T36-ABC_003,0.4525
1,A1_w_T00-ABC_003,0.294821
1,A1_w_T36-ABC_003,0.411309
1,A1_x_T00-ABC_003,0.299159
1,A1_x_T_48-ABC_003,0.461707
1,A2_a_T00-ABC_003,0.229462
1,A2_a_T36-ABC_003,0.46264
1,A2_c_T00-ABC_003,0.271166
1,A2_c_T36-ABC_003,0.516292
1,A2_w_T00-ABC_003,0.302174
1,A2_w_T36-ABC_003,0.419104
1,A2_x_T00-ABC_003,0.281643
1,A2_x_T_48-ABC_003,0.467349
1,A3_a_T00-ABC_003,0.306186
1,A3_a_T36-ABC_003,0.427583
1,A3_c_T00-ABC_003,0.350475
1,A3_c_T36-ABC_003,0.465077
1,A3_w_T00-ABC_003,0.33593
1,A3_w_T36-ABC_003,0.413139
1,A3_x_T00-ABC_003,0.325802
1,A3_x_T_48-ABC_003,0.423898
1,ABC_001-ABC_003,0.040837
1,ABC_002-ABC_003,0.05363
1,A1_a_T00-ABC_005,0.26777
1,A1_a_T36-ABC_005,0.444742
1,A1_c_T00-ABC_005,0.333007
1,A1_c_T36-ABC_005,0.472741
1,A1_w_T00-ABC_005,0.308146
1,A1_w_T36-ABC_005,0.43292
1,A1_x_T00-ABC_005,0.303089
1,A1_x_T_48-ABC_005,0.464131
1,A2_a_T00-ABC_005,0.237282
1,A2_a_T36-ABC_005,0.491278
1,A2_c_T00-ABC_005,0.280196
1,A2_c_T36-ABC_005,0.537176
1,A2_w_T00-ABC_005,0.309857
1,A2_w_T36-ABC_005,0.442907
1,A2_x_T00-ABC_005,0.282782
1,A2_x_T_48-ABC_005,0.468508
1,A3_a_T00-ABC_005,0.312679
1,A3_a_T36-ABC_005,0.450963
1,A3_c_T00-ABC_005,0.359252
1,A3_c_T36-ABC_005,0.478876
1,A3_w_T00-ABC_005,0.336671
1,A3_w_T36-ABC_005,0.43486
1,A3_x_T00-ABC_005,0.33518
1,A3_x_T_48-ABC_005,0.426949
1,ABC_001-ABC_005,0.066025
1,ABC_002-ABC_005,0.074785
1,ABC_003-ABC_005,0.070136
1,A1_a_T00-ABC_006,0.266824
1,A1_a_T36-ABC_006,0.430685
1,A1_c_T00-ABC_006,0.330024
1,A1_c_T36-ABC_006,0.46272
1,A1_w_T00-ABC_006,0.304277
1,A1_w_T36-ABC_006,0.42146
1,A1_x_T00-ABC_006,0.30758
1,A1_x_T_48-ABC_006,0.462677
1,A2_a_T00-ABC_006,0.238322
1,A2_a_T36-ABC_006,0.47559
1,A2_c_T00-ABC_006,0.278575
1,A2_c_T36-ABC_006,0.524217
1,A2_w_T00-ABC_006,0.310194
1,A2_w_T36-ABC_006,0.43034
1,A2_x_T00-ABC_006,0.287473
1,A2_x_T_48-ABC_006,0.468411
1,A3_a_T00-ABC_006,0.319975
1,A3_a_T36-ABC_006,0.43976
1,A3_c_T00-ABC_006,0.361408
1,A3_c_T36-ABC_006,0.473155
1,A3_w_T00-ABC_006,0.346692
1,A3_w_T36-ABC_006,0.425318
1,A3_x_T00-ABC_006,0.335999
1,A3_x_T_48-ABC_006,0.425823
1,ABC_001-ABC_006,0.049241
1,ABC_002-ABC_006,0.050406
1,ABC_003-ABC_006,0.045616
1,ABC_005-ABC_006,0.048865
1,A1_a_T00-ABC_007,0.252826
1,A1_a_T36-ABC_007,0.41776
1,A1_c_T00-ABC_007,0.318262
1,A1_c_T36-ABC_007,0.446611
1,A1_w_T00-ABC_007,0.293205
1,A1_w_T36-ABC_007,0.406894
1,A1_x_T00-ABC_007,0.310692
1,A1_x_T_48-ABC_007,0.472018
1,A2_a_T00-ABC_007,0.233561
1,A2_a_T36-ABC_007,0.462527
1,A2_c_T00-ABC_007,0.280489
1,A2_c_T36-ABC_007,0.516914
1,A2_w_T00-ABC_007,0.312316
1,A2_w_T36-ABC_007,0.419142
1,A2_x_T00-ABC_007,0.293482
1,A2_x_T_48-ABC_007,0.476322
1,A3_a_T00-ABC_007,0.303676
1,A3_a_T36-ABC_007,0.426955
1,A3_c_T00-ABC_007,0.355021
1,A3_c_T36-ABC_007,0.460979
1,A3_w_T00-ABC_007,0.338634
1,A3_w_T36-ABC_007,0.413172
1,A3_x_T00-ABC_007,0.341809
1,A3_x_T_48-ABC_007,0.435429
1,ABC_001-ABC_007,0.059029
1,ABC_002-ABC_007,0.05865
1,ABC_003-ABC_007,0.052973
1,ABC_005-ABC_007,0.065616
1,ABC_006-ABC_007,0.055717
1,A1_a_T00-ABC_008,0.264732
1,A1_a_T36-ABC_008,0.42106
1,A1_c_T00-ABC_008,0.31776
1,A1_c_T36-ABC_008,0.460704
1,A1_w_T00-ABC_008,0.30035
1,A1_w_T36-ABC_008,0.415292
1,A1_x_T00-ABC_008,0.299836
1,A1_x_T_48-ABC_008,0.460212
1,A2_a_T00-ABC_008,0.236943
1,A2_a_T36-ABC_008,0.45716
1,A2_c_T00-ABC_008,0.274129
1,A2_c_T36-ABC_008,0.513743
1,A2_w_T00-ABC_008,0.300082
1,A2_w_T36-ABC_008,0.415931
1,A2_x_T00-ABC_008,0.280646
1,A2_x_T_48-ABC_008,0.47017
1,A3_a_T00-ABC_008,0.32644
1,A3_a_T36-ABC_008,0.438361
1,A3_c_T00-ABC_008,0.36127
1,A3_c_T36-ABC_008,0.473564
1,A3_w_T00-ABC_008,0.352605
1,A3_w_T36-ABC_008,0.422405
1,A3_x_T00-ABC_008,0.326191
1,A3_x_T_48-ABC_008,0.424699
1,ABC_001-ABC_008,0.052837
1,ABC_002-ABC_008,0.055671
1,ABC_003-ABC_008,0.044414
1,ABC_005-ABC_008,0.091626
1,ABC_006-ABC_008,0.058249
1,ABC_007-ABC_008,0.067821
1,A1_a_T00-ABC_009,0.267912
1,A1_a_T36-ABC_009,0.437184
1,A1_c_T00-ABC_009,0.335705
1,A1_c_T36-ABC_009,0.468321
1,A1_w_T00-ABC_009,0.310967
1,A1_w_T36-ABC_009,0.425663
1,A1_x_T00-ABC_009,0.316908
1,A1_x_T_48-ABC_009,0.472035
1,A2_a_T00-ABC_009,0.243935
1,A2_a_T36-ABC_009,0.479965
1,A2_c_T00-ABC_009,0.289575
