ID1,ID2,EdgeType,Score,Annotation
763,10474,MS1 annotation,5.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9931
775,1120,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0264
780,1016,MS1 annotation,4.000,[M+H]+ [M+NH4]+ dm/z=17.0266
780,824,MS1 annotation,4.000,[M+Na]+ [M+NH4]+ dm/z=4.9561
780,2132,MS1 annotation,4.000,[M+K]+ [M+NH4]+ dm/z=20.9304
781,3522,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0266
786,5972,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9821
787,909,MS1 annotation,3.000,[M+Na]+ [2M+H]+ dm/z=169.1490
789,1088,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0263
792,817,MS1 annotation,3.000,[M-H2O+H]+ [M+H]+ dm/z=18.0106
792,1004,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0267
795,885,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0265
798,854,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0266
798,1360,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9823
809,888,MS1 annotation,2.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0373
811,868,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0267
811,1255,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9820
812,829,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0269
812,893,MS1 annotation,3.000,[M-H2O+H]+ [M+H]+ dm/z=18.0106
813,1743,MS1 annotation,3.000,[M+K]+ [M-H2O+Na]+ dm/z=33.9841
813,9207,MS1 annotation,3.000,[M+Na]+ [M-H2O+Na]+ dm/z=18.0106
813,948,MS1 annotation,2.000,[M+NH4]+ [M+ACN+H]+ dm/z=24.0001
813,918,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=23.9999
814,7797,MS1 annotation,2.000,[M+NH4]+ [M+ACN+H]+ dm/z=24.0000
814,1119,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=23.9998
816,871,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
817,1004,MS1 annotation,3.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0373
818,7794,MS1 annotation,2.000,[M+NH4]+ [M+ACN+H]+ dm/z=24.0000
819,949,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0001
824,1016,MS1 annotation,4.000,[M+H]+ [M+Na]+ dm/z=21.9827
824,2132,MS1 annotation,4.000,[M+K]+ [M+Na]+ dm/z=15.9743
826,850,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=23.9999
829,893,MS1 annotation,3.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0374
831,837,MS1 annotation,2.000,[M+NH4]+ [M+ACN+H]+ dm/z=24.0000
831,1165,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=23.9998
833,1241,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0266
833,1281,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9819
837,1119,MS1 annotation,2.000,[M+K]+ [M-H2O+Na]+ dm/z=33.9841
838,10953,MS1 annotation,2.000,[M-H2O+Na]+ [M+K]+ dm/z=33.9845
838,7823,MS1 annotation,2.000,[M+NH4]+ [M+ACN+H]+ dm/z=24.0000
842,875,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=23.9999
844,1587,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0269
845,1006,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=23.9999
851,1352,MS1 annotation,2.000,[M+K]+ [M-H2O+Na]+ dm/z=33.9843
854,1360,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9558
855,4457,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0266
